seed,hit,time_to_intercept,initial_sep,closing_vel_avg,min_sep,final_zem,target_speed
89250,1,5.85,115.16,19.31,0.91,0.06,5.24
773956,1,7.30,183.24,24.77,0.92,0.17,11.01
654571,1,4.45,90.06,19.83,0.44,0.10,9.84
438878,1,5.10,98.94,19.01,0.66,0.07,7.91
433015,1,6.55,148.53,22.30,1.08,0.09,7.44
858597,1,6.35,154.81,24.04,0.62,0.09,10.13
85945,1,5.30,88.80,16.28,1.38,0.12,5.59
697368,1,6.40,154.51,23.76,0.98,0.19,10.82
201469,1,5.85,126.11,21.27,0.31,0.06,8.94
94177,1,6.65,162.39,24.01,1.22,0.19,11.13
526478,1,5.60,109.48,19.12,1.04,0.13,6.77
975622,1,7.25,160.65,21.87,0.71,0.06,6.71
735752,1,5.60,121.84,21.33,1.00,0.21,11.61
761139,1,5.40,107.36,19.36,1.46,0.24,10.77
717477,1,8.25,139.14,16.60,1.21,0.03,9.52
786064,1,4.20,83.23,19.17,1.25,0.09,8.30
513226,1,4.70,97.83,20.23,1.29,0.14,9.16
128113,1,7.20,164.95,22.57,1.00,0.02,7.51
839748,1,6.90,147.55,21.08,0.70,0.04,10.04
450385,1,7.90,178.39,22.29,0.93,0.11,7.70
500351,1,5.45,83.82,15.07,0.72,0.13,8.22
370798,1,5.30,126.38,23.55,0.24,0.05,11.90
182549,1,8.35,196.73,23.33,0.50,0.03,6.66
926764,1,8.20,82.14,10.65,0.53,0.44,11.26
781567,1,5.50,99.78,17.78,0.83,0.17,9.80
643865,1,3.50,51.75,14.30,0.63,0.11,7.14
402414,1,4.90,104.72,20.93,0.73,0.12,9.57
822761,1,4.70,74.89,15.42,1.34,0.21,9.39
545429,1,8.10,169.84,20.70,0.86,0.09,7.89
443414,1,3.25,50.37,14.92,0.67,0.07,6.25
450459,1,7.70,149.34,19.14,0.76,0.04,8.56
227238,1,4.40,81.86,18.06,1.05,0.07,5.95
92135,1,4.30,78.52,17.62,1.46,0.07,6.66
554584,1,4.35,75.44,16.74,1.35,0.11,6.10
887889,1,8.95,91.18,11.08,0.81,0.04,11.92
63817,1,6.25,134.75,21.32,0.16,0.04,9.19
858291,1,4.40,93.32,20.72,0.62,0.05,9.65
827631,1,3.75,69.73,18.14,0.24,0.02,8.42
276759,1,5.70,74.58,12.79,0.94,0.13,8.32
631664,1,8.70,148.85,16.86,1.12,0.14,6.99
165229,1,5.15,61.42,11.52,1.49,3.63,10.94
758087,1,8.30,188.05,22.40,0.81,0.05,5.57
700522,1,6.75,144.07,21.07,0.65,0.17,11.54
354525,1,7.45,174.67,23.16,0.72,0.09,8.40
67920,1,6.00,116.47,19.08,0.72,0.08,5.39
970698,1,6.05,142.58,23.14,1.06,0.11,9.44
445687,1,3.90,73.39,18.34,0.51,0.12,11.37
893121,1,5.70,115.05,19.91,0.24,0.03,9.67
677919,1,5.80,125.33,21.24,0.72,0.06,7.05
778383,1,7.75,135.53,17.19,1.25,0.17,7.81
759899,1,7.95,171.49,21.24,1.31,0.01,6.24
194638,1,5.05,104.60,20.33,0.55,0.07,8.73
363906,1,8.25,159.15,18.98,1.38,0.18,7.93
466721,1,4.00,55.72,13.48,0.83,0.17,9.61
497791,1,5.40,108.96,19.83,0.52,0.07,6.81
43803,1,5.30,96.71,17.81,1.16,0.18,10.69
546569,1,6.00,104.49,17.13,0.62,0.25,9.77
154289,1,6.15,117.95,18.80,1.35,0.27,11.22
743375,1,4.40,90.99,20.05,1.26,0.09,8.84
683048,1,4.35,57.20,12.74,0.83,0.16,9.51
922527,1,4.80,95.16,19.31,1.06,0.09,6.72
744762,1,6.50,130.07,19.64,1.11,0.16,8.23
366642,1,4.05,79.91,19.00,1.45,0.20,11.34
967509,1,7.65,163.65,21.15,0.55,0.06,5.03
410850,1,5.55,93.41,16.42,1.17,0.13,10.95
325825,1,6.55,122.26,18.25,1.50,0.22,9.32
905535,1,7.25,105.52,14.22,1.47,0.18,8.86
370459,1,6.00,107.82,17.66,0.68,0.11,7.09
76343,1,4.50,86.81,18.68,1.36,0.17,11.98
469555,1,4.90,83.50,16.70,0.50,0.09,6.50
795679,1,3.20,55.70,16.58,1.10,0.09,9.83
189471,1,6.85,140.54,20.30,0.16,0.02,7.89
462940,1,4.65,88.43,18.54,0.85,0.06,5.70
