seed,hit,time_to_intercept,initial_sep,closing_vel_avg,min_sep,final_zem,target_speed
89250,1,15.00,115.16,13.60,1.50,5.23,5.24
773956,1,27.90,183.24,14.45,1.32,0.31,11.01
654571,1,29.45,90.06,11.17,1.49,0.06,9.84
438878,0,30.00,98.94,9.91,1.82,1.19,7.91
433015,1,23.55,148.53,13.29,0.93,1.56,7.44
858597,1,20.50,154.81,14.10,1.39,0.23,10.13
85945,1,17.20,88.80,10.86,1.39,0.11,5.59
697368,0,30.00,154.51,12.37,1.55,18.87,10.82
201469,0,30.00,126.11,11.34,1.86,4.61,8.94
94177,1,19.95,162.39,14.58,1.49,0.34,11.13
526478,1,14.40,109.48,13.85,1.35,1.34,6.77
975622,0,30.00,160.65,12.59,1.84,4.52,6.71
735752,0,30.00,121.84,12.06,1.68,6.45,11.61
761139,0,30.00,107.36,11.15,1.54,9.54,10.77
717477,1,24.35,139.14,11.40,1.46,1.09,9.52
786064,0,30.00,83.23,10.41,2.07,7.57,8.30
513226,0,30.00,97.83,10.69,1.84,6.38,9.16
128113,1,19.30,164.95,16.84,1.24,0.14,7.51
839748,0,30.00,147.55,11.96,1.90,2.17,10.04
450385,0,30.00,178.39,13.30,1.59,10.93,7.70
500351,0,30.00,83.82,10.06,1.93,7.05,8.22
370798,0,30.00,126.38,10.87,1.70,9.92,11.90
182549,1,19.00,196.73,16.40,1.41,0.28,6.66
926764,0,30.00,82.14,9.95,1.70,7.33,11.26
781567,0,30.00,99.78,10.88,2.06,9.32,9.80
643865,1,21.95,51.75,8.25,1.40,1.51,7.14
402414,0,30.00,104.72,10.76,1.66,4.01,9.57
822761,0,30.00,74.89,8.77,1.96,5.87,9.39
545429,0,30.00,169.84,12.84,1.54,13.15,7.89
443414,0,30.00,50.37,8.82,1.59,3.58,6.25
450459,0,30.00,149.34,12.02,1.86,9.57,8.56
227238,0,30.00,81.86,9.62,1.72,4.66,5.95
92135,1,14.30,78.52,11.92,1.25,0.18,6.66
554584,0,30.00,75.44,9.43,1.61,11.75,6.10
887889,0,30.00,91.18,10.79,2.18,2.90,11.92
63817,0,30.00,134.75,12.24,2.16,4.25,9.19
858291,0,30.00,93.32,9.99,2.03,6.97,9.65
827631,0,30.00,69.73,9.62,1.59,5.18,8.42
276759,0,30.00,74.58,9.39,1.89,7.56,8.32
631664,0,30.00,148.85,11.76,1.76,1.86,6.99
165229,0,30.00,61.42,8.43,1.57,10.56,10.94
758087,0,30.00,188.05,13.19,2.03,7.72,5.57
700522,1,23.85,144.07,13.41,1.33,0.56,11.54
354525,0,30.00,174.67,13.51,1.78,0.54,8.40
67920,1,13.50,116.47,15.50,1.32,0.46,5.39
970698,0,30.00,142.58,12.29,1.69,0.21,9.44
445687,1,14.25,73.39,11.35,1.47,1.01,11.37
893121,1,15.75,115.05,12.62,0.78,0.34,9.67
677919,0,30.00,125.33,11.10,1.77,6.92,7.05
778383,0,30.00,135.53,10.83,2.07,10.14,7.81
759899,0,30.00,171.49,12.44,1.90,13.29,6.24
194638,0,30.00,104.60,11.54,1.84,6.79,8.73
363906,1,28.80,159.15,12.27,1.27,0.49,7.93
466721,1,19.95,55.72,8.81,1.42,2.81,9.61
497791,0,30.00,108.96,10.19,1.92,1.78,6.81
43803,0,30.00,96.71,10.12,1.63,11.63,10.69
546569,1,13.25,104.49,13.66,0.91,0.68,9.77
154289,0,30.00,117.95,11.19,1.54,2.69,11.22
743375,1,15.55,90.99,11.61,1.25,1.48,8.84
683048,0,30.00,57.20,8.00,1.60,0.91,9.51
922527,0,30.00,95.16,10.30,2.12,7.48,6.72
744762,0,30.00,130.07,11.64,2.06,2.81,8.23
366642,0,30.00,79.91,9.89,2.09,10.02,11.34
967509,0,30.00,163.65,13.05,1.59,4.91,5.03
410850,0,30.00,93.41,10.04,1.71,7.54,10.95
325825,0,30.00,122.26,11.63,2.20,4.04,9.32
905535,0,30.00,105.52,10.41,1.82,9.47,8.86
370459,0,30.00,107.82,10.90,1.68,7.17,7.09
76343,1,16.25,86.81,12.44,1.40,0.05,11.98
469555,0,30.00,83.50,10.69,2.01,7.64,6.50
795679,0,30.00,55.70,9.06,1.88,0.57,9.83
189471,1,23.15,140.54,12.88,1.13,1.99,7.89
462940,0,30.00,88.43,10.08,1.80,7.21,5.70
129921,0,30.00,137.69,11.96,1.98,9.38,11.03
686478,0,30.00,83.24,7.87,1.86,6.48,8.27
475704,1,27.00,84.48,9.85,1.49,0.79,9.50
330196,0,30.00,107.91,10.97,1.73,13.78,5.22
226909,0,30.00,164.79,12.07,1.78,5.15,6.04
564499,0,30.00,95.56,9.49,1.92,6.26,5.83
669813,0,30.00,113.24,10.06,1.75,3.77,9.80
940306,1,17.35,61.68,10.75,1.07,0.40,5.50
437151,0,30.00,79.75,10.16,1.93,4.32,9.22
160688,0,30.00,129.59,11.07,1.70,5.79,6.77
832678,0,30.00,152.70,11.91,1.72,12.31,5.82
629764,0,30.00,77.34,9.95,1.94,7.86,8.85
700265,0,30.00,71.62,9.97,1.53,3.23,8.23
97226,1,20.20,118.21,10.92,1.50,0.34,9.44
312366,0,30.00,124.32,12.29,2.15,12.27,6.93
767843,0,30.00,171.06,12.96,1.95,0.22,8.08
832259,0,30.00,50.25,9.01,1.80,5.91,5.47
435216,1,22.55,69.40,10.17,1.05,0.45,8.96
804764,0,30.00,127.63,11.92,1.57,2.09,10.77
841691,0,30.00,111.43,10.93,1.66,1.83,6.53
387478,1,9.30,72.08,13.58,1.31,0.07,10.73
898087,0,30.00,136.24,11.72,1.57,24.54,8.07
288328,1,19.65,117.20,12.92,1.27,1.25,5.11
239557,0,30.00,139.20,11.95,1.57,0.60,5.34
682495,0,30.00,193.31,13.94,1.92,3.60,10.85
636761,1,24.35,130.75,12.10,1.49,0.07,7.46
139752,1,19.55,96.55,10.94,1.19,1.55,6.44
832736,1,20.50,170.76,14.11,1.30,2.28,6.66
199908,0,30.00,130.40,12.17,1.96,17.83,6.78
804899,1,23.90,90.76,11.24,1.44,4.59,10.76
7362,0,30.00,146.48,12.39,1.97,8.47,6.77
796842,1,18.25,79.63,10.74,1.30,0.48,5.81
786924,0,30.00,164.90,13.92,2.19,8.80,9.98
780364,1,26.55,85.21,9.59,1.43,0.50,11.55
664850,0,30.00,73.55,9.70,1.88,4.51,9.45
471567,1,19.90,129.49,12.94,1.38,0.51,11.62
705165,0,30.00,130.86,12.82,1.55,6.86,11.78
277121,0,30.00,130.23,11.25,1.73,6.83,10.00
780729,0,30.00,66.88,8.80,1.90,4.11,7.53
555646,1,23.40,57.62,8.92,1.35,1.16,6.53
458915,0,30.00,150.56,12.90,1.61,1.05,9.35
505606,1,25.80,71.38,9.23,1.24,3.11,9.29
568741,0,30.00,176.16,12.52,2.08,0.22,9.13
37262,0,30.00,95.54,10.17,1.98,0.46,11.46
139796,0,30.00,106.11,11.03,1.98,4.62,8.85
245481,1,20.45,65.76,10.35,1.13,0.40,6.76
114530,0,30.00,117.58,11.36,1.82,0.04,11.16
439613,0,30.00,87.83,10.45,1.59,8.81,9.23
668402,0,30.00,86.82,10.02,1.84,11.87,5.52
654428,0,30.00,141.96,12.08,2.16,2.41,10.79
471096,0,30.00,77.24,8.95,1.58,9.49,8.75
855080,1,18.00,99.02,12.03,1.47,5.71,5.75
565236,0,30.00,167.30,12.25,1.94,0.57,6.05
79197,1,24.90,109.45,11.70,1.40,1.03,5.22
764998,0,30.00,104.00,10.41,2.04,0.22,10.65
574600,0,30.00,174.47,13.56,1.84,16.46,5.02
634718,0,30.00,118.04,11.66,1.92,38.91,7.54
565373,1,25.55,98.01,11.03,1.19,2.32,7.24
553579,0,30.00,150.42,11.43,1.71,4.93,5.17
90566,0,30.00,104.26,10.24,1.95,3.75,8.53
559207,0,30.00,106.70,10.53,1.79,15.19,10.03
794912,1,10.85,62.68,11.81,1.38,2.24,7.07
303950,0,30.00,53.48,10.32,1.58,2.92,8.08
602838,0,30.00,54.19,8.98,1.68,11.56,7.52
30817,0,30.00,113.46,10.71,2.03,1.31,11.99
347499,0,30.00,67.36,9.35,1.71,3.75,8.29
436717,0,30.00,111.65,10.48,1.70,24.87,6.13
982738,0,30.00,137.33,11.91,2.21,6.89,10.97
214584,0,30.00,92.47,9.29,2.33,2.83,11.79
276548,0,30.00,94.91,10.61,1.76,3.92,7.22
408528,0,30.00,78.54,8.76,1.79,3.13,5.31
992665,0,30.00,70.64,9.07,1.75,2.21,8.92
853403,1,18.50,169.46,15.66,1.33,0.93,9.07
34692,1,22.00,131.65,12.27,1.25,2.41,8.86
233939,1,20.45,171.57,15.26,1.10,1.04,11.64
821674,0,30.00,146.22,12.09,2.08,6.44,9.66
58302,0,30.00,71.81,8.46,1.99,1.85,10.98
855670,1,16.55,100.64,12.18,1.49,0.73,11.06
281383,0,30.00,90.04,9.29,1.65,7.71,5.94
917652,1,21.85,87.09,9.87,1.50,2.52,5.35
293593,0,30.00,132.94,11.06,1.89,0.86,8.01
434316,0,30.00,65.05,9.30,1.63,3.96,6.86
661916,0,30.00,117.46,10.88,1.67,0.18,6.27
126280,0,30.00,164.84,13.53,1.79,0.07,9.93
557032,0,30.00,92.92,10.22,1.81,22.77,7.11
505015,0,30.00,95.81,9.04,1.76,0.77,9.22
783898,0,30.00,85.90,10.01,2.03,3.00,5.44
996106,0,30.00,130.66,12.09,1.94,4.67,8.36
664313,0,30.00,83.15,10.06,1.64,4.51,6.07
409186,0,30.00,128.28,11.52,1.88,7.73,9.84
406386,0,30.00,66.14,9.02,1.62,7.80,9.72
417958,0,30.00,196.78,14.84,2.08,10.84,8.71
814020,1,28.85,126.63,12.01,1.26,3.32,6.52
321215,0,30.00,114.67,10.52,2.08,32.25,11.82
166972,1,21.65,79.57,9.59,1.28,0.66,11.34
334291,0,30.00,65.21,9.03,1.94,1.91,8.55
22712,0,30.00,180.30,12.65,1.66,6.40,5.92
106142,0,30.00,148.25,11.79,1.98,1.98,5.37
90047,0,30.00,115.89,11.03,1.76,6.08,9.22
771552,0,30.00,99.24,10.07,1.70,0.99,9.90
722359,0,30.00,188.68,12.91,1.89,7.49,9.19
696770,1,27.65,141.93,12.06,0.77,0.92,7.50
461877,1,25.95,172.38,14.46,1.41,0.56,9.94
717058,0,30.00,62.55,8.55,1.67,3.41,5.11
161271,0,30.00,81.78,8.87,1.81,0.56,11.58
900621,0,30.00,71.43,8.18,1.54,5.03,10.90
501044,0,30.00,184.54,13.22,1.71,10.87,11.21
938051,0,30.00,181.33,12.85,2.04,24.57,5.84
152312,0,30.00,106.02,10.56,1.81,2.77,5.84
497330,0,30.00,132.61,12.30,1.94,0.29,7.06
696320,0,30.00,163.60,11.88,2.25,3.44,9.61
495625,0,30.00,145.75,12.95,1.79,7.33,10.80
446156,0,30.00,165.45,13.21,1.83,5.74,11.61
166214,0,30.00,151.61,12.52,1.98,0.02,5.37
381021,1,25.35,116.05,11.81,1.49,0.36,6.32
238766,0,30.00,99.89,12.28,1.52,3.03,7.75
301512,0,30.00,143.05,11.67,1.66,0.22,11.08
683700,1,23.05,80.99,11.43,1.33,0.15,11.71
630282,0,30.00,108.57,10.52,1.60,9.50,9.72
607196,0,30.00,111.67,11.34,1.80,4.39,10.22
361812,0,30.00,63.13,9.33,1.70,1.35,5.46
959692,0,30.00,92.28,11.03,1.76,6.73,11.45
87649,1,23.10,88.86,9.81,1.40,0.20,5.22
342590,0,30.00,88.57,10.30,1.60,1.77,10.23
118005,0,30.00,90.15,9.70,1.63,2.33,9.03
338943,1,20.00,123.12,12.67,1.33,0.16,5.43
961897,1,28.15,68.81,9.24,1.48,3.94,7.68
366263,1,14.95,75.89,11.48,1.32,0.51,5.07
908580,1,26.55,75.36,9.60,1.43,0.01,10.38
495065,1,22.15,171.95,15.00,1.47,1.22,8.61
699707,0,30.00,159.40,12.66,2.23,7.97,7.51
457417,1,17.75,145.30,14.03,1.31,0.24,7.64
265869,0,30.00,90.49,10.43,2.10,10.82,10.68
764229,1,22.15,106.90,12.33,1.42,0.20,9.21
969176,0,30.00,96.98,9.39,1.78,17.65,8.85
263524,0,30.00,137.20,11.06,1.71,1.07,7.47
778750,0,30.00,165.24,12.88,1.92,19.52,5.93
261140,0,30.00,155.12,12.53,1.68,10.97,8.85
716890,0,30.00,94.98,10.11,1.97,6.75,10.63
789006,1,18.55,118.05,13.14,1.24,1.04,9.46
449361,1,22.70,82.84,10.12,1.47,0.56,5.07
736919,1,19.70,102.46,10.52,1.33,0.02,9.28
272241,0,30.00,77.38,8.66,1.65,5.38,7.29
79253,0,30.00,53.00,7.92,1.70,2.84,9.68
96390,0,30.00,64.54,9.56,1.69,4.62,11.33
447023,1,18.00,182.92,17.72,1.16,0.10,11.06
902602,0,30.00,73.05,9.71,1.88,4.25,11.27
127576,0,30.00,167.34,13.48,1.56,3.22,6.28
455776,0,30.00,116.37,10.63,1.63,8.76,6.57
704032,1,16.10,86.64,11.96,1.39,3.04,6.60
202363,0,30.00,186.70,13.98,1.89,1.03,11.78
721616,0,30.00,78.20,9.62,1.56,11.73,6.54
305956,0,30.00,170.22,13.98,1.72,13.85,7.77
808660,0,30.00,71.62,9.44,1.66,0.18,5.76
579219,0,30.00,130.90,11.54,1.77,9.41,6.75
546907,0,30.00,75.54,10.18,1.81,2.55,11.58
176772,0,30.00,54.95,9.26,1.55,33.26,9.19
463205,0,30.00,117.87,11.40,1.73,3.02,11.62
856614,0,30.00,91.30,10.95,1.64,13.38,7.42
19523,0,30.00,62.73,8.45,1.66,3.91,6.86
758519,0,30.00,135.43,11.57,1.97,0.09,6.93
492762,0,30.00,96.41,9.92,1.63,10.64,11.94
719462,0,30.00,171.18,13.52,1.77,15.74,11.51
663298,0,30.00,78.99,8.81,1.52,5.64,8.82
432093,0,30.00,73.89,10.22,1.60,17.02,5.29
