seed,hit,time_to_intercept,initial_sep,closing_vel_avg,min_sep,final_zem,target_speed
89250,1,8.50,115.16,18.29,1.27,5.44,5.24
773956,1,10.00,183.24,23.75,1.15,0.29,11.01
654571,1,8.65,90.06,19.74,1.37,0.97,9.84
438878,1,4.85,98.94,23.18,0.94,6.11,7.91
433015,1,28.55,148.53,15.35,1.16,0.93,7.44
858597,1,7.15,154.81,25.01,1.05,1.64,10.13
85945,1,3.80,88.80,23.29,1.24,0.94,5.59
697368,1,8.00,154.51,24.90,0.99,3.20,10.82
201469,1,14.10,126.11,16.94,1.36,2.47,8.94
94177,1,6.50,162.39,28.04,0.64,0.47,11.13
526478,1,3.45,109.48,30.54,1.17,0.38,6.77
975622,1,11.15,160.65,19.15,1.44,1.69,6.71
735752,1,9.05,121.84,20.16,1.39,3.53,11.61
761139,1,16.35,107.36,14.58,1.32,1.61,10.77
717477,1,21.50,139.14,14.34,1.33,2.09,9.52
786064,1,24.05,83.23,13.68,1.35,0.29,8.30
513226,1,10.45,97.83,16.87,1.47,1.98,9.16
128113,1,8.55,164.95,21.88,1.24,0.68,7.51
839748,1,17.05,147.55,17.89,1.47,0.54,10.04
450385,1,7.10,178.39,27.64,1.27,3.41,7.70
500351,1,8.10,83.82,13.27,1.45,2.00,8.22
370798,1,15.35,126.38,19.90,1.28,0.38,11.90
182549,1,19.50,196.73,18.37,1.29,0.85,6.66
926764,1,18.35,82.14,13.07,1.19,0.79,11.26
781567,1,6.05,99.78,17.52,0.73,2.50,9.80
643865,1,3.20,51.75,22.15,1.44,0.92,7.14
402414,1,9.10,104.72,18.17,1.32,7.10,9.57
822761,1,6.60,74.89,17.04,1.29,0.16,9.39
545429,1,17.35,169.84,18.74,1.34,0.95,7.89
443414,1,7.40,50.37,12.91,1.04,0.58,6.25
450459,1,15.30,149.34,16.28,1.34,3.66,8.56
227238,1,13.15,81.86,15.27,1.21,0.72,5.95
92135,1,8.65,78.52,19.34,1.41,1.12,6.66
554584,1,6.60,75.44,19.45,1.35,1.50,6.10
887889,1,4.10,91.18,21.49,1.38,0.79,11.92
63817,1,4.30,134.75,31.00,1.30,0.54,9.19
858291,1,7.25,93.32,19.35,1.43,2.88,9.65
827631,1,8.40,69.73,18.06,0.89,9.22,8.42
276759,1,25.55,74.58,13.01,1.39,0.43,8.32
631664,1,7.80,148.85,19.42,1.13,1.54,6.99
165229,1,4.20,61.42,21.94,1.03,0.27,10.94
758087,1,10.65,188.05,23.23,1.20,0.81,5.57
700522,1,5.75,144.07,26.21,1.40,21.78,11.54
354525,1,20.90,174.67,17.99,1.04,4.16,8.40
67920,1,3.90,116.47,28.69,1.06,0.23,5.39
970698,1,15.65,142.58,16.70,1.45,0.36,9.44
445687,1,11.10,73.39,16.51,1.46,2.48,11.37
893121,1,8.30,115.05,17.64,1.46,1.02,9.67
