seed,hit,time_to_intercept,initial_sep,closing_vel_avg,min_sep,final_zem,target_speed
89250,1,3.95,115.16,28.76,0.57,0.36,5.24
773956,1,8.15,183.24,22.44,1.46,1.31,11.01
654571,1,4.85,90.06,17.96,1.09,0.72,9.84
438878,1,7.30,98.94,17.28,1.36,0.74,7.91
433015,1,6.55,148.53,24.28,0.84,1.13,7.44
858597,1,8.15,154.81,21.10,0.98,1.23,10.13
85945,1,8.10,88.80,13.57,1.35,0.51,5.59
697368,1,8.45,154.51,22.24,1.45,1.85,10.82
201469,1,5.75,126.11,23.15,1.41,1.36,8.94
94177,1,9.00,162.39,20.46,1.41,1.29,11.13
526478,1,5.05,109.48,24.37,1.40,0.77,6.77
975622,1,7.55,160.65,23.60,1.30,0.57,6.71
735752,1,7.90,121.84,17.22,1.36,0.68,11.61
761139,1,7.10,107.36,17.49,1.44,0.86,10.77
717477,1,7.30,139.14,18.92,1.11,0.22,9.52
786064,1,2.95,83.23,27.91,0.63,0.01,8.30
513226,1,11.60,97.83,16.95,1.41,1.22,9.16
128113,1,10.05,164.95,18.79,1.48,1.02,7.51
839748,1,8.40,147.55,21.36,1.31,1.56,10.04
450385,1,9.35,178.39,22.66,1.02,0.79,7.70
500351,1,4.10,83.82,21.53,1.38,0.56,8.22
370798,1,5.90,126.38,24.88,1.16,1.74,11.90
182549,1,10.50,196.73,18.59,0.22,0.31,6.66
926764,1,4.00,82.14,21.87,1.42,1.22,11.26
781567,1,6.25,99.78,20.25,0.91,0.64,9.80
643865,1,1.90,51.75,26.21,0.94,0.64,7.14
402414,1,5.10,104.72,21.13,1.06,0.49,9.57
822761,1,6.10,74.89,13.86,0.24,0.27,9.39
545429,1,9.95,169.84,17.37,1.39,1.21,7.89
443414,1,3.15,50.37,15.31,1.29,1.44,6.25
450459,1,6.55,149.34,22.51,1.39,1.00,8.56
227238,1,7.30,81.86,15.83,1.43,1.49,5.95
92135,1,5.75,78.52,13.45,0.60,0.23,6.66
554584,1,7.85,75.44,13.23,1.49,0.39,6.10
887889,1,18.95,91.18,10.18,1.35,1.03,11.92
63817,1,8.60,134.75,17.57,0.78,0.79,9.19
858291,1,10.10,93.32,11.73,0.76,0.77,9.65
827631,1,5.40,69.73,18.78,1.02,1.40,8.42
276759,1,3.95,74.58,18.47,0.87,0.67,8.32
631664,1,8.80,148.85,17.32,1.08,0.84,6.99
165229,1,4.75,61.42,16.57,1.46,1.10,10.94
758087,1,8.55,188.05,21.79,1.02,0.71,5.57
700522,1,7.90,144.07,18.60,1.10,0.94,11.54
354525,1,7.30,174.67,23.66,1.37,1.63,8.40
67920,1,5.35,116.47,21.30,1.19,0.51,5.39
970698,1,7.85,142.58,21.88,1.19,1.17,9.44
445687,1,5.05,73.39,20.42,1.07,1.59,11.37
893121,1,8.75,115.05,17.79,1.30,1.23,9.67
677919,1,4.75,125.33,25.98,0.81,0.25,7.05
778383,1,13.90,135.53,13.07,1.38,2.11,7.81
759899,1,7.65,171.49,23.35,0.43,0.09,6.24
194638,1,8.55,104.60,14.56,1.35,1.94,8.73
363906,1,9.60,159.15,17.88,1.24,0.34,7.93
466721,1,10.90,55.72,8.15,0.52,0.66,9.61
497791,1,5.70,108.96,23.21,1.25,1.64,6.81
