seed,hit,time_to_intercept,initial_sep,closing_vel_avg,min_sep,final_zem,target_speed
89250,0,60.00,115.16,2.57,5.28,0.00,5.24
773956,0,60.00,183.24,4.53,5.08,0.00,11.01
654571,0,60.00,90.06,1.69,5.04,0.00,9.84
438878,0,60.00,98.94,1.79,5.01,0.00,7.91
433015,0,60.00,148.53,2.83,4.97,0.00,7.44
858597,0,60.00,154.81,3.70,5.12,0.00,10.13
85945,0,60.00,88.80,2.11,5.38,0.00,5.59
697368,0,60.00,154.51,4.03,4.91,0.00,10.82
201469,0,60.00,126.11,2.30,4.95,0.00,8.94
94177,0,60.00,162.39,3.28,4.94,0.00,11.13
526478,0,60.00,109.48,2.46,5.27,0.00,6.77
975622,0,60.00,160.65,2.97,5.07,0.00,6.71
735752,0,60.00,121.84,3.13,5.04,0.00,11.61
761139,0,60.00,107.36,2.11,5.11,0.00,10.77
717477,0,60.00,139.14,2.77,5.13,0.00,9.52
786064,0,60.00,83.23,2.02,5.25,0.00,8.30
513226,0,60.00,97.83,2.54,5.23,0.00,9.16
128113,0,60.00,164.95,3.35,5.06,0.00,7.51
839748,0,60.00,147.55,2.89,5.18,0.00,10.04
450385,0,60.00,178.39,4.03,5.20,0.00,7.70
500351,0,60.00,83.82,2.07,5.15,0.00,8.22
370798,0,60.00,126.38,2.98,5.05,0.00,11.90
182549,0,60.00,196.73,3.99,5.21,0.00,6.66
926764,0,60.00,82.14,2.10,5.29,0.00,11.26
781567,0,60.00,99.78,2.49,5.11,0.00,9.80
643865,0,60.00,51.75,0.98,5.13,0.00,7.14
402414,0,60.00,104.72,2.17,5.13,0.00,9.57
822761,0,60.00,74.89,1.35,5.22,0.00,9.39
545429,0,60.00,169.84,3.40,5.17,0.00,7.89
443414,0,60.00,50.37,1.29,5.04,0.00,6.25
450459,0,60.00,149.34,3.41,5.11,0.00,8.56
227238,0,60.00,81.86,1.52,5.15,0.00,5.95
92135,0,60.00,78.52,1.84,5.10,0.00,6.66
554584,0,60.00,75.44,1.32,5.14,0.00,6.10
887889,0,60.00,91.18,1.89,5.33,0.00,11.92
63817,0,60.00,134.75,3.38,4.98,0.00,9.19
858291,0,60.00,93.32,2.01,5.23,0.00,9.65
827631,0,60.00,69.73,1.90,5.09,0.00,8.42
276759,0,60.00,74.58,1.66,5.29,0.00,8.32
631664,0,60.00,148.85,2.93,5.06,0.00,6.99
165229,0,60.00,61.42,1.36,5.08,0.00,10.94
758087,0,60.00,188.05,3.32,5.10,0.00,5.57
700522,0,60.00,144.07,3.90,4.96,0.00,11.54
354525,0,60.00,174.67,4.46,4.96,0.00,8.40
67920,0,60.00,116.47,2.53,4.94,0.00,5.39
970698,0,60.00,142.58,2.60,5.10,0.00,9.44
445687,0,60.00,73.39,1.62,5.26,0.00,11.37
893121,0,60.00,115.05,2.23,5.15,0.00,9.67
677919,0,60.00,125.33,2.67,5.22,0.00,7.05
778383,0,60.00,135.53,2.47,5.39,0.00,7.81
759899,0,60.00,171.49,3.41,4.94,0.00,6.24
194638,0,60.00,104.60,1.91,5.25,0.00,8.73
363906,0,60.00,159.15,3.35,5.11,0.00,7.93
466721,0,60.00,55.72,1.14,5.12,0.00,9.61
497791,0,60.00,108.96,2.05,5.21,0.00,6.81
43803,0,60.00,96.71,2.10,5.07,0.00,10.69
546569,0,60.00,104.49,2.01,5.03,0.00,9.77
154289,0,60.00,117.95,2.43,5.35,0.00,11.22
743375,0,60.00,90.99,2.62,5.06,0.00,8.84
