seed,hit,time_to_intercept,initial_sep,closing_vel_avg,min_sep,final_zem,target_speed
89250,0,60.00,115.16,15.74,26.18,298.17,5.24
773956,0,60.00,183.24,17.21,24.38,298.71,11.01
654571,0,60.00,90.06,15.52,25.78,780.28,9.84
438878,0,60.00,98.94,15.71,25.22,660.96,7.91
433015,0,60.00,148.53,16.14,27.59,786.06,7.44
858597,0,60.00,154.81,16.56,26.87,14.93,10.13
85945,0,60.00,88.80,15.65,21.70,173.51,5.59
697368,0,60.00,154.51,16.50,20.52,290.91,10.82
201469,0,60.00,126.11,15.10,28.09,37.76,8.94
94177,0,60.00,162.39,17.11,26.43,511.99,11.13
526478,0,60.00,109.48,15.77,26.40,285.92,6.77
975622,0,60.00,160.65,16.75,23.79,49.86,6.71
735752,0,60.00,121.84,17.03,25.52,47.19,11.61
761139,0,60.00,107.36,16.88,21.95,161.34,10.77
717477,0,60.00,139.14,16.42,25.54,287.87,9.52
786064,0,60.00,83.23,16.16,27.23,273.59,8.30
513226,0,60.00,97.83,15.78,23.73,133.01,9.16
128113,0,60.00,164.95,16.89,24.31,384.50,7.51
839748,0,60.00,147.55,16.41,26.85,588.43,10.04
450385,0,60.00,178.39,16.74,23.80,1019.53,7.70
500351,0,60.00,83.82,15.06,23.06,53.00,8.22
370798,0,60.00,126.38,16.05,24.54,48.11,11.90
182549,0,60.00,196.73,16.60,24.21,665.18,6.66
926764,0,60.00,82.14,15.90,24.38,751.27,11.26
781567,0,60.00,99.78,15.38,22.05,113.17,9.80
643865,0,60.00,51.75,15.93,24.22,531.52,7.14
402414,0,60.00,104.72,16.52,21.92,545.23,9.57
822761,0,60.00,74.89,15.80,25.30,353.21,9.39
545429,0,60.00,169.84,16.84,26.36,144.69,7.89
443414,0,60.00,50.37,15.50,22.91,348.18,6.25
450459,0,60.00,149.34,16.78,29.42,579.02,8.56
227238,0,60.00,81.86,15.65,25.07,509.48,5.95
92135,0,60.00,78.52,15.05,22.19,230.96,6.66
554584,0,60.00,75.44,15.67,22.06,71.36,6.10
887889,0,60.00,91.18,15.87,24.72,118.98,11.92
63817,0,60.00,134.75,16.53,20.27,52.99,9.19
858291,0,60.00,93.32,15.92,28.30,44.47,9.65
827631,0,60.00,69.73,14.88,24.77,264.17,8.42
276759,0,60.00,74.58,16.22,23.63,877.46,8.32
631664,0,60.00,148.85,15.74,26.50,996.02,6.99
165229,0,60.00,61.42,16.00,24.48,49.13,10.94
758087,0,60.00,188.05,16.79,24.67,122.02,5.57
