seed,hit,time_to_intercept,initial_sep,closing_vel_avg,min_sep,final_zem,target_speed
89250,1,5.90,115.16,22.61,1.18,3.73,5.24
773956,1,8.00,183.24,26.53,1.23,0.49,11.01
654571,1,4.50,90.06,23.77,0.52,0.68,9.84
438878,1,5.50,98.94,22.45,0.99,2.61,7.91
433015,1,6.85,148.53,25.67,1.04,7.52,7.44
858597,1,6.70,154.81,25.65,0.89,0.41,10.13
85945,1,5.85,88.80,19.60,1.13,10.43,5.59
697368,1,6.80,154.51,25.33,1.09,4.73,10.82
201469,1,6.10,126.11,23.69,1.07,0.22,8.94
94177,1,10.05,162.39,22.95,1.47,12.09,11.13
526478,1,5.85,109.48,21.21,1.09,11.29,6.77
975622,1,7.30,160.65,24.07,1.29,0.41,6.71
735752,1,5.75,121.84,24.00,0.80,0.83,11.61
761139,1,6.10,107.36,21.57,1.49,10.12,10.77
717477,1,8.95,139.14,19.94,1.21,0.63,9.52
786064,1,4.30,83.23,23.65,1.41,1.71,8.30
513226,1,4.65,97.83,24.48,1.19,0.71,9.16
128113,1,7.95,164.95,23.73,1.48,23.50,7.51
839748,1,7.35,147.55,21.80,1.01,4.88,10.04
450385,1,8.20,178.39,23.42,1.45,0.27,7.70
500351,1,5.40,83.82,19.87,1.48,0.29,8.22
370798,1,6.15,126.38,26.88,1.00,0.73,11.90
182549,1,8.65,196.73,24.86,0.86,0.26,6.66
926764,1,8.55,82.14,17.74,1.47,6.07,11.26
781567,1,5.40,99.78,22.39,1.46,0.90,9.80
643865,1,3.30,51.75,20.70,0.73,4.88,7.14
402414,1,5.00,104.72,23.91,1.41,3.58,9.57
822761,1,4.55,74.89,19.48,0.98,3.36,9.39
545429,1,8.50,169.84,22.37,0.83,0.82,7.89
443414,1,3.45,50.37,18.98,0.56,0.84,6.25
450459,1,8.05,149.34,21.86,1.29,4.02,8.56
227238,1,4.50,81.86,23.01,1.01,6.11,5.95
92135,1,4.45,78.52,21.03,0.44,0.47,6.66
554584,1,4.35,75.44,21.06,1.02,1.53,6.10
887889,1,9.40,91.18,17.60,0.74,1.34,11.92
63817,1,6.50,134.75,23.70,0.67,3.57,9.19
858291,1,5.20,93.32,25.53,1.06,0.12,9.65
827631,1,3.85,69.73,20.66,1.32,2.87,8.42
276759,1,6.00,74.58,17.19,1.43,7.68,8.32
631664,1,9.05,148.85,19.44,1.39,0.94,6.99
165229,1,7.90,61.42,16.58,1.36,5.73,10.94
758087,1,8.85,188.05,24.52,1.00,0.70,5.57
700522,1,6.85,144.07,23.80,0.91,0.57,11.54
354525,1,7.60,174.67,25.12,0.76,1.51,8.40
67920,1,6.05,116.47,22.15,1.27,3.31,5.39
970698,1,6.40,142.58,25.24,0.60,0.22,9.44
445687,1,3.85,73.39,22.46,1.11,1.36,11.37
893121,1,5.95,115.05,22.30,1.36,5.95,9.67
677919,1,6.00,125.33,24.16,1.26,0.70,7.05
778383,1,7.80,135.53,19.79,0.90,2.44,7.81
759899,1,8.25,171.49,23.96,1.07,1.29,6.24
194638,1,5.15,104.60,23.44,1.19,1.36,8.73
363906,1,8.45,159.15,22.01,1.24,1.93,7.93
466721,1,4.00,55.72,17.44,1.27,1.50,9.61
497791,1,5.40,108.96,23.05,1.36,3.83,6.81
43803,1,5.60,96.71,20.16,0.82,0.78,10.69
546569,1,6.15,104.49,19.43,1.01,1.91,9.77
154289,1,6.25,117.95,22.00,1.14,4.45,11.22
743375,1,4.55,90.99,23.58,1.24,0.64,8.84
683048,1,6.80,57.20,17.41,1.30,0.03,9.51
922527,1,4.95,95.16,22.71,1.01,1.13,6.72
744762,1,6.70,130.07,22.65,0.89,1.55,8.23
366642,1,4.10,79.91,22.59,1.18,1.49,11.34
967509,1,7.80,163.65,23.86,1.12,0.68,5.03
410850,1,5.95,93.41,19.14,1.18,4.97,10.95
325825,1,6.65,122.26,21.46,1.48,3.30,9.32
905535,1,10.10,105.52,16.65,0.65,0.38,8.86
370459,1,6.15,107.82,20.29,0.98,2.93,7.09
76343,1,4.90,86.81,21.19,0.76,10.18,11.98
469555,1,5.10,83.50,19.64,1.09,10.54,6.50
795679,1,3.30,55.70,21.91,1.16,3.12,9.83
189471,1,7.15,140.54,22.44,0.31,0.17,7.89
462940,1,4.80,88.43,21.60,0.92,2.38,5.70
129921,1,5.85,137.69,27.01,1.06,1.50,11.03
686478,1,4.35,83.24,23.05,1.04,0.79,8.27
475704,1,8.30,84.48,17.52,1.46,0.26,9.50
330196,1,6.10,107.91,20.62,1.34,1.32,5.22
226909,1,7.75,164.79,23.89,1.16,2.51,6.04
564499,1,5.00,95.56,22.39,1.11,0.28,5.83
669813,1,5.55,113.24,24.90,0.87,6.14,9.80
940306,1,3.65,61.68,20.11,1.41,0.31,5.50
437151,1,4.10,79.75,22.93,1.42,0.13,9.22
160688,1,6.05,129.59,23.44,1.14,3.85,6.77
832678,1,7.35,152.70,24.36,0.98,0.73,5.82
629764,1,4.05,77.34,23.70,1.13,6.22,8.85
700265,1,3.90,71.62,22.48,1.26,1.97,8.23
97226,1,7.30,118.21,19.94,1.43,2.50,9.44
312366,1,5.90,124.32,24.25,0.83,0.07,6.93
767843,1,8.10,171.06,24.02,0.63,0.15,8.08
832259,1,3.25,50.25,20.71,0.85,2.15,5.47
435216,1,4.00,69.40,21.02,0.97,2.16,8.96
804764,1,6.60,127.63,22.91,1.31,0.90,10.77
841691,1,5.80,111.43,22.12,1.21,3.02,6.53
387478,1,4.45,72.08,22.23,1.48,0.62,10.73
898087,1,6.70,136.24,23.70,0.82,1.97,8.07
288328,1,6.05,117.20,22.65,1.47,0.64,5.11
239557,1,6.90,139.20,22.20,1.09,13.99,5.34
682495,1,7.95,193.31,27.35,1.45,0.97,10.85
636761,1,6.65,130.75,23.07,0.90,0.37,7.46
139752,1,7.15,96.55,18.78,0.70,0.99,6.44
832736,1,8.25,170.76,23.70,1.03,1.26,6.66
199908,1,6.25,130.40,23.29,0.49,0.25,6.78
804899,1,5.40,90.76,21.51,1.40,17.43,10.76
7362,1,6.95,146.48,23.61,1.39,0.14,6.77
796842,1,5.40,79.63,20.47,0.64,7.88,5.81
786924,1,7.15,164.90,26.84,1.07,0.66,9.98
780364,1,5.85,85.21,19.32,1.42,22.08,11.55
664850,1,4.25,73.55,22.55,1.28,2.79,9.45
471567,1,5.80,129.49,25.63,1.12,0.17,11.62
705165,1,5.80,130.86,26.70,0.97,1.10,11.78
277121,1,9.70,130.23,21.76,0.89,2.54,10.00
780729,1,3.75,66.88,23.12,0.90,0.61,7.53
555646,1,3.45,57.62,19.22,1.45,0.08,6.53
458915,1,6.60,150.56,25.75,0.59,0.14,9.35
505606,1,4.05,71.38,21.69,1.32,0.09,9.29
568741,1,8.50,176.16,25.11,1.40,1.04,9.13
37262,1,6.45,95.54,19.26,1.28,2.03,11.46
139796,1,6.20,106.11,20.91,1.01,1.17,8.85
245481,1,4.15,65.76,20.36,0.96,18.07,6.76
114530,1,5.60,117.58,24.05,0.75,2.30,11.16
