seed,hit,time_to_intercept,initial_sep,closing_vel_avg,min_sep,final_zem,target_speed
89250,1,4.90,115.16,22.72,2.69,1.54,4.24
773956,1,6.35,183.24,28.28,2.27,1.41,10.01
654571,1,3.50,90.06,24.53,2.84,1.34,8.84
438878,1,4.20,98.94,22.63,2.74,2.03,6.91
433015,1,5.70,148.53,25.38,2.62,1.05,6.44
858597,1,5.55,154.81,27.12,2.89,1.25,9.13
85945,1,4.20,88.80,20.21,2.93,1.37,4.59
697368,1,5.45,154.51,27.67,2.30,1.71,9.82
201469,1,5.00,126.11,24.52,2.26,1.27,7.94
94177,1,5.80,162.39,27.29,2.72,1.01,10.13
526478,1,4.45,109.48,23.73,2.70,0.91,5.77
975622,1,6.40,160.65,24.54,2.39,1.02,5.71
735752,1,4.55,121.84,25.87,2.73,0.91,10.61
761139,1,4.45,107.36,23.30,2.40,1.37,9.77
717477,1,7.55,139.14,17.94,2.92,0.91,8.52
786064,1,3.30,83.23,24.13,2.29,1.50,7.30
513226,1,3.80,97.83,24.82,2.21,1.18,8.16
128113,1,6.40,164.95,25.18,2.59,1.51,6.51
839748,1,6.10,147.55,23.59,2.46,1.39,9.04
450385,1,7.00,178.39,24.96,2.46,1.71,6.70
500351,1,4.35,83.82,18.47,2.57,0.87,7.22
370798,1,4.40,126.38,27.73,2.88,1.43,10.90
182549,1,7.55,196.73,25.54,2.67,1.10,5.66
926764,1,4.80,82.14,16.39,2.55,0.80,10.26
781567,1,4.45,99.78,21.51,2.93,1.63,8.80
643865,1,2.50,51.75,19.36,2.33,1.31,6.14
402414,1,3.95,104.72,25.48,2.70,1.69,8.57
822761,1,3.65,74.89,19.51,2.67,1.30,8.39
545429,1,7.20,169.84,23.04,2.85,2.09,6.89
443414,1,2.35,50.37,20.06,2.18,1.02,5.25
450459,1,6.90,149.34,21.07,2.93,1.74,7.56
227238,1,3.45,81.86,22.74,2.23,1.95,4.95
92135,1,3.45,78.52,21.62,2.81,0.95,5.66
554584,1,3.35,75.44,21.30,2.99,1.09,5.10
887889,1,5.45,91.18,16.14,2.34,1.72,10.92
63817,1,5.40,134.75,24.23,2.68,1.69,8.19
858291,1,3.55,93.32,25.07,2.95,1.77,8.65
827631,1,2.90,69.73,22.72,2.56,1.13,7.42
276759,1,4.40,74.58,16.20,2.62,1.85,7.32
631664,1,7.45,148.85,19.50,2.65,0.83,5.99
165229,1,3.40,61.42,17.13,2.35,1.51,9.94
758087,1,7.50,188.05,24.58,2.55,1.08,4.57
700522,1,5.75,144.07,24.36,2.68,1.56,10.54
354525,1,6.65,174.67,25.74,2.27,1.05,7.40
67920,1,5.05,116.47,22.37,2.43,0.77,4.39
970698,1,5.20,142.58,26.65,2.63,1.19,8.44
445687,1,2.95,73.39,23.57,2.47,1.42,10.37
893121,1,4.90,115.05,22.74,2.45,1.34,8.67
677919,1,4.90,125.33,24.79,2.62,1.70,6.05
778383,1,6.65,135.53,19.89,2.27,1.25,6.81
759899,1,7.20,171.49,23.28,2.79,1.19,5.24
194638,1,4.15,104.60,24.24,2.76,1.28,7.73
363906,1,7.20,159.15,21.61,2.52,1.52,6.93
466721,1,2.75,55.72,18.92,2.74,1.26,8.61
497791,1,4.50,108.96,23.44,2.30,1.60,5.81
43803,1,4.50,96.71,20.71,2.42,1.84,9.69
546569,1,5.10,104.49,19.83,2.34,1.67,8.77
154289,1,4.95,117.95,23.09,2.67,1.25,10.22
743375,1,3.55,90.99,24.46,2.82,1.68,7.84
683048,1,2.90,57.20,18.49,2.68,1.20,8.51
922527,1,3.90,95.16,23.44,2.53,1.74,5.72
744762,1,5.45,130.07,23.18,2.57,1.72,7.23
366642,1,3.20,79.91,23.81,2.35,0.97,10.34
967509,1,6.70,163.65,23.81,2.98,1.26,4.03
410850,1,4.80,93.41,18.75,2.42,1.70,9.95
325825,1,5.50,122.26,21.52,2.76,1.75,8.32
905535,1,5.55,105.52,18.32,2.93,1.37,7.86
370459,1,4.85,107.82,21.49,2.51,1.54,6.09
76343,1,3.70,86.81,22.46,2.45,1.83,10.98
469555,1,3.80,83.50,21.11,2.23,0.89,5.50
795679,1,2.30,55.70,22.42,2.76,1.16,8.83
189471,1,6.05,140.54,22.67,2.28,1.39,6.89
462940,1,3.70,88.43,22.88,2.62,1.08,4.70
129921,1,4.85,137.69,27.58,2.50,1.28,10.03
686478,1,3.45,83.24,23.12,2.23,1.41,7.27
475704,1,4.05,84.48,20.00,2.46,1.22,8.50
330196,1,4.95,107.91,21.04,2.76,1.33,4.22
226909,1,6.70,164.79,24.06,2.40,1.67,5.04
564499,1,3.95,95.56,23.28,2.46,1.01,4.83
669813,1,4.25,113.24,25.70,2.64,1.03,8.80
940306,1,2.65,61.68,21.75,2.91,1.64,4.50
437151,1,3.15,79.75,24.13,2.42,0.96,8.22
160688,1,5.15,129.59,24.50,2.20,1.38,5.77
832678,1,6.35,152.70,23.42,2.86,0.73,4.82
629764,1,3.15,77.34,23.36,2.46,1.43,7.85
700265,1,3.00,71.62,22.66,2.43,0.88,7.23
97226,1,6.35,118.21,18.10,2.57,1.18,8.44
312366,1,4.95,124.32,24.31,2.77,1.66,5.93
767843,1,6.80,171.06,24.60,2.59,0.94,7.08
832259,1,2.25,50.25,20.71,2.54,1.26,4.47
435216,1,3.10,69.40,21.08,2.90,1.48,7.96
804764,1,4.70,127.63,26.38,2.24,1.10,9.77
841691,1,4.65,111.43,23.18,2.53,2.16,5.53
387478,1,3.00,72.08,22.65,2.86,1.16,9.73
898087,1,5.30,136.24,24.93,2.87,1.43,7.07
288328,1,4.85,117.20,23.41,2.53,0.97,4.11
239557,1,5.80,139.20,23.37,2.57,0.82,4.34
682495,1,6.80,193.31,27.81,2.78,1.34,9.85
636761,1,5.70,130.75,22.23,2.89,2.01,6.46
139752,1,5.55,96.55,16.74,2.98,1.02,5.44
832736,1,7.00,170.76,23.81,2.92,2.27,5.66
199908,1,5.10,130.40,24.79,2.76,1.90,5.78
804899,1,3.75,90.76,23.26,2.22,1.36,9.76
7362,1,5.85,146.48,24.41,2.50,1.19,5.77
796842,1,4.25,79.63,17.98,2.46,2.19,4.81
786924,1,5.90,164.90,27.26,2.71,0.95,8.98
780364,1,4.50,85.21,18.14,2.64,1.91,10.55
664850,1,3.30,73.55,21.27,2.20,1.40,8.45
471567,1,4.90,129.49,25.70,2.19,1.66,10.62
705165,1,4.70,130.86,26.99,2.57,0.76,10.78
277121,1,4.95,130.23,25.60,2.20,1.02,9.00
780729,1,2.80,66.88,22.55,2.48,1.99,6.53
555646,1,2.55,57.62,21.26,2.24,1.35,5.53
458915,1,5.55,150.56,26.43,2.53,1.22,8.35
505606,1,3.05,71.38,22.06,2.89,1.01,8.29
568741,1,6.60,176.16,26.06,2.83,1.59,8.13
37262,1,5.40,95.54,17.12,2.22,1.06,10.46
139796,1,4.45,106.11,23.03,2.35,1.21,7.85
245481,1,2.85,65.76,21.76,2.55,1.27,5.76
114530,1,4.55,117.58,24.99,2.50,1.29,10.16
439613,1,3.55,87.83,23.70,2.39,1.83,8.23
668402,1,4.45,86.82,18.76,2.51,1.13,4.52
654428,1,5.05,141.96,27.37,2.34,1.05,9.79
471096,1,4.75,77.24,15.61,2.45,0.87,7.75
855080,1,4.40,99.02,21.70,2.44,1.67,4.75
565236,1,6.65,167.30,24.61,2.46,1.16,5.05
79197,1,4.55,109.45,23.24,2.59,1.09,4.22
764998,1,5.75,104.00,17.54,2.29,1.79,9.65
574600,1,7.20,174.47,23.73,2.52,1.41,4.02
634718,1,4.95,118.04,23.11,2.51,1.86,6.54
565373,1,4.00,98.01,23.50,2.79,1.43,6.24
553579,1,6.15,150.42,23.86,2.57,1.36,4.17
90566,1,5.20,104.26,19.40,2.44,1.42,7.53
559207,1,4.10,106.70,25.07,2.59,1.29,9.03
794912,1,2.65,62.68,22.10,2.87,1.42,6.07
303950,1,2.35,53.48,21.19,2.46,1.51,7.08
602838,1,2.50,54.19,20.06,2.99,1.58,6.52
30817,1,5.45,113.46,20.20,2.28,1.35,10.99
347499,1,3.40,67.36,18.71,2.84,1.69,7.29
436717,1,5.05,111.65,21.34,2.84,1.32,5.13
982738,1,5.10,137.33,26.20,2.32,1.22,9.97
214584,1,5.75,92.47,15.36,2.91,0.90,10.79
276548,1,3.95,94.91,23.16,2.27,0.73,6.22
408528,1,4.15,78.54,18.19,2.25,1.33,4.31
992665,1,3.90,70.64,17.34,2.19,1.55,7.92
853403,1,6.60,169.46,25.09,2.58,2.06,8.07
34692,1,5.35,131.65,23.93,2.40,1.42,7.86
233939,1,5.90,171.57,28.37,2.71,0.98,10.64
821674,1,5.85,146.22,24.37,2.41,1.75,8.66
58302,1,3.25,71.81,20.84,2.91,2.24,9.98
855670,1,3.70,100.64,26.01,2.98,0.81,10.06
281383,1,4.10,90.04,21.16,2.23,1.23,4.94
917652,1,4.80,87.09,17.48,2.49,1.32,4.35
293593,1,5.20,132.94,24.83,2.59,1.00,7.01
434316,1,2.95,65.05,20.83,2.49,1.47,5.86
661916,1,4.85,117.46,23.49,2.35,1.26,5.27
126280,1,6.10,164.84,26.38,2.55,1.68,8.93
557032,1,4.15,92.92,21.53,2.49,1.54,6.11
505015,1,3.70,95.81,24.89,2.41,0.78,8.22
783898,1,4.10,85.90,20.06,2.68,1.69,4.44
996106,1,5.60,130.66,22.72,2.28,1.40,7.36
664313,1,3.45,83.15,23.07,2.39,1.40,5.07
409186,1,4.75,128.28,26.21,2.42,1.16,8.84
406386,1,4.00,66.14,15.64,2.90,1.89,8.72
417958,1,7.45,196.78,25.86,2.86,1.67,7.71
814020,1,5.00,126.63,24.55,2.68,1.36,5.52
321215,1,5.30,114.67,20.96,2.46,0.71,10.82
166972,1,3.35,79.57,22.72,2.19,1.29,10.34
334291,1,3.35,65.21,18.50,2.32,1.57,7.55
22712,1,7.20,180.30,24.57,2.25,1.41,4.92
106142,1,7.10,148.25,20.40,2.45,1.24,4.37
90047,1,4.40,115.89,25.50,2.36,0.92,8.22
771552,1,4.50,99.24,21.32,2.17,1.38,8.90
722359,1,7.00,188.68,26.38,2.72,1.31,8.19
696770,1,5.45,141.93,25.38,2.34,1.01,6.50
461877,1,6.30,172.38,26.78,2.34,1.63,8.94
717058,1,3.30,62.55,17.89,2.78,0.82,4.11
161271,1,5.95,81.78,13.27,2.32,1.27,10.58
900621,1,4.85,71.43,14.14,2.28,1.59,9.90
501044,1,7.00,184.54,25.82,2.49,1.24,10.21
938051,1,7.60,181.33,23.34,2.87,2.25,4.84
152312,1,4.45,106.02,23.01,2.48,1.92,4.84
497330,1,5.35,132.61,24.01,2.92,1.50,6.06
696320,1,6.00,163.60,26.65,2.33,1.39,8.61
495625,1,5.15,145.75,27.49,2.73,1.86,9.80
446156,1,5.85,165.45,27.66,2.23,1.22,10.61
166214,1,6.35,151.61,23.35,2.24,1.80,4.37
381021,1,5.10,116.05,22.08,2.39,1.26,5.32
238766,1,3.95,99.89,24.39,2.31,1.14,6.75
301512,1,6.20,143.05,22.47,2.56,1.36,10.08
683700,1,4.50,80.99,17.15,2.91,1.87,10.71
630282,1,4.90,108.57,21.33,2.96,1.14,8.72
607196,1,4.30,111.67,25.13,2.25,1.73,9.22
361812,1,2.90,63.13,20.40,2.95,0.78,4.46
959692,1,4.20,92.28,21.13,2.44,1.67,10.45
87649,1,4.05,88.86,21.02,2.69,1.77,4.22
342590,1,3.45,88.57,24.52,2.63,1.37,9.23
118005,1,3.60,90.15,23.99,2.50,1.93,8.03
338943,1,6.30,123.12,19.05,2.28,0.98,4.43
961897,1,3.35,68.81,19.38,2.94,1.86,6.68
366263,1,3.40,75.89,21.27,2.48,1.58,4.07
908580,1,3.30,75.36,21.70,2.54,1.44,9.38
495065,1,6.40,171.95,26.24,2.71,1.29,7.61
699707,1,6.10,159.40,25.50,2.58,1.47,6.51
457417,1,6.35,145.30,22.26,2.83,1.36,6.64
265869,1,3.60,90.49,24.14,2.27,1.02,9.68
764229,1,4.05,106.90,25.40,2.69,1.05,8.21
969176,1,4.30,96.98,21.68,2.61,1.24,7.85
263524,1,5.85,137.20,22.83,2.52,1.27,6.47
778750,1,7.05,165.24,22.92,2.58,0.86,4.93
261140,1,6.20,155.12,24.41,2.57,1.96,7.85
716890,1,4.35,94.98,21.05,2.30,1.03,9.63
789006,1,4.55,118.05,25.17,2.25,1.14,8.46
449361,1,3.75,82.84,21.15,2.49,1.70,4.07
736919,1,6.10,102.46,16.32,2.26,1.40,8.28
272241,1,3.85,77.38,19.23,2.42,1.14,6.29
79253,1,2.45,53.00,20.01,2.83,1.78,8.68
96390,1,2.85,64.54,21.20,2.88,1.18,10.33
447023,1,6.75,182.92,26.57,2.23,1.18,10.06
902602,1,2.95,73.05,23.40,2.63,1.92,10.27
127576,1,6.60,167.34,24.82,2.32,1.19,5.28
455776,1,5.95,116.37,18.98,2.55,1.27,5.57
704032,1,4.20,86.64,19.73,2.83,1.33,5.60
202363,1,6.85,186.70,26.69,2.51,1.27,10.78
721616,1,4.00,78.20,18.69,2.55,1.23,5.54
305956,1,6.75,170.22,24.68,2.39,1.50,6.77
808660,1,3.15,71.62,21.45,2.96,1.35,4.76
579219,1,5.40,130.90,23.54,2.63,1.14,5.75
546907,1,3.70,75.54,19.51,2.28,1.24,10.58
176772,1,2.35,54.95,21.71,2.65,1.32,8.19
463205,1,4.65,117.87,24.46,2.79,1.34,10.62
856614,1,3.70,91.30,23.63,2.65,1.96,6.42
19523,1,3.00,62.73,19.58,2.98,1.83,5.86
758519,1,5.30,135.43,24.80,2.78,0.77,5.93
492762,1,3.55,96.41,26.12,2.23,1.49,10.94
719462,1,6.40,171.18,26.07,2.95,1.09,10.51
663298,1,3.95,78.99,19.01,2.98,0.89,7.82
432093,1,3.30,73.89,21.17,2.98,1.55,4.29
308667,1,3.95,87.45,21.30,2.17,1.86,9.83
627308,1,3.95,90.73,22.10,2.25,1.90,9.46
140224,1,3.20,78.68,23.36,2.68,1.01,7.20
584097,1,7.65,192.70,24.74,2.26,0.85,4.97
94694,1,7.15,187.06,25.66,2.40,0.81,5.98
