seed,hit,time_to_intercept,initial_sep,closing_vel_avg,min_sep,final_zem,target_speed
89250,1,11.05,115.16,19.06,2.71,4.17,5.24
773956,1,13.20,183.24,21.96,2.54,16.89,11.01
654571,1,7.30,90.06,19.47,2.14,1.44,9.84
438878,1,9.10,98.94,19.09,2.48,51.98,7.91
433015,1,10.75,148.53,22.05,1.78,37.83,7.44
858597,1,12.85,154.81,20.55,2.84,31.84,10.13
85945,1,9.15,88.80,18.67,1.98,1.03,5.59
697368,1,11.15,154.51,22.39,2.93,1.60,10.82
201469,1,9.00,126.11,21.23,2.83,33.79,8.94
94177,1,10.25,162.39,23.93,2.65,16.51,11.13
526478,1,11.10,109.48,18.99,2.46,9.93,6.77
975622,1,12.50,160.65,20.72,2.43,41.84,6.71
735752,1,7.95,121.84,22.83,2.55,18.78,11.61
761139,1,11.35,107.36,18.66,2.39,4.18,10.77
717477,1,11.55,139.14,19.11,2.02,5.17,9.52
786064,1,7.30,83.23,20.26,1.83,17.65,8.30
513226,1,6.35,97.83,21.86,2.48,2.15,9.16
128113,1,11.45,164.95,21.96,2.65,1.89,7.51
839748,1,9.85,147.55,20.71,2.71,10.90,10.04
450385,1,11.20,178.39,22.68,2.47,2.58,7.70
500351,1,11.75,83.82,15.48,2.10,2.43,8.22
370798,1,10.60,126.38,22.39,2.73,3.76,11.90
182549,1,10.90,196.73,23.11,2.83,0.95,6.66
926764,1,8.90,82.14,16.87,2.52,2.09,11.26
781567,1,10.85,99.78,19.37,2.81,21.94,9.80
643865,1,6.05,51.75,17.93,2.68,2.35,7.14
402414,1,8.30,104.72,20.47,2.58,0.67,9.57
822761,1,8.35,74.89,17.26,2.32,18.25,9.39
545429,1,12.75,169.84,21.09,2.64,1.82,7.89
443414,1,5.50,50.37,18.40,2.84,3.86,6.25
450459,1,9.55,149.34,20.25,2.08,24.27,8.56
227238,1,8.85,81.86,19.23,2.93,5.42,5.95
92135,1,8.20,78.52,18.73,2.67,1.79,6.66
554584,1,9.20,75.44,18.61,2.56,1.77,6.10
