seed,hit,time_to_intercept,initial_sep,closing_vel_avg,min_sep,final_zem,target_speed
89250,1,23.30,115.16,5.30,1.40,5.73,5.24
773956,1,22.30,183.24,8.71,1.35,6.72,11.01
654571,1,21.60,90.06,4.74,1.29,6.28,9.84
438878,1,21.05,98.94,4.86,1.40,6.18,7.91
433015,1,23.45,148.53,6.75,1.50,6.19,7.44
858597,1,21.80,154.81,7.26,1.35,6.15,10.13
85945,1,23.10,88.80,4.20,1.39,6.21,5.59
697368,1,21.85,154.51,7.44,1.37,6.51,10.82
201469,1,21.70,126.11,6.23,1.33,2.84,8.94
94177,1,22.45,162.39,7.47,1.33,6.15,11.13
526478,1,22.60,109.48,5.38,1.34,6.43,6.77
975622,1,25.00,160.65,7.02,1.48,5.71,6.71
735752,1,20.15,121.84,6.21,1.29,4.95,11.61
761139,1,20.90,107.36,5.54,1.41,5.37,10.77
717477,1,24.00,139.14,6.12,1.35,5.09,9.52
786064,1,20.25,83.23,4.53,1.19,3.19,8.30
513226,1,21.15,97.83,5.14,1.44,5.74,9.16
128113,1,23.85,164.95,7.66,1.36,5.93,7.51
839748,1,23.30,147.55,7.01,1.31,5.79,10.04
450385,1,24.20,178.39,7.80,1.42,6.02,7.70
500351,1,21.60,83.82,4.09,1.50,5.86,8.22
370798,1,20.70,126.38,6.50,1.41,5.06,11.90
182549,1,24.85,196.73,8.58,1.49,6.36,6.66
926764,1,20.00,82.14,4.19,1.37,5.74,11.26
781567,1,20.75,99.78,5.01,1.37,5.78,9.80
643865,1,20.25,51.75,2.70,1.45,6.30,7.14
402414,1,21.00,104.72,5.27,1.36,5.52,9.57
822761,1,20.35,74.89,3.83,1.45,6.53,9.39
545429,1,24.00,169.84,7.50,1.36,5.76,7.89
443414,1,20.60,50.37,2.78,1.47,5.39,6.25
450459,1,23.90,149.34,6.77,1.37,6.04,8.56
227238,1,22.50,81.86,4.17,1.33,5.89,5.95
92135,1,21.10,78.52,4.06,1.30,5.46,6.66
554584,1,22.10,75.44,3.80,1.45,5.60,6.10
887889,1,20.15,91.18,4.64,1.49,5.76,11.92
63817,1,22.50,134.75,6.42,1.27,5.21,9.19
858291,1,20.35,93.32,4.93,1.31,6.01,9.65
827631,1,20.25,69.73,3.80,1.48,7.08,8.42
276759,1,21.20,74.58,3.82,1.45,6.41,8.32
631664,1,24.80,148.85,6.39,1.27,5.27,6.99
165229,1,19.50,61.42,3.52,1.43,5.59,10.94
758087,1,26.55,188.05,7.94,1.30,4.75,5.57
700522,1,21.90,144.07,6.86,1.30,6.69,11.54
354525,1,24.10,174.67,7.91,1.36,6.19,8.40
67920,1,23.00,116.47,5.65,1.45,7.24,5.39
970698,1,22.15,142.58,6.88,1.45,6.13,9.44
445687,1,19.80,73.39,3.97,1.37,5.68,11.37
893121,1,21.50,115.05,5.77,1.45,6.06,9.67
677919,1,23.60,125.33,5.90,1.50,4.94,7.05
778383,1,25.00,135.53,5.97,1.38,5.38,7.81
759899,1,25.15,171.49,7.38,1.26,4.90,6.24
194638,1,21.55,104.60,5.16,1.47,5.49,8.73
363906,1,24.80,159.15,6.92,1.33,5.78,7.93
466721,1,19.35,55.72,3.18,1.26,5.07,9.61
497791,1,22.45,108.96,5.25,1.39,5.37,6.81
43803,1,21.15,96.71,4.92,1.42,5.22,10.69
546569,1,21.25,104.49,5.00,1.43,5.21,9.77
154289,1,21.25,117.95,5.85,1.31,4.82,11.22
743375,1,20.55,90.99,4.72,1.27,4.63,8.84
683048,1,18.95,57.20,3.14,1.32,2.52,9.51
922527,1,22.05,95.16,4.51,1.38,6.04,6.72
744762,1,23.10,130.07,6.08,1.39,6.19,8.23
366642,1,19.10,79.91,4.49,1.43,6.10,11.34
967509,1,24.80,163.65,7.00,1.40,5.58,5.03
410850,1,20.75,93.41,4.80,1.34,6.73,10.95
325825,1,22.20,122.26,5.85,1.43,6.10,9.32
905535,1,21.70,105.52,5.02,1.43,4.76,8.86
370459,1,22.45,107.82,5.19,1.37,5.32,7.09
76343,1,19.80,86.81,4.76,1.41,5.68,11.98
469555,1,22.05,83.50,4.22,1.47,6.37,6.50
795679,1,19.15,55.70,3.04,1.25,4.69,9.83
189471,1,23.35,140.54,6.50,1.38,5.68,7.89
462940,1,22.30,88.43,4.28,1.33,6.55,5.70
129921,1,21.90,137.69,6.63,1.39,5.27,11.03
686478,1,21.50,83.24,4.29,1.42,6.21,8.27
475704,1,19.80,84.48,4.39,1.43,5.00,9.50
330196,1,23.00,107.91,4.99,1.33,6.79,5.22
226909,1,24.70,164.79,7.30,1.36,3.18,6.04
564499,1,22.05,95.56,4.82,1.31,5.71,5.83
669813,1,21.00,113.24,5.72,1.50,5.09,9.80
940306,1,22.60,61.68,3.23,1.23,4.78,5.50
437151,1,19.70,79.75,4.19,1.40,6.72,9.22
160688,1,23.15,129.59,6.17,1.44,5.12,6.77
832678,1,24.00,152.70,7.00,1.43,2.62,5.82
629764,1,20.00,77.34,4.03,1.37,5.81,8.85
700265,1,21.20,71.62,3.74,1.36,6.67,8.23
97226,1,22.45,118.21,5.59,1.43,5.77,9.44
312366,1,22.20,124.32,5.96,1.43,5.55,6.93
767843,1,23.50,171.06,7.68,1.27,5.01,8.08
832259,1,20.20,50.25,2.94,1.35,2.74,5.47
435216,1,20.65,69.40,3.62,1.34,5.37,8.96
804764,1,21.00,127.63,6.69,1.40,5.94,10.77
841691,1,22.75,111.43,5.33,1.34,5.58,6.53
387478,1,18.60,72.08,3.95,1.49,6.75,10.73
898087,1,24.10,136.24,6.40,1.19,4.75,8.07
288328,1,24.10,117.20,5.43,1.39,6.02,5.11
239557,1,24.20,139.20,6.30,1.28,5.04,5.34
682495,1,23.00,193.31,8.75,1.36,5.46,10.85
636761,1,23.80,130.75,5.93,1.39,6.03,7.46
139752,1,23.55,96.55,4.40,1.33,3.01,6.44
832736,1,23.70,170.76,7.44,1.39,5.77,6.66
199908,1,22.80,130.40,6.21,1.36,5.79,6.78
804899,1,20.20,90.76,4.81,1.36,6.92,10.76
7362,1,24.30,146.48,6.74,1.39,5.88,6.77
796842,1,23.25,79.63,3.88,1.42,5.20,5.81
786924,1,22.90,164.90,7.65,1.48,5.77,9.98
780364,1,20.30,85.21,4.46,1.49,6.30,11.55
664850,1,20.90,73.55,3.86,1.43,4.67,9.45
471567,1,21.10,129.49,6.26,1.10,3.67,11.62
705165,1,20.50,130.86,6.68,1.48,5.41,11.78
277121,1,21.65,130.23,6.61,1.38,2.92,10.00
