seed,hit,time_to_intercept,initial_sep,closing_vel_avg,min_sep,final_zem,target_speed
89250,1,3.90,115.16,28.76,1.76,0.28,5.24
773956,1,7.50,183.24,23.96,2.25,1.38,11.01
654571,1,4.00,90.06,21.59,2.63,1.64,9.84
438878,1,6.35,98.94,16.89,2.93,1.78,7.91
433015,1,6.45,148.53,23.16,1.57,0.62,7.44
858597,1,7.30,154.81,21.83,2.92,5.55,10.13
85945,1,8.00,88.80,11.33,1.91,1.06,5.59
697368,1,8.35,154.51,20.54,2.35,0.89,10.82
201469,1,5.50,126.11,22.45,2.65,1.22,8.94
94177,1,8.95,162.39,18.62,2.03,0.67,11.13
526478,1,4.75,109.48,22.23,2.98,1.37,6.77
975622,1,7.50,160.65,22.73,1.54,0.30,6.71
735752,1,7.50,121.84,15.97,2.77,2.01,11.61
761139,1,7.05,107.36,15.45,1.97,0.71,10.77
717477,1,7.25,139.14,18.86,1.66,0.33,9.52
786064,1,2.90,83.23,27.82,1.07,0.06,8.30
513226,1,6.00,97.83,16.75,2.14,2.41,9.16
128113,1,9.85,164.95,17.38,2.98,1.48,7.51
839748,1,8.30,147.55,20.58,2.06,0.95,10.04
450385,1,6.45,178.39,27.11,2.59,1.76,7.70
500351,1,3.60,83.82,22.39,2.52,2.01,8.22
370798,1,5.25,126.38,23.97,2.62,2.31,11.90
182549,1,10.45,196.73,18.69,1.14,0.26,6.66
926764,1,3.30,82.14,23.90,2.37,1.64,11.26
781567,1,6.05,99.78,17.94,2.93,1.03,9.80
643865,1,1.85,51.75,26.48,1.73,0.41,7.14
402414,1,5.05,104.72,20.53,1.93,0.40,9.57
822761,1,5.95,74.89,11.93,2.79,0.38,9.39
545429,1,9.45,169.84,17.69,2.69,1.77,7.89
443414,1,2.85,50.37,16.52,2.53,1.33,6.25
450459,1,6.25,149.34,23.41,2.18,1.03,8.56
227238,1,5.40,81.86,14.40,2.75,4.36,5.95
92135,1,5.70,78.52,13.38,1.84,0.33,6.66
554584,1,6.10,75.44,13.11,2.89,1.25,6.10
887889,1,6.35,91.18,13.85,2.63,1.45,11.92
63817,1,7.60,134.75,17.85,2.74,0.42,9.19
858291,1,9.15,93.32,10.25,2.32,3.02,9.65
827631,1,3.45,69.73,20.05,2.89,0.42,8.42
276759,1,3.90,74.58,18.51,1.87,0.65,8.32
631664,1,8.70,148.85,16.88,2.10,0.65,6.99
165229,1,3.50,61.42,17.53,2.24,0.98,10.94
758087,1,8.50,188.05,21.74,2.07,0.52,5.57
700522,1,7.80,144.07,18.33,2.10,0.90,11.54
354525,1,7.15,174.67,23.97,2.09,0.80,8.40
67920,1,4.95,116.47,22.77,2.92,1.54,5.39
970698,1,7.75,142.58,19.26,2.71,2.85,9.44
445687,1,3.15,73.39,22.11,2.59,1.69,11.37
893121,1,8.45,115.05,16.54,2.98,1.78,9.67
677919,1,4.60,125.33,26.33,2.93,0.53,7.05
778383,1,9.95,135.53,14.12,2.85,15.76,7.81
759899,1,7.60,171.49,22.08,2.43,0.27,6.24
194638,1,6.85,104.60,14.98,2.91,1.82,8.73
363906,1,9.50,159.15,16.99,2.87,1.19,7.93
466721,1,5.30,55.72,10.32,2.51,3.28,9.61
497791,1,5.55,108.96,22.38,2.72,1.00,6.81
43803,1,5.25,96.71,17.72,2.62,0.55,10.69
546569,1,5.60,104.49,18.59,2.95,1.66,9.77
154289,1,7.35,117.95,15.92,2.73,0.77,11.22
743375,1,2.70,90.99,32.07,2.92,0.58,8.84
683048,1,3.10,57.20,17.20,2.82,0.37,9.51
922527,1,5.45,95.16,17.34,2.07,0.91,6.72
744762,1,7.50,130.07,17.50,2.69,2.06,8.23
366642,1,3.05,79.91,25.33,1.18,0.18,11.34
967509,1,7.40,163.65,22.17,2.96,1.56,5.03
410850,1,4.35,93.41,20.74,2.31,2.28,10.95
325825,1,5.70,122.26,20.99,1.48,0.32,9.32
905535,1,9.20,105.52,11.46,2.81,2.79,8.86
370459,1,5.85,107.82,19.89,2.71,2.09,7.09
76343,1,3.90,86.81,21.25,2.53,0.19,11.98
469555,1,4.50,83.50,17.82,2.15,1.95,6.50
795679,1,4.35,55.70,12.75,2.40,0.83,9.83
189471,1,7.70,140.54,18.78,1.79,0.67,7.89
462940,1,6.40,88.43,13.56,2.90,1.79,5.70
129921,1,5.70,137.69,23.67,2.71,8.58,11.03
686478,1,5.55,83.24,15.33,2.97,8.66,8.27
475704,1,5.25,84.48,15.42,2.74,2.62,9.50
330196,1,5.85,107.91,18.64,2.28,0.88,5.22
226909,1,6.85,164.79,23.52,2.43,0.46,6.04
564499,1,3.10,95.56,29.60,2.46,0.23,5.83
669813,1,3.90,113.24,28.18,2.09,1.50,9.80
940306,1,3.25,61.68,17.73,2.79,0.41,5.50
437151,1,3.35,79.75,24.62,2.48,2.05,9.22
160688,1,10.30,129.59,12.81,2.96,2.38,6.77
832678,1,7.95,152.70,18.98,2.73,0.48,5.82
629764,1,4.60,77.34,16.38,2.71,0.99,8.85
700265,1,2.15,71.62,31.54,2.35,0.14,8.23
97226,1,9.15,118.21,12.84,2.96,2.22,9.44
312366,1,4.60,124.32,26.53,2.39,0.62,6.93
767843,1,7.10,171.06,24.80,2.69,1.11,8.08
832259,1,4.45,50.25,10.94,2.55,1.49,5.47
435216,1,4.60,69.40,14.79,2.43,1.39,8.96
804764,1,7.65,127.63,16.38,2.88,0.44,10.77
841691,1,4.60,111.43,23.90,1.53,0.25,6.53
387478,1,3.05,72.08,22.43,2.40,0.59,10.73
898087,1,4.65,136.24,28.40,2.83,0.45,8.07
288328,1,5.10,117.20,22.73,2.60,0.71,5.11
239557,1,5.15,139.20,26.35,2.62,1.84,5.34
682495,1,8.95,193.31,22.57,2.61,2.52,10.85
636761,1,5.30,130.75,23.91,2.89,0.58,7.46
139752,1,5.25,96.55,17.83,2.75,3.47,6.44
832736,1,11.00,170.76,15.36,2.87,0.15,6.66
199908,1,5.00,130.40,25.77,1.58,0.42,6.78
804899,1,6.05,90.76,16.10,1.50,1.05,10.76
