seed,hit,time_to_intercept,initial_sep,closing_vel_avg,min_sep,final_zem,target_speed
89250,1,4.40,115.16,25.39,2.13,0.10,5.24
773956,1,5.60,183.24,32.15,1.56,0.08,11.01
654571,1,2.90,90.06,29.94,1.69,0.11,9.84
438878,1,3.80,98.94,24.93,2.90,0.26,7.91
433015,1,5.05,148.53,28.77,1.80,0.06,7.44
858597,1,4.80,154.81,31.55,1.79,0.06,10.13
85945,1,4.05,88.80,21.11,2.17,0.17,5.59
697368,1,4.65,154.51,32.36,2.40,0.02,10.82
201469,1,4.45,126.11,27.61,1.84,0.18,8.94
94177,1,5.10,162.39,31.07,2.37,0.19,11.13
526478,1,4.65,109.48,22.88,1.65,0.04,6.77
975622,1,5.75,160.65,27.20,2.86,0.12,6.71
735752,1,3.95,121.84,29.87,2.31,0.24,11.61
761139,1,3.95,107.36,26.15,2.69,0.36,10.77
717477,1,7.00,139.14,19.49,1.83,0.22,9.52
786064,1,2.70,83.23,29.61,1.78,0.04,8.30
513226,1,3.10,97.83,30.10,2.98,0.12,9.16
128113,1,5.75,164.95,28.08,2.08,0.11,7.51
839748,1,5.50,147.55,26.28,1.71,0.17,10.04
450385,1,6.35,178.39,27.50,2.33,0.16,7.70
500351,1,4.50,83.82,17.89,2.30,0.24,8.22
370798,1,3.70,126.38,33.01,2.56,0.11,11.90
182549,1,6.85,196.73,28.26,1.69,0.03,6.66
926764,1,5.90,82.14,13.24,2.90,0.89,11.26
781567,1,4.20,99.78,22.99,2.01,0.29,9.80
643865,1,2.25,51.75,21.36,2.55,0.24,7.14
402414,1,3.25,104.72,30.82,3.00,0.07,9.57
822761,1,3.60,74.89,19.90,2.13,0.29,9.39
545429,1,6.85,169.84,24.25,2.47,0.25,7.89
443414,1,2.05,50.37,22.89,2.25,0.18,6.25
450459,1,6.85,149.34,21.27,2.48,0.30,8.56
227238,1,2.90,81.86,27.18,1.65,0.04,5.95
92135,1,3.00,78.52,24.75,3.00,0.21,6.66
554584,1,2.95,75.44,24.45,2.05,0.15,6.10
887889,1,5.45,91.18,16.21,1.81,0.08,11.92
63817,1,4.90,134.75,26.67,2.68,0.26,9.19
858291,1,2.90,93.32,31.11,1.51,0.04,9.65
827631,1,2.30,69.73,28.92,1.73,0.09,8.42
276759,1,5.05,74.58,14.06,2.80,0.17,8.32
631664,1,7.60,148.85,19.12,2.48,0.22,6.99
165229,1,4.00,61.42,14.49,2.55,0.32,10.94
758087,1,6.80,188.05,27.14,2.15,0.03,5.57
700522,1,5.30,144.07,26.50,2.22,0.35,11.54
354525,1,5.95,174.67,28.83,1.64,0.11,8.40
67920,1,4.55,116.47,24.88,1.99,0.11,5.39
970698,1,4.50,142.58,30.80,2.42,0.07,9.44
445687,1,2.35,73.39,29.70,2.07,0.23,11.37
893121,1,4.55,115.05,24.55,2.06,0.28,9.67
677919,1,4.25,125.33,28.51,2.70,0.04,7.05
778383,1,6.60,135.53,19.93,2.90,0.30,7.81
759899,1,6.70,171.49,25.04,2.46,0.16,6.24
194638,1,3.55,104.60,28.25,2.85,0.18,8.73
363906,1,7.00,159.15,22.26,2.14,0.24,7.93
466721,1,2.90,55.72,17.99,2.53,0.33,9.61
497791,1,3.85,108.96,27.36,2.25,0.11,6.81
43803,1,4.45,96.71,20.90,2.52,0.39,10.69
546569,1,5.15,104.49,19.53,2.79,0.37,9.77
154289,1,5.20,117.95,21.91,2.99,0.43,11.22
743375,1,2.90,90.99,30.21,1.84,0.05,8.84
683048,1,3.10,57.20,17.43,2.19,0.29,9.51
922527,1,3.25,95.16,28.25,1.90,0.02,6.72
744762,1,5.00,130.07,25.38,1.83,0.20,8.23
366642,1,2.55,79.91,29.79,2.40,0.23,11.34
967509,1,6.05,163.65,26.53,1.79,0.03,5.03
410850,1,4.85,93.41,18.58,2.27,0.37,10.95
325825,1,5.25,122.26,22.53,2.75,0.35,9.32
905535,1,5.90,105.52,17.27,2.65,0.28,8.86
370459,1,4.50,107.82,23.07,2.81,0.25,7.09
76343,1,3.40,86.81,24.39,2.59,0.44,11.98
469555,1,3.45,83.50,23.00,2.94,0.24,6.50
795679,1,1.70,55.70,30.90,1.60,0.07,9.83
189471,1,5.70,140.54,23.95,2.75,0.28,7.89
462940,1,3.10,88.43,27.15,2.88,0.04,5.70
129921,1,4.10,137.69,32.48,2.87,0.04,11.03
686478,1,2.80,83.24,28.18,2.87,0.17,8.27
475704,1,4.00,84.48,20.26,2.30,0.32,9.50
330196,1,4.75,107.91,22.01,2.21,0.16,5.22
226909,1,6.10,164.79,26.52,1.66,0.08,6.04
564499,1,3.40,95.56,27.18,1.77,0.03,5.83
669813,1,3.50,113.24,31.32,2.04,0.03,9.80
940306,1,2.20,61.68,26.48,2.08,0.06,5.50
437151,1,2.45,79.75,30.72,2.93,0.02,9.22
160688,1,4.45,129.59,28.31,2.18,0.03,6.77
832678,1,5.80,152.70,25.68,2.41,0.12,5.82
629764,1,2.55,77.34,29.11,1.62,0.11,8.85
700265,1,2.45,71.62,27.80,2.08,0.15,8.23
97226,1,5.60,118.21,20.62,1.88,0.10,9.44
312366,1,4.35,124.32,27.61,2.80,0.10,6.93
767843,1,6.25,171.06,26.78,2.28,0.20,8.08
832259,1,1.75,50.25,26.63,2.29,0.06,5.47
435216,1,2.70,69.40,24.48,2.02,0.25,8.96
804764,1,3.95,127.63,31.36,2.17,0.11,10.77
841691,1,4.15,111.43,25.91,2.57,0.16,6.53
387478,1,2.60,72.08,26.46,1.90,0.27,10.73
898087,1,4.65,136.24,28.43,2.59,0.12,8.07
288328,1,4.30,117.20,26.42,2.23,0.04,5.11
239557,1,5.25,139.20,25.88,2.03,0.09,5.34
682495,1,6.05,193.31,31.41,1.68,0.11,10.85
636761,1,5.35,130.75,23.83,1.98,0.20,7.46
139752,1,6.10,96.55,15.22,2.92,0.05,6.44
832736,1,6.50,170.76,25.72,2.25,0.15,6.66
199908,1,4.45,130.40,28.33,2.90,0.01,6.78
804899,1,3.20,90.76,27.37,1.76,0.24,10.76
7362,1,5.45,146.48,26.27,1.97,0.19,6.77
796842,1,4.55,79.63,16.82,2.20,0.11,5.81
786924,1,5.15,164.90,31.21,2.59,0.07,9.98
780364,1,4.90,85.21,16.58,2.95,0.45,11.55
664850,1,2.90,73.55,24.24,1.98,0.27,9.45
471567,1,4.30,129.49,29.27,2.13,0.26,11.62
705165,1,3.90,130.86,32.49,2.51,0.14,11.78
277121,1,4.30,130.23,29.53,1.76,0.15,10.00
