seed,hit,time_to_intercept,initial_sep,closing_vel_avg,min_sep,final_zem,target_speed
89250,1,4.60,115.16,25.33,2.09,2.64,5.24
773956,1,7.00,183.24,28.41,2.19,3.42,11.01
654571,1,3.70,90.06,26.88,2.14,0.17,9.84
438878,1,4.10,98.94,23.82,2.99,2.31,7.91
433015,1,5.40,148.53,27.93,2.23,1.62,7.44
858597,1,5.20,154.81,28.50,2.53,0.15,10.13
85945,1,4.25,88.80,22.38,2.44,0.45,5.59
697368,1,5.10,154.51,30.30,2.32,0.15,10.82
201469,1,5.10,126.11,26.43,2.58,28.72,8.94
94177,1,5.90,162.39,28.77,2.05,1.28,11.13
526478,1,4.80,109.48,23.10,2.96,0.16,6.77
975622,1,6.10,160.65,26.53,2.26,6.07,6.71
735752,1,4.15,121.84,28.87,2.77,0.24,11.61
761139,1,4.20,107.36,25.65,2.32,0.78,10.77
717477,1,7.45,139.14,21.78,2.32,0.38,9.52
786064,1,3.20,83.23,25.91,2.89,0.10,8.30
513226,1,3.30,97.83,28.34,2.40,0.39,9.16
128113,1,6.25,164.95,26.11,2.83,0.10,7.51
839748,1,6.00,147.55,24.92,2.30,1.06,10.04
450385,1,6.70,178.39,27.20,2.03,2.31,7.70
500351,1,4.65,83.82,20.20,2.64,29.48,8.22
370798,1,4.70,126.38,33.31,1.91,4.55,11.90
182549,1,7.75,196.73,26.91,2.36,1.73,6.66
926764,1,6.10,82.14,19.01,2.25,5.65,11.26
781567,1,4.45,99.78,24.37,2.59,2.03,9.80
643865,1,2.45,51.75,21.87,2.64,39.75,7.14
402414,1,3.50,104.72,29.35,2.93,5.85,9.57
822761,1,3.85,74.89,19.58,2.64,1.82,9.39
545429,1,7.10,169.84,24.26,2.70,0.33,7.89
443414,1,2.15,50.37,22.68,2.64,1.99,6.25
450459,1,7.40,149.34,21.19,2.37,3.87,8.56
227238,1,3.05,81.86,26.12,2.63,7.83,5.95
92135,1,3.25,78.52,24.46,2.88,4.94,6.66
554584,1,3.05,75.44,24.67,2.21,3.76,6.10
887889,1,5.70,91.18,20.08,2.07,4.22,11.92
63817,1,5.15,134.75,26.29,2.77,7.90,9.19
858291,1,3.70,93.32,29.67,1.67,0.43,9.65
827631,1,2.45,69.73,27.05,2.54,5.40,8.42
276759,1,5.35,74.58,17.97,2.56,6.45,8.32
631664,1,8.15,148.85,20.58,2.34,0.87,6.99
165229,1,4.55,61.42,18.01,2.99,0.16,10.94
758087,1,7.50,188.05,26.48,1.70,0.53,5.57
700522,1,6.50,144.07,23.94,2.69,3.57,11.54
354525,1,6.20,174.67,27.97,2.49,0.46,8.40
67920,1,4.80,116.47,23.67,1.90,0.58,5.39
970698,1,4.95,142.58,28.24,2.62,41.47,9.44
445687,1,2.75,73.39,27.05,1.93,4.83,11.37
893121,1,5.10,115.05,23.34,2.37,0.75,9.67
677919,1,4.50,125.33,27.12,2.49,18.55,7.05
778383,1,7.05,135.53,19.86,2.84,7.36,7.81
759899,1,7.00,171.49,25.67,1.93,1.72,6.24
194638,1,3.80,104.60,27.00,1.79,1.45,8.73
363906,1,7.30,159.15,22.69,2.40,2.14,7.93
466721,1,3.10,55.72,18.49,2.92,2.30,9.61
497791,1,4.00,108.96,26.00,2.77,9.29,6.81
43803,1,4.70,96.71,21.12,2.20,1.02,10.69
546569,1,5.55,104.49,19.63,2.43,4.75,9.77
154289,1,6.05,117.95,22.94,2.70,1.14,11.22
743375,1,3.00,90.99,28.50,2.82,1.41,8.84
683048,1,3.45,57.20,19.47,2.56,4.94,9.51
922527,1,3.50,95.16,26.60,2.50,5.17,6.72
744762,1,5.35,130.07,25.22,2.16,4.98,8.23
366642,1,2.70,79.91,27.72,1.83,9.01,11.34
967509,1,6.45,163.65,25.44,1.78,2.41,5.03
410850,1,5.35,93.41,20.16,2.93,5.97,10.95
325825,1,5.55,122.26,22.24,2.27,1.70,9.32
905535,1,6.30,105.52,18.98,2.64,0.31,8.86
370459,1,4.80,107.82,23.15,2.98,9.53,7.09
76343,1,3.80,86.81,24.61,2.10,1.02,11.98
469555,1,3.75,83.50,21.92,2.66,0.48,6.50
795679,1,1.75,55.70,29.81,2.51,3.41,9.83
189471,1,5.95,140.54,24.00,2.84,1.56,7.89
462940,1,3.35,88.43,25.87,2.52,5.34,5.70
129921,1,5.20,137.69,30.16,2.58,2.66,11.03
686478,1,3.05,83.24,26.09,2.90,0.11,8.27
475704,1,4.20,84.48,20.48,2.74,1.84,9.50
330196,1,5.05,107.91,22.31,2.80,0.03,5.22
226909,1,6.40,164.79,25.41,2.83,0.44,6.04
564499,1,3.65,95.56,25.82,2.64,5.62,5.83
669813,1,4.15,113.24,28.92,2.76,0.34,9.80
940306,1,2.40,61.68,24.83,1.95,2.43,5.50
437151,1,3.00,79.75,28.80,2.89,6.83,9.22
160688,1,4.60,129.59,27.17,2.31,2.65,6.77
832678,1,6.15,152.70,25.83,2.04,2.82,5.82
629764,1,2.60,77.34,28.06,2.67,0.09,8.85
700265,1,2.55,71.62,26.42,2.89,6.53,8.23
97226,1,5.85,118.21,22.14,1.96,0.89,9.44
312366,1,4.60,124.32,26.41,2.29,2.58,6.93
767843,1,6.85,171.06,26.64,2.67,1.36,8.08
832259,1,1.90,50.25,26.44,1.96,2.01,5.47
435216,1,2.90,69.40,23.78,2.68,0.30,8.96
804764,1,4.20,127.63,29.28,2.71,4.53,10.77
841691,1,4.35,111.43,25.15,2.72,8.83,6.53
387478,1,3.05,72.08,24.24,1.98,2.79,10.73
898087,1,5.90,136.24,24.98,1.79,3.64,8.07
288328,1,4.90,117.20,25.56,2.00,2.84,5.11
239557,1,5.50,139.20,24.40,1.97,0.13,5.34
682495,1,6.60,193.31,29.35,2.56,0.07,10.85
636761,1,5.60,130.75,24.28,2.53,5.37,7.46
139752,1,6.65,96.55,19.88,2.39,3.54,6.44
832736,1,6.85,170.76,24.68,2.54,5.15,6.66
199908,1,4.95,130.40,25.95,1.59,0.13,6.78
804899,1,3.30,90.76,26.15,2.54,5.67,10.76
7362,1,6.20,146.48,25.25,2.61,2.59,6.77
796842,1,4.70,79.63,20.73,2.84,1.50,5.81
786924,1,5.80,164.90,29.21,2.36,0.15,9.98
780364,1,5.20,85.21,20.35,2.98,1.00,11.55
664850,1,3.10,73.55,23.04,2.63,1.66,9.45
471567,1,4.50,129.49,29.04,1.84,3.07,11.62
705165,1,4.50,130.86,28.43,2.87,0.08,11.78
277121,1,7.05,130.23,23.03,2.75,12.38,10.00
