seed,hit,time_to_intercept,initial_sep,closing_vel_avg,min_sep,final_zem,target_speed
89250,1,5.60,115.16,20.08,0.52,0.03,5.24
773956,1,7.05,183.24,25.68,0.47,0.02,11.01
654571,1,4.20,90.06,21.02,0.73,0.01,9.84
438878,1,4.85,98.94,19.74,1.00,0.03,7.91
433015,1,6.30,148.53,23.04,1.03,0.04,7.44
858597,1,6.10,154.81,24.79,1.11,0.00,10.13
85945,1,5.15,88.80,16.69,0.83,0.02,5.59
697368,1,6.10,154.51,24.85,0.61,0.03,10.82
201469,1,5.60,126.11,21.96,0.76,0.02,8.94
94177,1,6.40,162.39,24.79,1.27,0.00,11.13
526478,1,5.35,109.48,19.87,0.92,0.03,6.77
975622,1,7.00,160.65,22.64,0.19,0.02,6.71
735752,1,5.30,121.84,22.35,1.03,0.05,11.61
761139,1,5.15,107.36,20.29,0.66,0.04,10.77
717477,1,8.10,139.14,16.95,0.12,0.01,9.52
786064,1,4.00,83.23,20.37,0.69,0.01,8.30
513226,1,4.50,97.83,21.37,0.79,0.01,9.16
128113,1,7.00,164.95,23.18,0.36,0.02,7.51
839748,1,6.75,147.55,21.55,0.25,0.00,10.04
450385,1,7.65,178.39,23.00,0.27,0.03,7.70
500351,1,8.30,83.82,12.95,0.38,0.38,8.22
370798,1,5.10,126.38,24.34,0.37,0.01,11.90
182549,1,8.10,196.73,23.90,0.78,0.03,6.66
926764,1,5.85,82.14,13.58,0.80,0.00,11.26
781567,1,8.65,99.78,15.02,0.47,0.20,9.80
643865,1,3.30,51.75,15.16,0.48,0.02,7.14
402414,1,4.65,104.72,22.08,0.50,0.01,9.57
822761,1,7.50,74.89,12.69,0.96,1.01,9.39
545429,1,7.85,169.84,21.20,1.20,0.04,7.89
443414,1,3.00,50.37,16.20,0.43,0.01,6.25
450459,1,7.50,149.34,19.62,0.11,0.02,8.56
227238,1,4.15,81.86,19.21,0.22,0.02,5.95
92135,1,4.10,78.52,18.74,0.55,0.01,6.66
554584,1,4.10,75.44,17.59,1.15,0.05,6.10
887889,1,6.55,91.18,13.44,1.39,0.00,11.92
63817,1,6.00,134.75,21.91,0.96,0.02,9.19
858291,1,4.20,93.32,21.62,0.06,0.01,9.65
827631,1,3.55,69.73,18.63,1.18,0.03,8.42
276759,1,5.35,74.58,13.54,0.64,0.01,8.32
631664,1,8.45,148.85,17.38,0.37,0.02,6.99
165229,1,4.50,61.42,12.96,1.33,0.00,10.94
758087,1,8.05,188.05,23.13,0.47,0.02,5.57
700522,1,6.40,144.07,22.03,0.84,0.05,11.54
354525,1,7.20,174.67,24.00,0.57,0.01,8.40
67920,1,5.65,116.47,20.00,1.29,0.06,5.39
970698,1,5.85,142.58,23.95,0.17,0.01,9.44
445687,1,3.65,73.39,19.23,0.79,0.02,11.37
893121,1,5.50,115.05,20.55,0.30,0.01,9.67
677919,1,5.55,125.33,21.99,0.97,0.04,7.05
778383,1,7.60,135.53,17.61,0.49,0.01,7.81
759899,1,7.75,171.49,21.92,0.65,0.01,6.24
194638,1,4.80,104.60,21.10,0.96,0.04,8.73
363906,1,8.05,159.15,19.45,0.53,0.03,7.93
466721,1,3.65,55.72,14.36,1.38,0.08,9.61
497791,1,5.15,108.96,20.76,0.30,0.02,6.81
43803,1,5.05,96.71,18.47,1.36,0.03,10.69
546569,1,5.75,104.49,17.76,0.53,0.36,9.77
154289,1,9.10,117.95,15.95,1.06,0.60,11.22
743375,1,4.20,90.99,21.02,0.28,0.01,8.84
683048,1,3.85,57.20,14.24,0.58,0.01,9.51
922527,1,4.55,95.16,20.44,0.25,0.02,6.72
744762,1,9.65,130.07,16.89,0.38,0.32,8.23
366642,1,3.85,79.91,19.84,1.08,0.02,11.34
967509,1,7.35,163.65,21.82,1.03,0.05,5.03
410850,1,5.35,93.41,16.88,1.08,0.08,10.95
325825,1,6.40,122.26,18.86,0.74,0.01,9.32
905535,1,6.80,105.52,15.10,1.00,0.00,8.86
370459,1,5.95,107.82,17.71,0.38,0.01,7.09
76343,1,4.30,86.81,19.46,0.90,0.02,11.98
469555,1,4.65,83.50,17.51,0.28,0.02,6.50
795679,1,3.00,55.70,17.45,0.86,0.02,9.83
189471,1,6.60,140.54,20.81,0.95,0.02,7.89
462940,1,4.40,88.43,19.58,0.15,0.03,5.70
129921,1,5.45,137.69,24.73,0.30,0.01,11.03
686478,1,4.10,83.24,19.48,1.02,0.05,8.27
475704,1,4.80,84.48,17.19,0.47,0.01,9.50
330196,1,5.60,107.91,18.78,0.67,0.03,5.22
226909,1,7.35,164.79,22.01,0.78,0.04,6.04
564499,1,4.65,95.56,20.16,0.49,0.01,5.83
669813,1,4.85,113.24,22.64,0.96,0.02,9.80
940306,1,3.40,61.68,17.13,1.19,0.05,5.50
437151,1,3.80,79.75,20.06,1.08,0.03,9.22
160688,1,5.70,129.59,22.14,1.04,0.04,6.77
832678,1,6.95,152.70,21.49,1.11,0.04,5.82
629764,1,3.80,77.34,19.53,0.70,0.02,8.85
700265,1,3.75,71.62,18.56,0.41,0.02,8.23
97226,1,7.00,118.21,16.74,0.76,0.01,9.44
312366,1,5.60,124.32,21.57,1.21,0.04,6.93
767843,1,7.40,171.06,22.79,0.14,0.02,8.08
832259,1,2.95,50.25,16.16,0.35,0.03,5.47
435216,1,3.85,69.40,17.57,0.60,0.02,8.96
804764,1,5.25,127.63,23.90,0.43,0.01,10.77
841691,1,5.60,111.43,19.36,0.82,0.03,6.53
387478,1,3.70,72.08,18.89,0.36,0.01,10.73
898087,1,6.15,136.24,21.82,0.42,0.02,8.07
288328,1,5.55,117.20,20.57,0.80,0.04,5.11
239557,1,6.40,139.20,21.46,0.35,0.02,5.34
682495,1,7.45,193.31,25.72,0.88,0.01,10.85
636761,1,6.60,130.75,19.39,0.69,0.02,7.46
139752,1,6.65,96.55,14.29,0.35,0.01,6.44
832736,1,7.65,170.76,22.11,0.67,0.01,6.66
199908,1,5.70,130.40,22.21,1.45,0.04,6.78
804899,1,4.45,90.76,19.83,0.42,0.03,10.76
7362,1,10.00,146.48,17.53,0.58,0.41,6.77
796842,1,5.20,79.63,14.90,0.46,0.02,5.81
786924,1,6.50,164.90,24.83,1.00,0.02,9.98
780364,1,5.40,85.21,15.24,0.90,0.07,11.55
664850,1,4.20,73.55,16.91,0.42,0.02,9.45
471567,1,5.50,129.49,23.08,0.23,0.01,11.62
705165,1,5.25,130.86,24.28,0.82,0.01,11.78
277121,1,5.70,130.23,22.34,0.63,0.04,10.00
780729,1,3.45,66.88,18.36,1.14,0.03,7.53
555646,1,3.25,57.62,17.23,0.68,0.01,6.53
458915,1,6.15,150.56,24.07,0.09,0.01,9.35
505606,1,3.75,71.38,18.31,0.54,0.04,9.29
568741,1,7.10,176.16,24.29,1.29,0.00,9.13
37262,1,6.35,95.54,14.78,0.58,0.01,11.46
139796,1,5.65,106.11,18.25,0.73,0.00,8.85
245481,1,3.55,65.76,17.88,0.22,0.03,6.76
114530,1,5.20,117.58,22.05,0.65,0.03,11.16
439613,1,4.20,87.83,20.40,0.29,0.01,9.23
668402,1,5.70,86.82,14.85,0.27,0.00,5.52
654428,1,9.30,141.96,18.53,1.15,0.50,10.79
471096,1,5.65,77.24,13.34,0.50,0.01,8.75
855080,1,4.95,99.02,19.27,1.42,0.05,5.75
565236,1,7.30,167.30,22.50,0.77,0.04,6.05
79197,1,5.20,109.45,20.46,0.81,0.04,5.22
764998,1,6.95,104.00,14.55,0.52,0.26,10.65
