seed,hit,time_to_intercept,initial_sep,closing_vel_avg,min_sep,final_zem,target_speed
89250,0,30.00,115.16,19.94,1.60,2.56,5.24
773956,1,26.70,183.24,21.63,1.39,0.35,11.01
654571,0,30.00,90.06,18.43,1.58,4.50,9.84
438878,1,9.55,98.94,14.74,0.99,0.10,7.91
433015,0,30.00,148.53,22.99,1.87,36.34,7.44
858597,0,30.00,154.81,21.83,1.87,83.01,10.13
85945,0,30.00,88.80,20.63,1.94,0.99,5.59
697368,0,30.00,154.51,22.46,2.02,35.52,10.82
201469,0,30.00,126.11,22.35,1.85,1.24,8.94
94177,0,30.00,162.39,20.34,1.88,26.24,11.13
526478,1,13.45,109.48,17.37,0.81,0.70,6.77
975622,0,30.00,160.65,21.11,1.68,23.22,6.71
735752,1,29.55,121.84,22.18,1.49,0.83,11.61
761139,1,11.05,107.36,13.23,1.04,0.15,10.77
717477,1,25.80,139.14,18.94,1.35,0.49,9.52
786064,0,30.00,83.23,21.24,1.56,24.37,8.30
513226,1,11.75,97.83,20.41,0.93,0.59,9.16
128113,1,18.25,164.95,22.31,0.47,0.08,7.51
839748,0,30.00,147.55,21.43,1.76,8.15,10.04
450385,0,30.00,178.39,21.50,1.96,6.79,7.70
500351,1,28.20,83.82,18.64,1.49,4.59,8.22
370798,0,30.00,126.38,22.04,1.84,62.26,11.90
182549,1,27.00,196.73,22.30,1.40,0.82,6.66
926764,0,30.00,82.14,20.16,2.05,0.82,11.26
781567,0,30.00,99.78,19.95,1.72,1.26,9.80
643865,1,14.80,51.75,16.08,1.31,1.46,7.14
402414,0,30.00,104.72,21.82,1.86,26.77,9.57
822761,1,11.40,74.89,14.48,1.29,4.38,9.39
545429,1,10.20,169.84,21.07,1.40,0.74,7.89
443414,1,6.50,50.37,14.34,1.50,1.02,6.25
450459,1,9.45,149.34,18.83,0.93,0.48,8.56
227238,1,20.40,81.86,20.38,1.49,0.23,5.95
92135,1,7.85,78.52,14.82,1.46,0.55,6.66
554584,0,30.00,75.44,20.04,1.75,107.51,6.10
887889,0,30.00,91.18,19.51,1.92,1.90,11.92
63817,1,9.10,134.75,19.22,1.40,0.52,9.19
858291,0,30.00,93.32,19.04,1.65,64.07,9.65
827631,1,26.60,69.73,20.15,1.43,0.29,8.42
276759,0,30.00,74.58,20.30,1.62,1.10,8.32
631664,1,13.20,148.85,17.23,1.46,0.87,6.99
165229,0,30.00,61.42,20.02,1.82,56.95,10.94
758087,1,24.70,188.05,20.42,1.05,0.33,5.57
700522,1,9.30,144.07,19.63,1.37,0.60,11.54
354525,0,30.00,174.67,23.42,1.79,20.43,8.40
67920,0,30.00,116.47,21.97,1.58,2.41,5.39
970698,0,30.00,142.58,20.71,1.81,0.49,9.44
445687,1,7.70,73.39,14.67,0.97,0.40,11.37
893121,0,30.00,115.05,20.16,2.15,78.47,9.67
677919,1,14.75,125.33,18.78,0.97,0.52,7.05
778383,0,30.00,135.53,19.69,2.02,7.78,7.81
759899,1,11.55,171.49,19.15,1.47,0.53,6.24
194638,1,6.95,104.60,19.56,1.33,1.20,8.73
363906,0,30.00,159.15,20.69,1.75,2.97,7.93
466721,1,24.10,55.72,18.86,1.47,0.14,9.61
497791,1,18.65,108.96,18.56,1.36,0.53,6.81
43803,0,30.00,96.71,20.89,1.53,64.00,10.69
546569,0,30.00,104.49,20.40,1.84,13.20,9.77
154289,1,11.65,117.95,19.60,0.69,1.08,11.22
743375,1,9.60,90.99,13.79,1.06,0.46,8.84
683048,0,30.00,57.20,18.98,2.04,93.79,9.51
922527,0,30.00,95.16,21.01,1.79,0.33,6.72
744762,1,10.55,130.07,17.43,1.06,0.61,8.23
366642,1,7.45,79.91,15.38,1.21,0.17,11.34
967509,1,20.00,163.65,21.52,1.37,1.44,5.03
410850,0,30.00,93.41,19.95,1.73,0.04,10.95
325825,0,30.00,122.26,20.14,2.05,45.06,9.32
905535,1,8.95,105.52,16.49,1.37,0.96,8.86
370459,0,30.00,107.82,21.58,1.68,9.56,7.09
76343,1,29.90,86.81,18.04,1.49,1.19,11.98
469555,1,10.05,83.50,16.13,1.39,1.04,6.50
795679,0,30.00,55.70,21.33,1.76,26.25,9.83
189471,1,22.95,140.54,20.91,1.23,0.24,7.89
462940,0,30.00,88.43,20.83,1.81,42.39,5.70
129921,0,30.00,137.69,22.32,1.85,18.16,11.03
686478,1,10.80,83.24,15.93,1.48,0.03,8.27
475704,0,30.00,84.48,20.00,1.77,1.62,9.50
330196,1,10.75,107.91,16.26,0.77,0.62,5.22
226909,0,30.00,164.79,18.96,1.62,26.56,6.04
564499,0,30.00,95.56,17.59,1.90,1.08,5.83
669813,1,13.55,113.24,19.20,0.54,1.39,9.80
940306,0,30.00,61.68,19.95,1.82,1.15,5.50
437151,1,26.50,79.75,20.14,1.31,0.41,9.22
160688,0,30.00,129.59,21.92,1.74,38.59,6.77
832678,0,30.00,152.70,21.06,1.54,50.94,5.82
629764,1,15.90,77.34,18.59,1.49,0.66,8.85
700265,0,30.00,71.62,21.88,1.72,0.21,8.23
97226,1,12.40,118.21,14.42,0.93,0.58,9.44
312366,1,22.50,124.32,20.88,1.45,0.10,6.93
767843,1,24.85,171.06,20.55,1.24,0.32,8.08
832259,0,30.00,50.25,21.58,1.84,29.92,5.47
435216,0,30.00,69.40,20.20,1.71,67.21,8.96
804764,1,20.20,127.63,22.06,1.49,0.28,10.77
841691,0,30.00,111.43,20.00,1.80,55.76,6.53
387478,1,15.30,72.08,18.64,0.98,0.20,10.73
898087,0,30.00,136.24,22.85,1.75,132.85,8.07
288328,1,13.45,117.20,20.94,1.14,7.29,5.11
239557,0,30.00,139.20,20.09,1.51,2.11,5.34
682495,1,11.35,193.31,23.14,1.43,0.22,10.85
636761,0,30.00,130.75,20.62,1.72,66.20,7.46
139752,0,30.00,96.55,19.72,1.59,35.87,6.44
832736,1,29.15,170.76,21.16,1.24,0.11,6.66
199908,0,30.00,130.40,19.76,1.90,2.22,6.78
804899,0,30.00,90.76,21.25,1.92,88.47,10.76
7362,1,24.50,146.48,20.31,1.16,1.71,6.77
796842,0,30.00,79.63,20.11,1.86,1.50,5.81
786924,1,13.55,164.90,21.71,1.37,6.29,9.98
780364,1,9.35,85.21,12.82,1.46,0.52,11.55
664850,0,30.00,73.55,19.65,1.58,28.47,9.45
471567,1,22.45,129.49,21.57,1.47,0.44,11.62
705165,0,30.00,130.86,21.98,1.99,1.35,11.78
277121,0,30.00,130.23,19.77,1.59,0.36,10.00
780729,0,30.00,66.88,20.13,1.56,13.83,7.53
555646,0,30.00,57.62,20.34,1.88,0.19,6.53
458915,0,30.00,150.56,23.41,1.84,32.73,9.35
505606,1,8.75,71.38,15.53,1.48,0.13,9.29
568741,1,27.80,176.16,21.21,1.17,0.03,9.13
37262,0,30.00,95.54,19.37,2.11,5.41,11.46
139796,1,26.00,106.11,19.11,1.35,3.16,8.85
245481,1,14.15,65.76,17.97,1.02,0.46,6.76
114530,1,10.40,117.58,18.19,1.39,0.53,11.16
439613,1,8.45,87.83,17.16,1.05,0.08,9.23
668402,1,17.35,86.82,16.18,1.36,0.24,5.52
654428,0,30.00,141.96,22.10,1.66,44.35,10.79
471096,0,30.00,77.24,15.42,1.75,23.37,8.75
855080,1,22.00,99.02,18.77,1.48,0.59,5.75
565236,1,12.15,167.30,19.94,1.38,0.29,6.05
79197,1,16.90,109.45,19.85,1.31,0.85,5.22
764998,0,30.00,104.00,19.35,1.74,0.50,10.65
574600,1,27.80,174.47,20.89,1.44,0.46,5.02
634718,0,30.00,118.04,21.38,1.76,9.06,7.54
565373,1,22.10,98.01,18.11,1.50,6.97,7.24
553579,0,30.00,150.42,18.18,1.97,43.21,5.17
90566,1,9.50,104.26,14.25,1.20,0.76,8.53
559207,0,30.00,106.70,21.02,1.80,0.77,10.03
794912,1,8.15,62.68,14.43,0.74,1.52,7.07
303950,0,30.00,53.48,21.11,1.61,46.88,8.08
602838,1,6.45,54.19,14.62,1.08,3.02,7.52
30817,0,30.00,113.46,20.24,2.10,119.39,11.99
347499,0,30.00,67.36,19.70,1.84,13.97,8.29
436717,0,30.00,111.65,20.52,1.69,4.62,6.13
982738,1,9.90,137.33,17.97,1.25,0.07,10.97
214584,1,10.80,92.47,12.86,1.15,0.10,11.79
276548,1,27.15,94.91,17.92,0.92,0.73,7.22
408528,1,11.55,78.54,10.82,1.35,0.66,5.31
992665,1,8.10,70.64,14.35,1.24,0.14,8.92
853403,0,30.00,169.46,19.85,1.53,48.99,9.07
34692,1,9.10,131.65,18.53,1.35,0.31,8.86
233939,1,11.05,171.57,20.30,1.32,4.50,11.64
821674,0,30.00,146.22,21.94,1.64,26.95,9.66
58302,0,30.00,71.81,18.75,1.83,1.07,10.98
855670,0,30.00,100.64,20.17,1.52,17.18,11.06
281383,0,30.00,90.04,18.71,1.62,4.41,5.94
917652,1,12.80,87.09,17.42,1.32,0.74,5.35
293593,1,11.75,132.94,17.72,0.99,0.54,8.01
434316,1,10.15,65.05,17.68,1.44,0.88,6.86
661916,1,15.55,117.46,16.88,1.35,9.38,6.27
126280,1,8.25,164.84,25.08,1.27,0.51,9.93
557032,0,30.00,92.92,20.43,1.71,5.21,7.11
505015,1,9.80,95.81,13.85,1.32,0.65,9.22
783898,1,19.45,85.90,17.41,1.26,0.94,5.44
996106,1,10.00,130.66,17.69,1.43,25.39,8.36
664313,1,4.50,83.15,22.92,1.37,0.70,6.07
409186,0,30.00,128.28,19.79,2.02,20.85,9.84
406386,1,25.60,66.14,19.48,1.12,0.30,9.72
417958,0,30.00,196.78,22.43,1.52,26.30,8.71
814020,0,30.00,126.63,21.00,1.55,10.04,6.52
321215,1,9.65,114.67,16.08,1.50,0.73,11.82
166972,0,30.00,79.57,20.21,2.07,1.04,11.34
334291,1,22.65,65.21,17.77,1.04,0.83,8.55
22712,1,27.85,180.30,21.10,1.34,0.13,5.92
106142,1,20.85,148.25,19.44,1.36,0.24,5.37
90047,1,11.40,115.89,20.01,1.34,1.87,9.22
771552,1,9.95,99.24,16.73,1.48,0.48,9.90
722359,0,30.00,188.68,20.44,1.80,0.15,9.19
696770,0,30.00,141.93,18.76,1.54,129.45,7.50
461877,1,9.75,172.38,22.21,1.44,0.69,9.94
717058,1,18.50,62.55,17.43,1.02,0.80,5.11
161271,1,8.15,81.78,13.31,0.67,0.23,11.58
