seed,hit,time_to_intercept,initial_sep,closing_vel_avg,min_sep,final_zem,target_speed
89250,1,6.10,115.16,21.34,1.23,0.74,5.24
773956,1,5.35,183.24,33.62,1.03,0.15,11.01
654571,1,5.65,90.06,21.94,1.10,0.25,9.84
438878,1,5.40,98.94,21.78,1.16,0.49,7.91
433015,1,7.80,148.53,24.68,1.22,0.12,7.44
858597,1,6.65,154.81,25.81,0.92,0.38,10.13
85945,1,3.70,88.80,23.54,0.36,0.22,5.59
697368,1,7.05,154.51,28.28,0.73,2.71,10.82
201469,1,6.35,126.11,22.39,0.65,0.51,8.94
94177,1,6.65,162.39,28.85,0.55,7.96,11.13
526478,1,3.30,109.48,31.61,1.19,0.43,6.77
975622,1,8.85,160.65,27.43,0.69,0.61,6.71
735752,1,6.30,121.84,28.06,0.64,0.10,11.61
761139,1,5.65,107.36,22.93,1.00,0.39,10.77
717477,1,11.45,139.14,17.65,1.15,0.89,9.52
786064,1,4.30,83.23,28.34,1.42,3.32,8.30
513226,1,7.95,97.83,18.92,0.90,0.34,9.16
128113,1,8.35,164.95,22.35,1.29,0.52,7.51
839748,1,7.25,147.55,25.26,1.06,4.02,10.04
450385,1,6.15,178.39,28.74,1.41,0.29,7.70
500351,1,6.60,83.82,15.21,0.81,0.16,8.22
370798,1,8.90,126.38,27.46,1.02,1.70,11.90
182549,1,13.05,196.73,24.62,1.16,0.92,6.66
926764,1,8.60,82.14,15.52,1.41,0.41,11.26
781567,1,5.65,99.78,19.37,0.65,0.61,9.80
643865,1,4.60,51.75,25.15,1.18,2.67,7.14
402414,1,5.45,104.72,22.24,1.31,0.89,9.57
822761,1,5.25,74.89,18.67,1.33,0.24,9.39
545429,1,8.00,169.84,22.85,1.19,0.71,7.89
443414,1,5.70,50.37,14.45,1.33,0.16,6.25
450459,1,7.90,149.34,20.02,1.04,0.63,8.56
227238,1,4.15,81.86,21.91,1.31,0.09,5.95
92135,1,7.10,78.52,22.53,1.05,2.49,6.66
554584,1,5.15,75.44,18.64,0.92,3.00,6.10
887889,1,4.00,91.18,21.66,1.08,0.62,11.92
63817,1,4.20,134.75,31.52,0.91,0.19,9.19
858291,1,4.25,93.32,25.72,1.38,5.68,9.65
827631,1,4.15,69.73,25.30,0.97,5.05,8.42
276759,1,18.35,74.58,18.57,1.22,0.22,8.32
631664,1,7.45,148.85,20.75,1.33,12.94,6.99
165229,1,4.20,61.42,22.27,0.81,4.25,10.94
758087,1,11.40,188.05,24.51,0.93,0.38,5.57
700522,1,5.55,144.07,26.34,0.98,0.14,11.54
354525,1,7.15,174.67,27.04,1.37,19.51,8.40
67920,1,3.80,116.47,29.58,1.08,0.36,5.39
970698,1,6.45,142.58,24.04,1.47,0.43,9.44
445687,1,6.65,73.39,28.57,0.76,0.49,11.37
893121,1,8.15,115.05,18.64,1.05,27.83,9.67
677919,1,5.50,125.33,24.04,0.60,0.35,7.05
778383,1,8.40,135.53,19.72,1.45,10.93,7.81
759899,1,12.30,171.49,21.13,1.46,1.17,6.24
194638,1,4.20,104.60,25.43,0.88,0.63,8.73
363906,1,7.95,159.15,21.79,0.85,0.45,7.93
466721,1,5.55,55.72,21.42,1.07,0.33,9.61
497791,1,8.40,108.96,20.24,0.77,0.18,6.81
43803,1,4.50,96.71,21.50,1.38,0.25,10.69
