seed,hit,time_to_intercept,initial_sep,closing_vel_avg,min_sep,final_zem,target_speed
89250,1,4.20,115.16,26.68,0.68,0.32,5.24
773956,1,5.50,183.24,32.75,0.59,0.42,11.01
654571,1,2.75,90.06,31.07,0.53,0.81,9.84
438878,1,3.70,98.94,26.73,1.23,9.16,7.91
433015,1,4.90,148.53,29.49,0.98,0.36,7.44
858597,1,4.90,154.81,31.59,0.92,2.79,10.13
85945,1,3.70,88.80,23.17,1.14,0.30,5.59
697368,1,4.55,154.51,32.94,1.30,0.78,10.82
201469,1,4.30,126.11,28.52,0.92,0.28,8.94
94177,1,5.10,162.39,31.75,0.35,0.23,11.13
526478,1,4.45,109.48,24.12,0.55,0.51,6.77
975622,1,5.60,160.65,27.91,1.35,0.26,6.71
735752,1,3.80,121.84,31.11,0.65,0.34,11.61
761139,1,3.65,107.36,28.29,1.50,0.29,10.77
717477,1,7.05,139.14,19.68,1.13,1.92,9.52
786064,1,2.60,83.23,30.83,1.09,0.13,8.30
513226,1,3.00,97.83,31.25,0.64,0.16,9.16
128113,1,5.60,164.95,28.79,1.41,0.30,7.51
839748,1,5.35,147.55,27.00,1.21,0.20,10.04
450385,1,6.15,178.39,28.33,0.77,0.39,7.70
500351,1,4.15,83.82,19.81,0.65,0.25,8.22
370798,1,3.65,126.38,32.99,0.89,0.23,11.90
182549,1,6.95,196.73,28.33,0.63,0.36,6.66
926764,1,5.40,82.14,16.45,0.60,0.27,11.26
781567,1,3.80,99.78,25.38,1.14,0.16,9.80
643865,1,2.05,51.75,23.65,1.49,1.29,7.14
402414,1,3.20,104.72,32.00,0.78,0.27,9.57
822761,1,3.55,74.89,22.38,1.21,4.70,9.39
545429,1,6.60,169.84,25.72,1.00,0.32,7.89
443414,1,1.85,50.37,25.62,0.94,1.16,6.25
450459,1,6.55,149.34,22.62,0.63,0.83,8.56
227238,1,2.80,81.86,28.37,0.32,0.70,5.95
92135,1,3.00,78.52,26.70,1.13,0.26,6.66
554584,1,2.75,75.44,26.14,1.35,0.29,6.10
887889,1,5.45,91.18,16.17,0.39,0.08,11.92
63817,1,4.65,134.75,28.88,0.43,0.16,9.19
858291,1,2.80,93.32,32.09,0.67,0.10,9.65
827631,1,2.20,69.73,30.29,0.85,0.32,8.42
276759,1,4.45,74.58,16.71,0.93,0.24,8.32
631664,1,7.35,148.85,19.79,1.45,0.43,6.99
165229,1,3.65,61.42,16.65,1.32,0.38,10.94
758087,1,6.65,188.05,27.59,0.86,0.28,5.57
700522,1,5.20,144.07,27.72,1.32,8.57,11.54
