seed,hit,time_to_intercept,initial_sep,closing_vel_avg,min_sep,final_zem,target_speed
89250,1,4.20,115.16,26.94,0.25,0.00,5.24
773956,1,5.45,183.24,33.18,0.19,0.00,11.01
654571,1,2.70,90.06,32.00,1.23,0.00,9.84
438878,1,3.60,98.94,26.79,0.44,0.00,7.91
433015,1,4.85,148.53,29.90,1.14,0.00,7.44
858597,1,4.65,154.81,32.74,0.12,0.00,10.13
85945,1,3.75,88.80,23.14,0.28,0.00,5.59
697368,1,4.55,154.51,33.57,0.76,0.00,10.82
201469,1,4.25,126.11,29.21,0.47,0.00,8.94
94177,1,4.95,162.39,32.22,0.50,0.00,11.13
526478,1,4.40,109.48,23.91,1.34,0.04,6.77
975622,1,5.60,160.65,28.36,0.49,0.00,6.71
735752,1,3.80,121.84,31.66,1.00,0.00,11.61
761139,1,3.75,107.36,28.06,0.49,0.00,10.77
717477,1,6.80,139.14,20.21,0.39,0.00,9.52
786064,1,2.50,83.23,31.80,1.34,0.00,8.30
513226,1,2.95,97.83,31.99,1.04,0.00,9.16
128113,1,5.55,164.95,29.08,1.25,0.00,7.51
839748,1,5.40,147.55,26.89,0.26,0.00,10.04
450385,1,6.15,178.39,28.42,1.31,0.00,7.70
500351,1,4.05,83.82,19.88,1.42,0.00,8.22
370798,1,3.60,126.38,34.56,0.62,0.00,11.90
182549,1,6.65,196.73,29.09,0.94,0.00,6.66
926764,1,5.45,82.14,14.45,1.37,0.00,11.26
781567,1,3.90,99.78,24.80,0.99,0.00,9.80
643865,1,2.00,51.75,24.18,1.37,0.00,7.14
402414,1,3.10,104.72,32.60,1.20,0.00,9.57
822761,1,3.25,74.89,22.43,0.47,0.00,9.39
545429,1,6.60,169.84,25.27,0.93,0.00,7.89
443414,1,1.85,50.37,25.90,0.44,0.00,6.25
450459,1,6.55,149.34,22.52,0.48,0.00,8.56
227238,1,2.70,81.86,29.56,0.25,0.00,5.95
92135,1,2.80,78.52,27.09,0.55,0.00,6.66
554584,1,2.70,75.44,26.86,0.79,0.00,6.10
887889,1,5.35,91.18,16.70,0.42,0.12,11.92
63817,1,4.70,134.75,28.11,0.48,0.00,9.19
858291,1,2.75,93.32,33.12,0.26,0.00,9.65
827631,1,2.15,69.73,31.65,0.73,0.00,8.42
276759,1,4.55,74.58,15.89,0.63,0.00,8.32
631664,1,7.25,148.85,20.20,0.55,0.00,6.99
165229,1,3.40,61.42,17.28,0.97,0.00,10.94
758087,1,6.60,188.05,27.97,1.18,0.00,5.57
700522,1,5.05,144.07,27.98,0.65,0.00,11.54
354525,1,5.75,174.67,29.81,0.90,0.00,8.40
67920,1,4.30,116.47,26.39,0.84,0.00,5.39
970698,1,4.35,142.58,32.07,0.61,0.00,9.44
445687,1,2.20,73.39,31.92,0.76,0.00,11.37
893121,1,4.30,115.05,26.17,0.52,0.00,9.67
677919,1,4.10,125.33,29.86,0.57,0.00,7.05
778383,1,6.30,135.53,21.18,0.40,0.00,7.81
759899,1,6.50,171.49,26.04,0.25,0.00,6.24
194638,1,3.40,104.60,30.19,0.48,0.00,8.73
363906,1,6.70,159.15,23.29,1.08,0.00,7.93
466721,1,2.50,55.72,21.24,0.81,0.00,9.61
497791,1,3.65,108.96,28.88,1.25,0.00,6.81
43803,1,4.10,96.71,23.03,0.55,0.00,10.69
546569,1,4.80,104.49,21.31,0.52,0.00,9.77
154289,1,5.00,117.95,23.13,0.62,0.00,11.22
743375,1,2.75,90.99,32.22,0.10,0.00,8.84
683048,1,2.65,57.20,20.44,1.21,0.00,9.51
922527,1,3.05,95.16,30.05,1.17,0.00,6.72
744762,1,4.75,130.07,26.83,0.50,0.00,8.23
366642,1,2.40,79.91,32.05,0.62,0.00,11.34
967509,1,5.85,163.65,27.63,0.22,0.00,5.03
410850,1,4.50,93.41,20.24,0.66,0.00,10.95
325825,1,4.95,122.26,23.99,1.45,0.00,9.32
905535,1,5.45,105.52,18.78,1.34,0.00,8.86
370459,1,4.30,107.82,24.41,0.80,0.03,7.09
76343,1,3.15,86.81,26.77,0.59,0.00,11.98
469555,1,3.20,83.50,25.11,1.06,0.00,6.50
795679,1,1.55,55.70,34.29,0.13,0.00,9.83
189471,1,5.45,140.54,25.22,0.98,0.00,7.89
462940,1,2.95,88.43,29.34,0.40,0.00,5.70
129921,1,4.00,137.69,33.87,0.34,0.00,11.03
686478,1,2.65,83.24,30.29,0.64,0.00,8.27
475704,1,3.65,84.48,22.51,0.53,0.00,9.50
330196,1,4.45,107.91,23.49,1.32,0.00,5.22
226909,1,5.90,164.79,27.62,0.46,0.00,6.04
564499,1,3.20,95.56,29.18,0.14,0.00,5.83
669813,1,3.35,113.24,32.97,0.32,0.00,9.80
940306,1,2.00,61.68,29.00,1.42,0.00,5.50
437151,1,2.30,79.75,33.11,1.14,0.00,9.22
160688,1,4.25,129.59,29.60,1.46,0.00,6.77
832678,1,5.60,152.70,26.84,0.24,0.00,5.82
629764,1,2.35,77.34,31.43,1.10,0.00,8.85
700265,1,2.25,71.62,30.17,1.41,0.00,8.23
97226,1,5.45,118.21,21.32,0.32,0.00,9.44
312366,1,4.20,124.32,29.16,0.49,0.00,6.93
767843,1,6.05,171.06,27.90,0.28,0.00,8.08
832259,1,1.60,50.25,30.46,0.76,0.00,5.47
435216,1,2.45,69.40,27.25,0.56,0.00,8.96
804764,1,3.80,127.63,32.83,0.40,0.00,10.77
841691,1,3.95,111.43,27.58,0.32,0.00,6.53
387478,1,2.40,72.08,29.18,0.52,0.00,10.73
898087,1,4.50,136.24,29.88,0.62,0.00,8.07
288328,1,4.10,117.20,27.99,0.20,0.00,5.11
239557,1,5.05,139.20,27.16,0.23,0.00,5.34
682495,1,5.90,193.31,32.36,0.22,0.00,10.85
636761,1,5.10,130.75,25.15,0.46,0.00,7.46
139752,1,5.65,96.55,16.68,0.65,0.00,6.44
832736,1,6.30,170.76,26.76,0.26,0.00,6.66
199908,1,4.30,130.40,29.61,0.74,0.00,6.78
804899,1,3.00,90.76,29.67,0.74,0.00,10.76
7362,1,5.15,146.48,27.74,1.36,0.02,6.77
