seed,hit,time_to_intercept,initial_sep,closing_vel_avg,min_sep,final_zem,target_speed
89250,1,5.75,115.16,20.59,1.35,0.57,5.24
773956,1,7.25,183.24,25.49,1.40,0.31,11.01
654571,1,4.40,90.06,21.04,0.68,1.40,9.84
438878,1,5.10,98.94,19.53,1.10,0.65,7.91
433015,1,6.50,148.53,24.98,1.22,0.45,7.44
858597,1,6.25,154.81,25.35,1.08,0.47,10.13
85945,1,5.35,88.80,16.99,1.27,0.43,5.59
697368,1,6.45,154.51,24.78,1.15,0.30,10.82
201469,1,5.70,126.11,23.24,1.47,1.42,8.94
94177,1,6.55,162.39,26.26,0.69,0.57,11.13
526478,1,5.40,109.48,21.82,1.32,0.13,6.77
975622,1,7.10,160.65,22.92,1.27,0.04,6.71
735752,1,5.85,121.84,21.41,1.47,2.34,11.61
761139,1,6.00,107.36,19.84,1.30,2.09,10.77
717477,1,8.25,139.14,17.55,1.05,0.46,9.52
786064,1,4.15,83.23,20.77,1.34,2.20,8.30
513226,1,4.50,97.83,21.94,0.77,0.30,9.16
128113,1,7.20,164.95,24.21,1.44,0.28,7.51
839748,1,6.90,147.55,22.23,0.83,0.32,10.04
450385,1,7.90,178.39,22.64,1.09,0.57,7.70
500351,1,5.30,83.82,15.94,0.96,0.37,8.22
370798,1,5.35,126.38,25.58,1.11,0.86,11.90
182549,1,8.40,196.73,25.44,0.87,0.85,6.66
926764,1,8.30,82.14,13.84,0.84,1.96,11.26
781567,1,5.35,99.78,18.96,0.89,0.56,9.80
643865,1,3.30,51.75,18.13,0.64,0.35,7.14
402414,1,4.90,104.72,21.82,0.91,1.15,9.57
822761,1,4.45,74.89,17.46,0.83,0.60,9.39
545429,1,7.95,169.84,21.98,0.81,0.57,7.89
443414,1,3.30,50.37,15.28,1.11,0.80,6.25
450459,1,7.60,149.34,20.92,0.82,0.32,8.56
227238,1,4.35,81.86,20.09,0.46,0.66,5.95
92135,1,4.40,78.52,18.55,0.98,0.52,6.66
554584,1,4.25,75.44,17.84,1.34,0.88,6.10
887889,1,9.10,91.18,13.25,0.24,1.07,11.92
63817,1,6.20,134.75,22.17,0.52,1.24,9.19
858291,1,4.40,93.32,22.24,1.24,0.03,9.65
827631,1,3.80,69.73,18.87,1.10,0.33,8.42
276759,1,5.65,74.58,13.39,0.79,0.49,8.32
631664,1,8.55,148.85,17.93,1.22,0.68,6.99
165229,1,7.95,61.42,12.53,0.96,0.38,10.94
758087,1,8.15,188.05,23.48,1.32,1.19,5.57
700522,1,6.30,144.07,24.59,1.18,0.27,11.54
354525,1,7.35,174.67,24.70,1.29,0.74,8.40
67920,1,6.05,116.47,19.58,0.50,0.71,5.39
970698,1,6.10,142.58,23.92,1.42,0.80,9.44
445687,1,3.75,73.39,20.57,0.69,0.56,11.37
893121,1,5.60,115.05,20.75,0.77,0.06,9.67
677919,1,5.80,125.33,22.33,1.41,1.26,7.05
778383,1,7.45,135.53,19.16,1.00,0.62,7.81
759899,1,7.95,171.49,22.60,0.97,0.77,6.24
194638,1,4.95,104.60,21.56,1.45,0.71,8.73
363906,1,8.00,159.15,20.64,0.69,0.13,7.93
466721,1,4.05,55.72,15.02,1.12,2.98,9.61
