seed,hit,time_to_intercept,initial_sep,closing_vel_avg,min_sep,final_zem,target_speed
89250,0,30.00,115.16,11.11,1.77,3.13,5.24
773956,1,27.90,183.24,14.79,1.12,0.28,11.01
654571,1,7.65,90.06,18.90,1.40,0.45,9.84
438878,0,30.00,98.94,9.91,1.82,1.19,7.91
433015,0,30.00,148.53,12.81,1.52,2.00,7.44
858597,1,20.50,154.81,14.10,1.39,0.23,10.13
85945,0,30.00,88.80,9.03,1.73,2.16,5.59
697368,0,30.00,154.51,12.47,1.90,16.45,10.82
201469,0,30.00,126.11,11.64,1.69,7.33,8.94
94177,0,30.00,162.39,12.86,1.79,0.71,11.13
526478,1,14.40,109.48,13.95,1.34,1.32,6.77
975622,0,30.00,160.65,11.94,1.66,4.58,6.71
735752,1,12.40,121.84,17.38,1.48,0.49,11.61
761139,0,30.00,107.36,11.25,1.55,11.08,10.77
717477,0,30.00,139.14,10.95,1.64,16.98,9.52
786064,0,30.00,83.23,10.98,1.61,18.53,8.30
513226,0,30.00,97.83,10.85,1.87,2.10,9.16
128113,1,10.70,164.95,20.81,1.42,2.37,7.51
839748,0,30.00,147.55,12.31,1.86,2.18,10.04
450385,1,11.85,178.39,21.02,1.29,2.29,7.70
500351,0,30.00,83.82,9.45,1.96,8.50,8.22
370798,0,30.00,126.38,11.30,1.70,9.94,11.90
182549,1,19.45,196.73,16.80,1.34,0.26,6.66
926764,1,26.40,82.14,10.27,1.39,4.92,11.26
781567,0,30.00,99.78,10.39,1.97,12.05,9.80
643865,1,21.95,51.75,8.82,1.41,1.55,7.14
402414,0,30.00,104.72,10.47,1.51,3.35,9.57
822761,0,30.00,74.89,9.29,2.20,6.01,9.39
545429,1,19.40,169.84,15.23,1.10,1.16,7.89
443414,0,30.00,50.37,9.06,1.83,0.69,6.25
450459,0,30.00,149.34,11.66,2.13,3.23,8.56
227238,0,30.00,81.86,10.18,1.67,3.03,5.95
92135,0,30.00,78.52,9.86,1.67,13.50,6.66
554584,1,27.40,75.44,9.87,1.32,0.03,6.10
887889,0,30.00,91.18,10.58,2.10,3.36,11.92
63817,0,30.00,134.75,12.40,1.75,0.56,9.19
858291,1,12.55,93.32,12.52,1.44,2.46,9.65
827631,0,30.00,69.73,9.87,1.70,5.20,8.42
276759,0,30.00,74.58,9.89,1.90,2.74,8.32
631664,0,30.00,148.85,12.16,1.64,2.19,6.99
165229,1,11.55,61.42,11.34,1.38,2.09,10.94
758087,0,30.00,188.05,13.30,1.54,7.72,5.57
700522,0,30.00,144.07,12.27,1.63,6.63,11.54
354525,0,30.00,174.67,13.22,1.96,0.84,8.40
67920,1,27.15,116.47,11.49,1.45,3.28,5.39
970698,0,30.00,142.58,12.13,1.68,1.88,9.44
445687,0,30.00,73.39,9.50,1.58,5.41,11.37
893121,1,15.80,115.05,12.67,1.23,3.21,9.67
677919,0,30.00,125.33,11.10,1.77,6.92,7.05
778383,0,30.00,135.53,10.92,1.86,12.27,7.81
759899,0,30.00,171.49,12.41,1.51,13.32,6.24
194638,0,30.00,104.60,11.36,1.60,7.03,8.73
363906,1,16.90,159.15,15.36,1.39,1.34,7.93
466721,0,30.00,55.72,9.48,1.76,2.55,9.61
497791,0,30.00,108.96,10.19,1.92,1.78,6.81
43803,0,30.00,96.71,10.40,2.22,3.59,10.69
546569,1,27.75,104.49,10.94,1.47,0.91,9.77
154289,0,30.00,117.95,11.00,1.66,6.34,11.22
743375,0,30.00,90.99,10.37,1.81,7.10,8.84
683048,1,29.45,57.20,8.32,1.46,1.00,9.51
922527,0,30.00,95.16,10.26,1.66,1.26,6.72
744762,0,30.00,130.07,11.55,1.90,1.99,8.23
366642,0,30.00,79.91,10.13,1.78,0.08,11.34
967509,1,20.70,163.65,15.51,1.37,1.94,5.03
410850,1,11.60,93.41,13.11,1.48,0.52,10.95
325825,0,30.00,122.26,11.96,1.93,0.04,9.32
905535,1,16.50,105.52,12.64,1.25,0.51,8.86
370459,0,30.00,107.82,10.82,2.10,10.03,7.09
76343,0,30.00,86.81,10.87,1.81,6.98,11.98
469555,0,30.00,83.50,11.31,1.73,7.80,6.50
795679,0,30.00,55.70,9.34,1.71,0.28,9.83
189471,1,23.15,140.54,13.02,1.11,1.97,7.89
462940,0,30.00,88.43,10.71,1.53,2.75,5.70
129921,0,30.00,137.69,12.23,1.81,4.48,11.03
686478,0,30.00,83.24,7.87,1.86,6.48,8.27
475704,0,30.00,84.48,9.64,1.79,8.52,9.50
330196,1,27.75,107.91,11.52,1.06,0.58,5.22
226909,0,30.00,164.79,12.07,1.78,5.15,6.04
564499,1,25.40,95.56,9.86,1.43,5.42,5.83
669813,0,30.00,113.24,10.24,1.75,1.53,9.80
940306,0,30.00,61.68,10.13,1.80,0.23,5.50
437151,0,30.00,79.75,10.62,1.53,3.15,9.22
160688,0,30.00,129.59,11.41,1.75,5.75,6.77
832678,0,30.00,152.70,12.12,1.81,1.46,5.82
629764,0,30.00,77.34,10.25,2.03,5.23,8.85
700265,1,8.60,71.62,15.20,1.48,1.52,8.23
97226,0,30.00,118.21,9.65,1.69,7.13,9.44
312366,1,25.10,124.32,13.04,1.47,0.80,6.93
767843,0,30.00,171.06,13.10,1.56,0.77,8.08
832259,0,30.00,50.25,8.74,1.76,0.77,5.47
435216,0,30.00,69.40,10.02,1.57,9.36,8.96
804764,1,24.50,127.63,13.82,1.42,0.99,10.77
841691,0,30.00,111.43,10.80,1.73,8.79,6.53
387478,1,28.80,72.08,9.73,1.49,2.32,10.73
898087,0,30.00,136.24,11.96,1.62,26.73,8.07
288328,1,11.55,117.20,16.96,1.46,0.19,5.11
239557,1,17.85,139.20,14.14,1.50,0.09,5.34
682495,0,30.00,193.31,14.51,1.81,2.56,10.85
636761,1,24.35,130.75,12.10,1.49,0.07,7.46
139752,1,19.55,96.55,11.69,1.14,0.89,6.44
832736,1,20.50,170.76,13.84,1.20,1.82,6.66
199908,0,30.00,130.40,11.66,1.60,0.17,6.78
804899,0,30.00,90.76,11.25,2.00,11.20,10.76
7362,1,12.50,146.48,18.14,1.44,0.15,6.77
796842,1,18.25,79.63,10.74,1.30,0.48,5.81
786924,0,30.00,164.90,14.07,2.15,6.63,9.98
780364,0,30.00,85.21,9.31,1.53,12.33,11.55
664850,0,30.00,73.55,10.23,1.55,18.49,9.45
471567,0,30.00,129.49,11.40,1.65,10.05,11.62
705165,1,23.25,130.86,13.32,1.40,0.69,11.78
277121,1,22.00,130.23,12.82,1.16,1.09,10.00
780729,1,15.90,66.88,10.93,1.30,0.14,7.53
555646,1,29.90,57.62,8.88,1.37,0.49,6.53
458915,0,30.00,150.56,13.18,1.79,1.23,9.35
505606,1,28.55,71.38,9.26,1.40,1.42,9.29
568741,0,30.00,176.16,12.61,1.70,0.12,9.13
37262,1,16.05,95.54,12.55,1.46,0.43,11.46
139796,0,30.00,106.11,10.30,1.62,4.77,8.85
245481,1,9.65,65.76,13.34,1.24,0.86,6.76
114530,1,9.40,117.58,18.02,1.47,2.79,11.16
439613,0,30.00,87.83,10.90,1.62,3.42,9.23
668402,0,30.00,86.82,10.02,1.84,11.87,5.52
654428,1,19.30,141.96,14.33,1.21,0.31,10.79
471096,1,17.30,77.24,10.12,1.43,0.50,8.75
855080,1,18.00,99.02,12.03,1.47,5.71,5.75
565236,0,30.00,167.30,12.60,1.59,0.88,6.05
79197,0,30.00,109.45,11.16,1.98,15.63,5.22
764998,0,30.00,104.00,11.28,1.71,0.17,10.65
574600,1,16.60,174.47,17.08,1.38,2.37,5.02
634718,0,30.00,118.04,12.07,1.61,39.58,7.54
565373,1,24.80,98.01,11.20,1.27,2.92,7.24
553579,0,30.00,150.42,11.43,1.71,4.93,5.17
90566,1,12.05,104.26,13.58,1.28,2.04,8.53
559207,0,30.00,106.70,11.07,1.69,2.48,10.03
794912,1,10.80,62.68,12.43,1.35,3.16,7.07
303950,0,30.00,53.48,10.09,1.96,1.81,8.08
602838,0,30.00,54.19,9.09,1.99,4.44,7.52
30817,0,30.00,113.46,10.74,1.86,1.25,11.99
347499,0,30.00,67.36,9.41,1.62,0.65,8.29
436717,1,11.90,111.65,15.12,1.21,1.10,6.13
982738,1,11.50,137.33,17.39,1.40,1.65,10.97
214584,0,30.00,92.47,9.96,1.50,2.91,11.79
276548,0,30.00,94.91,10.51,1.90,3.58,7.22
408528,0,30.00,78.54,8.71,1.79,0.11,5.31
992665,1,15.50,70.64,10.92,1.17,0.39,8.92
853403,0,30.00,169.46,12.66,1.60,0.33,9.07
34692,1,21.80,131.65,12.41,1.27,2.07,8.86
233939,0,30.00,171.57,12.77,1.98,4.17,11.64
