seed,hit,time_to_intercept,initial_sep,closing_vel_avg,min_sep,final_zem,target_speed
89250,1,19.75,115.16,5.85,1.11,1.65,5.24
773956,1,19.35,183.24,9.52,1.47,3.31,11.01
654571,1,17.65,90.06,5.09,1.21,2.37,9.84
438878,1,18.05,98.94,5.46,1.25,2.35,7.91
433015,1,19.90,148.53,7.50,1.24,1.62,7.44
858597,1,19.25,154.81,8.15,1.15,2.23,10.13
85945,1,19.20,88.80,4.60,1.13,1.65,5.59
697368,1,19.30,154.51,8.16,1.43,0.80,10.82
201469,1,18.30,126.11,6.89,1.38,3.05,8.94
94177,1,19.60,162.39,8.35,1.31,2.70,11.13
526478,1,19.70,109.48,5.75,1.15,1.30,6.77
975622,1,21.55,160.65,7.62,1.25,0.94,6.71
735752,1,17.65,121.84,6.91,1.44,3.33,11.61
761139,1,18.15,107.36,5.93,1.23,2.37,10.77
717477,1,20.65,139.14,6.75,1.47,3.05,9.52
786064,1,16.90,83.23,4.94,1.10,1.93,8.30
513226,1,17.95,97.83,5.48,1.23,1.69,9.16
128113,1,20.10,164.95,8.29,1.27,1.57,7.51
839748,1,19.55,147.55,7.61,1.24,1.03,10.04
450385,1,21.05,178.39,8.53,1.45,3.11,7.70
500351,1,18.80,83.82,4.40,1.23,1.03,8.22
370798,1,18.55,126.38,7.13,1.37,4.49,11.90
182549,1,21.40,196.73,9.22,1.18,2.02,6.66
926764,1,17.35,82.14,4.61,1.23,1.80,11.26
781567,1,18.05,99.78,5.52,1.30,2.52,9.80
643865,1,17.00,51.75,2.91,1.42,2.87,7.14
402414,1,17.70,104.72,5.92,1.20,2.16,9.57
822761,1,17.75,74.89,4.16,1.43,3.18,9.39
545429,1,20.90,169.84,8.17,1.45,2.15,7.89
443414,1,16.45,50.37,2.94,1.07,1.22,6.25
450459,1,20.40,149.34,7.32,1.12,1.95,8.56
227238,1,17.90,81.86,4.56,1.32,0.91,5.95
92135,1,17.20,78.52,4.54,1.32,1.84,6.66
554584,1,18.85,75.44,4.01,1.39,2.56,6.10
887889,1,17.30,91.18,5.13,1.23,2.67,11.92
63817,1,18.75,134.75,7.21,1.44,1.53,9.19
858291,1,17.40,93.32,5.38,1.15,1.77,9.65
