seed,hit,time_to_intercept,initial_sep,closing_vel_avg,min_sep,final_zem,target_speed
89250,1,8.50,115.16,18.29,1.27,5.44,5.24
773956,1,10.00,183.24,22.98,1.21,0.42,11.01
654571,1,8.65,90.06,19.46,1.32,0.88,9.84
438878,1,4.85,98.94,23.18,0.94,6.11,7.91
433015,1,28.50,148.53,15.32,1.33,0.39,7.44
858597,1,7.15,154.81,24.82,0.93,2.22,10.13
85945,1,3.80,88.80,23.29,1.24,0.94,5.59
697368,1,8.00,154.51,24.90,0.99,3.20,10.82
201469,1,14.10,126.11,16.85,1.42,2.52,8.94
94177,1,6.65,162.39,28.13,0.39,3.50,11.13
526478,1,3.45,109.48,30.54,1.17,0.38,6.77
975622,1,9.30,160.65,20.04,1.06,0.13,6.71
735752,1,9.05,121.84,20.28,1.35,3.30,11.61
761139,1,16.35,107.36,14.73,1.33,1.61,10.77
717477,1,13.55,139.14,15.93,1.04,9.52,9.52
786064,1,19.50,83.23,15.01,1.33,0.69,8.30
513226,1,10.50,97.83,17.52,1.04,0.90,9.16
128113,1,8.65,164.95,21.41,1.17,0.40,7.51
839748,1,6.65,147.55,25.77,1.22,0.37,10.04
450385,1,7.10,178.39,27.64,1.27,3.41,7.70
500351,1,8.10,83.82,13.27,1.45,2.00,8.22
370798,1,15.35,126.38,19.34,0.52,0.39,11.90
182549,1,19.50,196.73,17.71,1.29,0.85,6.66
926764,1,18.20,82.14,12.85,1.28,0.54,11.26
781567,1,6.05,99.78,17.52,0.73,2.50,9.80
643865,1,3.25,51.75,23.40,1.12,0.24,7.14
402414,1,9.10,104.72,18.17,1.32,7.10,9.57
822761,1,16.75,74.89,13.29,1.28,4.05,9.39
545429,1,17.45,169.84,18.06,1.07,1.10,7.89
443414,1,7.40,50.37,12.91,1.04,0.58,6.25
450459,1,16.35,149.34,16.24,1.47,0.78,8.56
227238,1,12.40,81.86,15.38,0.80,0.83,5.95
92135,1,7.20,78.52,20.51,0.83,2.18,6.66
554584,1,6.70,75.44,18.93,1.29,0.16,6.10
887889,1,4.10,91.18,21.49,1.38,0.79,11.92
63817,1,4.30,134.75,31.00,1.30,0.54,9.19
858291,1,9.55,93.32,17.74,0.69,0.76,9.65
827631,1,8.35,69.73,17.28,1.41,3.99,8.42
276759,1,14.40,74.58,13.51,1.09,1.51,8.32
631664,1,7.80,148.85,19.42,1.13,1.54,6.99
165229,1,3.90,61.42,20.09,0.42,0.65,10.94
758087,1,11.10,188.05,22.56,1.22,1.21,5.57
700522,1,7.15,144.07,23.38,1.01,3.65,11.54
354525,1,21.00,174.67,17.16,0.86,1.87,8.40
67920,1,3.90,116.47,28.69,1.06,0.23,5.39
970698,1,15.60,142.58,16.57,1.31,1.22,9.44
445687,1,10.75,73.39,17.64,1.38,10.13,11.37
893121,1,8.35,115.05,17.31,1.25,0.47,9.67
677919,1,5.75,125.33,22.99,1.49,1.56,7.05
778383,1,7.85,135.53,19.89,0.67,2.01,7.81
759899,1,7.35,171.49,23.47,1.36,0.97,6.24
194638,1,21.75,104.60,14.16,0.19,0.90,8.73
363906,1,17.50,159.15,17.07,1.45,2.38,7.93
466721,1,11.50,55.72,15.39,0.60,5.11,9.61
497791,1,8.55,108.96,17.53,1.29,0.80,6.81
43803,1,5.60,96.71,19.17,1.47,3.82,10.69
546569,1,21.90,104.49,13.94,1.17,1.97,9.77
154289,1,8.70,117.95,20.81,1.38,0.99,11.22
743375,1,13.55,90.99,16.97,1.38,0.58,8.84
683048,1,6.20,57.20,15.70,0.93,0.82,9.51
922527,1,10.40,95.16,19.58,1.49,0.61,6.72
744762,1,12.10,130.07,18.73,1.16,5.92,8.23
366642,1,11.20,79.91,17.33,1.04,1.60,11.34
967509,1,8.70,163.65,21.56,1.45,0.12,5.03
410850,1,7.45,93.41,16.46,0.75,0.55,10.95
325825,1,6.75,122.26,21.47,1.46,1.70,9.32
905535,1,8.50,105.52,18.10,1.49,7.30,8.86
370459,1,6.25,107.82,22.13,1.31,1.99,7.09
76343,1,13.85,86.81,15.05,1.33,8.41,11.98
469555,1,3.90,83.50,21.02,0.97,1.76,6.50
795679,1,8.50,55.70,15.04,1.37,2.02,9.83
189471,1,10.20,140.54,18.52,1.19,0.14,7.89
462940,1,8.15,88.43,16.34,0.28,1.50,5.70
129921,1,11.85,137.69,19.38,1.24,0.59,11.03
686478,1,5.15,83.24,22.47,1.40,2.07,8.27
475704,1,6.10,84.48,19.23,1.36,0.38,9.50
330196,1,20.55,107.91,14.95,1.04,1.15,5.22
226909,1,7.15,164.79,24.73,0.79,7.34,6.04
564499,1,18.90,95.56,14.82,1.14,0.75,5.83
669813,1,5.90,113.24,24.80,1.15,2.29,9.80
940306,1,23.55,61.68,12.17,1.23,0.52,5.50
437151,1,6.95,79.75,20.26,1.43,0.97,9.22
160688,1,6.55,129.59,23.24,0.96,4.74,6.77
832678,1,10.35,152.70,20.04,1.35,0.61,5.82
629764,1,9.30,77.34,18.16,0.96,0.60,8.85
700265,1,3.65,71.62,21.37,1.00,0.61,8.23
97226,1,11.50,118.21,14.40,1.44,6.07,9.44
312366,1,10.60,124.32,18.25,1.35,0.57,6.93
767843,1,8.20,171.06,24.44,1.06,3.09,8.08
832259,1,9.75,50.25,14.04,1.38,1.10,5.47
435216,1,5.95,69.40,17.42,0.24,0.28,8.96
