seed,hit,time_to_intercept,initial_sep,closing_vel_avg,min_sep,final_zem,target_speed
89250,1,4.45,115.16,25.24,1.18,0.21,5.24
773956,1,5.65,183.24,31.89,0.43,0.60,11.01
654571,1,2.95,90.06,29.06,0.61,0.11,9.84
438878,1,3.90,98.94,25.02,0.50,0.24,7.91
433015,1,5.10,148.53,28.17,1.27,0.31,7.44
858597,1,4.90,154.81,30.92,1.41,0.31,10.13
85945,1,4.05,88.80,21.52,1.03,2.45,5.59
697368,1,4.75,154.51,32.12,0.54,0.31,10.82
201469,1,4.50,126.11,27.62,0.37,0.59,8.94
94177,1,5.10,162.39,30.87,1.23,0.35,11.13
526478,1,4.70,109.48,22.82,0.53,0.15,6.77
975622,1,6.10,160.65,26.73,0.96,1.31,6.71
735752,1,3.95,121.84,29.82,1.10,0.44,11.61
761139,1,3.90,107.36,26.87,1.18,0.56,10.77
717477,1,7.15,139.14,19.29,1.06,0.55,9.52
786064,1,2.75,83.23,29.42,0.95,0.28,8.30
513226,1,3.20,97.83,29.52,0.48,0.66,9.16
128113,1,5.80,164.95,28.06,0.83,1.17,7.51
839748,1,5.60,147.55,26.36,1.26,0.20,10.04
450385,1,6.35,178.39,27.52,1.19,1.13,7.70
500351,1,4.50,83.82,18.19,1.28,0.74,8.22
370798,1,3.80,126.38,32.25,0.73,0.13,11.90
182549,1,6.95,196.73,28.03,0.61,0.34,6.66
926764,1,6.20,82.14,15.26,1.13,1.31,11.26
781567,1,4.20,99.78,23.43,1.47,1.06,9.80
643865,1,2.60,51.75,21.14,1.08,1.62,7.14
402414,1,3.35,104.72,30.18,0.64,0.49,9.57
822761,1,3.75,74.89,20.55,1.27,0.21,9.39
545429,1,6.85,169.84,24.61,0.70,0.09,7.89
443414,1,2.10,50.37,23.19,1.12,1.06,6.25
450459,1,6.90,149.34,21.36,1.03,0.87,8.56
227238,1,2.95,81.86,26.65,1.46,0.32,5.95
92135,1,3.05,78.52,25.68,1.34,0.63,6.66
554584,1,3.00,75.44,24.28,1.00,0.17,6.10
887889,1,5.60,91.18,16.03,0.27,0.30,11.92
63817,1,4.85,134.75,27.59,1.35,0.42,9.19
858291,1,2.95,93.32,30.66,0.62,0.34,9.65
827631,1,2.35,69.73,28.79,0.99,0.95,8.42
276759,1,5.10,74.58,14.67,1.13,0.39,8.32
631664,1,7.65,148.85,19.01,1.14,2.33,6.99
165229,1,4.65,61.42,14.78,1.46,0.19,10.94
758087,1,6.85,188.05,26.64,1.45,0.20,5.57
700522,1,5.85,144.07,25.90,1.41,1.73,11.54
354525,1,6.20,174.67,28.40,1.29,3.43,8.40
67920,1,4.55,116.47,24.76,1.29,0.29,5.39
970698,1,4.60,142.58,30.54,0.14,0.16,9.44
445687,1,2.40,73.39,29.25,0.78,0.25,11.37
893121,1,4.55,115.05,24.62,1.20,0.96,9.67
677919,1,4.35,125.33,28.06,0.57,0.98,7.05
778383,1,6.80,135.53,19.89,1.37,0.77,7.81
759899,1,6.75,171.49,25.04,1.25,0.68,6.24
194638,1,3.60,104.60,28.06,1.37,1.51,8.73
363906,1,6.90,159.15,22.83,1.36,0.17,7.93
466721,1,3.05,55.72,17.99,0.97,0.14,9.61
497791,1,3.90,108.96,27.01,0.85,0.31,6.81
43803,1,4.30,96.71,21.80,1.39,1.46,10.69
546569,1,5.05,104.49,20.43,1.27,0.72,9.77
154289,1,5.95,117.95,21.20,0.91,0.78,11.22
743375,1,2.95,90.99,29.87,0.77,0.33,8.84
683048,1,3.50,57.20,17.70,1.08,0.37,9.51
922527,1,3.30,95.16,27.62,1.31,0.60,6.72
744762,1,4.90,130.07,26.29,1.37,0.07,8.23
366642,1,2.60,79.91,29.84,0.75,0.48,11.34
967509,1,6.15,163.65,25.93,0.59,0.22,5.03
410850,1,5.35,93.41,18.37,1.38,1.44,10.95
325825,1,5.20,122.26,22.99,1.19,1.67,9.32
905535,1,6.35,105.52,17.31,1.38,0.71,8.86
370459,1,4.60,107.82,23.01,0.69,0.70,7.09
76343,1,3.40,86.81,24.95,1.05,0.15,11.98
469555,1,3.50,83.50,23.53,0.79,0.98,6.50
795679,1,1.75,55.70,29.88,0.54,0.70,9.83
189471,1,5.65,140.54,24.53,0.52,0.41,7.89
462940,1,3.20,88.43,26.82,0.85,1.22,5.70
129921,1,4.20,137.69,32.11,0.42,0.33,11.03
686478,1,2.85,83.24,27.69,1.48,0.82,8.27
475704,1,4.05,84.48,20.51,1.12,0.10,9.50
330196,1,4.80,107.91,22.06,1.12,0.21,5.22
226909,1,6.15,164.79,26.41,0.62,1.30,6.04
564499,1,3.45,95.56,26.65,1.13,1.29,5.83
669813,1,3.55,113.24,30.67,1.02,0.12,9.80
940306,1,2.25,61.68,25.80,1.29,0.81,5.50
437151,1,2.55,79.75,30.29,0.72,0.43,9.22
160688,1,4.50,129.59,28.04,1.29,0.39,6.77
832678,1,5.85,152.70,25.68,0.57,1.20,5.82
629764,1,3.30,77.34,26.06,0.87,0.55,8.85
700265,1,2.50,71.62,27.30,1.25,0.53,8.23
97226,1,5.65,118.21,20.74,0.49,0.49,9.44
312366,1,4.45,124.32,27.42,0.41,0.64,6.93
767843,1,6.25,171.06,26.98,0.68,0.31,8.08
832259,1,1.80,50.25,26.38,1.29,1.04,5.47
435216,1,2.75,69.40,24.48,1.02,0.51,8.96
804764,1,4.00,127.63,31.44,0.81,0.74,10.77
841691,1,4.20,111.43,26.04,0.59,0.17,6.53
387478,1,2.75,72.08,25.26,1.33,0.59,10.73
898087,1,4.70,136.24,28.04,0.64,0.67,8.07
288328,1,4.40,117.20,26.32,0.59,0.25,5.11
239557,1,5.30,139.20,25.80,0.59,0.05,5.34
682495,1,6.10,193.31,31.33,0.50,0.33,10.85
636761,1,5.30,130.75,24.31,1.08,0.21,7.46
139752,1,6.25,96.55,16.17,0.87,0.02,6.44
832736,1,6.50,170.76,25.69,0.40,0.56,6.66
199908,1,4.55,130.40,28.00,1.03,0.36,6.78
804899,1,3.25,90.76,27.30,1.01,0.45,10.76
7362,1,6.30,146.48,24.98,0.78,0.64,6.77
796842,1,4.60,79.63,17.47,1.30,0.72,5.81
786924,1,5.25,164.90,30.73,0.16,0.17,9.98
780364,1,4.90,85.21,17.53,1.22,0.14,11.55
664850,1,2.90,73.55,24.56,0.78,0.40,9.45
471567,1,4.30,129.49,29.99,0.70,0.12,11.62
705165,1,3.95,130.86,32.21,1.27,1.06,11.78
277121,1,4.30,130.23,29.41,1.38,0.57,10.00
780729,1,2.25,66.88,28.36,0.76,0.09,7.53
555646,1,2.05,57.62,26.53,1.15,0.51,6.53
458915,1,4.90,150.56,30.08,0.70,0.53,9.35
505606,1,2.60,71.38,26.58,0.74,0.24,9.29
568741,1,5.90,176.16,29.16,1.01,0.26,9.13
37262,1,6.15,95.54,15.92,1.13,0.94,11.46
139796,1,5.50,106.11,20.27,1.12,1.02,8.85
245481,1,2.30,65.76,26.96,1.47,0.66,6.76
114530,1,3.95,117.58,28.87,0.95,0.73,11.16
439613,1,3.00,87.83,27.75,1.38,0.72,9.23
668402,1,4.65,86.82,18.58,0.84,0.17,5.52
654428,1,5.85,141.96,24.23,1.26,0.18,10.79
471096,1,6.05,77.24,14.87,1.05,0.27,8.75
855080,1,4.10,99.02,24.08,1.21,1.56,5.75
565236,1,6.05,167.30,27.20,1.36,0.96,6.05
79197,1,4.05,109.45,26.41,0.66,0.90,5.22
764998,1,6.80,104.00,16.27,1.38,0.85,10.65
574600,1,6.70,174.47,25.72,1.29,0.66,5.02
634718,1,4.80,118.04,24.31,0.80,0.66,7.54
565373,1,3.50,98.01,27.20,0.67,0.54,7.24
553579,1,5.60,150.42,26.35,0.49,0.49,5.17
90566,1,5.25,104.26,19.61,1.14,0.22,8.53
559207,1,3.55,106.70,29.62,0.27,0.39,10.03
794912,1,2.15,62.68,27.75,0.52,0.29,7.07
303950,1,1.85,53.48,25.84,1.17,1.08,8.08
602838,1,2.45,54.19,21.50,1.03,0.15,7.52
30817,1,5.35,113.46,20.88,1.21,0.82,11.99
347499,1,3.40,67.36,19.20,1.36,0.71,8.29
436717,1,4.75,111.65,23.09,0.69,0.16,6.13
982738,1,5.00,137.33,28.66,1.41,2.40,10.97
214584,1,6.00,92.47,16.93,1.31,0.66,11.79
276548,1,3.50,94.91,26.29,0.86,0.17,7.22
408528,1,4.45,78.54,17.48,1.07,0.39,5.31
992665,1,4.30,70.64,16.37,1.14,1.12,8.92
853403,1,6.00,169.46,27.75,1.10,1.36,9.07
34692,1,5.05,131.65,25.83,0.81,0.99,8.86
233939,1,5.50,171.57,31.50,1.20,1.02,11.64
821674,1,5.40,146.22,26.88,0.81,1.64,9.66
58302,1,3.70,71.81,21.12,1.39,0.42,10.98
855670,1,3.05,100.64,32.05,0.94,0.48,11.06
281383,1,3.95,90.04,22.50,1.20,1.87,5.94
917652,1,5.30,87.09,16.12,1.35,0.10,5.35
293593,1,4.65,132.94,27.80,0.38,0.14,8.01
434316,1,2.70,65.05,23.51,0.89,0.88,6.86
661916,1,4.35,117.46,26.37,1.44,0.61,6.27
126280,1,6.05,164.84,27.01,1.02,0.67,9.93
557032,1,3.95,92.92,22.90,0.94,0.18,7.11
505015,1,3.10,95.81,29.66,0.27,0.42,9.22
783898,1,3.95,85.90,21.25,1.12,0.29,5.44
996106,1,5.15,130.66,24.79,1.18,0.54,8.36
664313,1,2.95,83.15,27.64,1.16,0.72,6.07
409186,1,4.05,128.28,30.55,0.97,0.20,9.84
406386,1,4.85,66.14,15.57,1.44,1.06,9.72
417958,1,7.05,196.78,28.13,1.31,2.05,8.71
814020,1,4.45,126.63,27.74,1.28,0.39,6.52
321215,1,5.05,114.67,22.28,1.48,0.51,11.82
166972,1,3.35,79.57,24.84,1.25,0.08,11.34
334291,1,3.45,65.21,18.48,1.09,0.40,8.55
22712,1,6.60,180.30,26.93,0.37,0.82,5.92
106142,1,7.05,148.25,20.49,0.70,0.49,5.37
90047,1,3.80,115.89,29.75,0.18,0.27,9.22
771552,1,4.20,99.24,23.21,1.18,0.61,9.90
722359,1,6.35,188.68,29.24,0.86,0.76,9.19
696770,1,4.85,141.93,27.95,1.33,0.49,7.50
461877,1,5.60,172.38,30.18,0.88,1.44,9.94
717058,1,3.70,62.55,16.77,0.98,0.06,5.11
161271,1,6.65,81.78,13.55,1.32,2.07,11.58
900621,1,6.05,71.43,13.87,1.20,0.54,10.90
501044,1,8.15,184.54,23.40,0.73,1.81,11.21
938051,1,7.15,181.33,24.96,1.43,0.41,5.84
152312,1,4.00,106.02,26.06,0.43,0.41,5.84
497330,1,4.80,132.61,27.03,1.41,0.57,7.06
696320,1,5.30,163.60,30.39,1.05,0.96,9.61
495625,1,4.45,145.75,31.73,1.17,1.00,10.80
446156,1,5.10,165.45,31.81,0.82,0.75,11.61
166214,1,5.85,151.61,25.26,1.03,0.29,5.37
381021,1,4.70,116.05,24.19,1.32,0.17,6.32
238766,1,3.35,99.89,28.85,1.45,0.14,7.75
301512,1,6.00,143.05,23.82,1.18,0.63,11.08
683700,1,6.55,80.99,15.29,1.18,1.63,11.71
630282,1,5.05,108.57,22.14,1.28,3.11,9.72
607196,1,3.65,111.67,29.83,0.98,0.27,10.22
361812,1,2.65,63.13,23.00,1.29,0.16,5.46
959692,1,4.35,92.28,21.04,1.09,0.75,11.45
87649,1,3.75,88.86,22.81,1.07,0.76,5.22
342590,1,2.85,88.57,29.69,1.02,0.28,10.23
118005,1,3.00,90.15,29.02,1.06,0.38,9.03
338943,1,6.65,123.12,18.75,1.44,6.39,5.43
961897,1,3.40,68.81,19.35,1.46,1.25,7.68
366263,1,3.05,75.89,23.97,1.39,1.14,5.07
908580,1,3.45,75.36,23.03,1.30,5.17,10.38
495065,1,5.75,171.95,29.17,1.18,0.33,8.61
699707,1,5.45,159.40,28.58,1.09,0.84,7.51
457417,1,6.40,145.30,22.48,1.35,0.77,7.64
265869,1,2.95,90.49,28.33,1.03,1.87,10.68
764229,1,3.45,106.90,30.52,0.24,0.57,9.21
969176,1,4.10,96.98,23.57,1.42,2.10,8.85
263524,1,5.45,137.20,24.48,1.37,1.56,7.47
778750,1,6.55,165.24,24.89,1.43,0.70,5.93
261140,1,5.65,155.12,27.16,0.87,0.62,8.85
716890,1,4.00,94.98,22.99,1.26,0.72,10.63
789006,1,3.90,118.05,29.24,0.58,0.48,9.46
449361,1,3.50,82.84,23.10,1.05,0.77,5.07
736919,1,5.40,102.46,18.93,0.54,0.32,9.28
272241,1,3.85,77.38,20.00,1.05,1.94,7.29
79253,1,2.20,53.00,23.01,0.89,1.32,9.68
96390,1,2.50,64.54,24.79,1.36,0.82,11.33
447023,1,6.00,182.92,29.94,1.28,0.10,11.06
902602,1,2.40,73.05,28.74,0.89,0.51,11.27
127576,1,6.00,167.34,27.37,0.99,0.96,6.28
455776,1,5.45,116.37,20.93,0.90,0.73,6.57
704032,1,4.20,86.64,20.17,1.34,0.74,6.60
202363,1,6.20,186.70,29.95,1.08,0.05,11.78
721616,1,3.95,78.20,18.93,1.27,0.60,6.54
305956,1,6.15,170.22,27.18,1.49,0.35,7.77
808660,1,2.80,71.62,24.43,1.39,0.64,5.76
579219,1,4.85,130.90,26.36,1.18,1.34,6.75
546907,1,3.55,75.54,20.60,1.40,0.80,11.58
