seed,hit,time_to_intercept,initial_sep,closing_vel_avg,min_sep,final_zem,target_speed
89250,1,5.85,115.16,19.39,0.51,0.04,5.24
773956,1,7.30,183.24,24.74,1.14,0.21,11.01
654571,1,4.45,90.06,19.78,0.65,0.14,9.84
438878,1,5.10,98.94,18.95,0.97,0.07,7.91
433015,1,6.55,148.53,22.28,1.16,0.12,7.44
858597,1,6.35,154.81,24.00,0.87,0.18,10.13
85945,1,5.30,88.80,16.30,1.31,0.08,5.59
697368,1,6.45,154.51,23.65,0.62,0.14,10.82
201469,1,5.85,126.11,21.25,0.45,0.10,8.94
94177,1,6.70,162.39,23.95,0.54,0.17,11.13
526478,1,5.60,109.48,19.18,0.76,0.08,6.77
975622,1,7.25,160.65,21.87,0.77,0.07,6.71
735752,1,5.65,121.84,21.22,0.68,0.16,11.61
761139,1,5.40,107.36,19.46,1.00,0.19,10.77
717477,1,8.25,139.14,16.63,0.93,0.06,9.52
786064,1,4.20,83.23,19.20,1.11,0.13,8.30
513226,1,4.70,97.83,20.24,1.27,0.17,9.16
128113,1,7.20,164.95,22.62,0.66,0.02,7.51
839748,1,6.90,147.55,21.07,0.80,0.06,10.04
450385,1,7.90,178.39,22.36,0.48,0.08,7.70
500351,1,5.45,83.82,14.95,1.39,0.15,8.22
370798,1,5.30,126.38,23.48,0.31,0.13,11.90
182549,1,8.30,196.73,23.36,1.46,0.10,6.66
926764,1,8.25,82.14,10.81,1.49,0.55,11.26
781567,1,5.50,99.78,17.84,0.62,0.12,9.80
643865,1,3.55,51.75,14.10,0.63,0.08,7.14
402414,1,4.90,104.72,20.85,1.12,0.18,9.57
822761,1,4.70,74.89,15.41,1.39,0.17,9.39
545429,1,8.10,169.84,20.70,0.92,0.09,7.89
443414,1,3.25,50.37,14.78,1.13,0.09,6.25
450459,1,7.70,149.34,19.06,1.37,0.11,8.56
227238,1,4.40,81.86,18.12,0.78,0.07,5.95
92135,1,4.35,78.52,17.62,0.59,0.05,6.66
554584,1,4.35,75.44,16.84,0.96,0.08,6.10
887889,1,9.00,91.18,11.36,0.40,0.09,11.92
63817,1,6.25,134.75,21.33,0.14,0.03,9.19
858291,1,4.40,93.32,20.68,0.77,0.12,9.65
827631,1,3.75,69.73,18.10,0.38,0.05,8.42
276759,1,5.70,74.58,12.73,1.27,0.14,8.32
631664,1,8.80,148.85,16.73,0.62,0.08,6.99
165229,1,6.95,61.42,9.77,0.68,0.77,10.94
758087,1,8.30,188.05,22.42,0.62,0.05,5.57
700522,1,6.75,144.07,21.04,0.85,0.18,11.54
354525,1,7.45,174.67,23.15,0.80,0.12,8.40
67920,1,6.00,116.47,18.99,1.26,0.08,5.39
970698,1,6.05,142.58,23.12,1.19,0.20,9.44
445687,1,3.90,73.39,18.35,0.53,0.15,11.37
893121,1,5.65,115.05,19.86,1.43,0.10,9.67
677919,1,5.80,125.33,21.29,0.47,0.07,7.05
778383,1,7.75,135.53,17.19,1.24,0.13,7.81
759899,1,8.00,171.49,21.17,0.83,0.02,6.24
194638,1,5.05,104.60,20.33,0.56,0.09,8.73
363906,1,8.25,159.15,18.98,1.38,0.14,7.93
466721,1,4.05,55.72,13.30,0.91,0.20,9.61
497791,1,5.35,108.96,19.90,1.14,0.10,6.81
43803,1,5.35,96.71,17.76,0.58,0.12,10.69
546569,1,6.05,104.49,16.94,1.03,0.43,9.77
