seed,hit,time_to_intercept,initial_sep,closing_vel_avg,min_sep,final_zem,target_speed
89250,1,20.95,115.16,11.28,1.05,0.65,5.24
773956,1,15.80,183.24,17.77,0.98,1.01,11.01
654571,1,13.05,90.06,12.79,1.40,2.09,9.84
438878,1,12.65,98.94,12.45,1.08,2.18,7.91
433015,1,21.35,148.53,13.73,1.09,0.26,7.44
858597,1,16.45,154.81,15.06,1.47,0.21,10.13
85945,1,20.70,88.80,9.95,1.44,2.39,5.59
697368,1,23.35,154.51,12.63,1.38,1.25,10.82
201469,1,18.50,126.11,13.17,1.36,0.23,8.94
94177,1,15.40,162.39,15.47,1.34,0.96,11.13
526478,1,14.40,109.48,13.61,0.81,0.80,6.77
975622,1,17.15,160.65,14.79,1.16,2.40,6.71
735752,1,15.10,121.84,13.12,1.42,0.19,11.61
761139,1,22.40,107.36,11.54,1.46,1.69,10.77
717477,1,15.75,139.14,12.49,1.32,0.14,9.52
786064,1,21.50,83.23,10.51,1.49,0.60,8.30
513226,1,9.90,97.83,16.67,1.37,0.52,9.16
128113,1,15.75,164.95,17.66,1.34,0.15,7.51
839748,1,17.30,147.55,14.62,1.20,0.44,10.04
450385,1,14.55,178.39,18.32,1.34,0.71,7.70
500351,1,19.80,83.82,10.08,1.37,0.69,8.22
370798,1,14.95,126.38,14.90,1.11,0.13,11.90
182549,1,18.80,196.73,16.02,0.91,0.48,6.66
926764,1,21.65,82.14,10.10,1.34,0.15,11.26
781567,1,22.85,99.78,10.57,1.27,0.04,9.80
643865,1,10.45,51.75,9.24,0.97,0.59,7.14
402414,1,14.95,104.72,11.39,1.20,3.09,9.57
822761,1,14.45,74.89,9.84,1.40,0.96,9.39
545429,1,14.30,169.84,16.86,1.49,1.94,7.89
443414,1,22.90,50.37,9.29,1.44,2.98,6.25
450459,1,16.60,149.34,13.62,1.43,1.42,8.56
227238,1,21.30,81.86,10.38,1.50,0.98,5.95
92135,1,11.60,78.52,12.38,1.49,1.28,6.66
554584,1,18.00,75.44,9.54,1.42,1.30,6.10
887889,0,30.00,91.18,10.13,1.62,38.27,11.92
63817,1,17.05,134.75,15.12,1.49,0.29,9.19
858291,1,22.90,93.32,9.54,1.42,0.20,9.65
827631,1,21.00,69.73,9.51,1.39,0.10,8.42
276759,1,25.40,74.58,9.51,1.05,0.15,8.32
631664,1,17.25,148.85,14.01,1.49,0.02,6.99
165229,1,14.75,61.42,9.70,1.46,0.45,10.94
758087,1,18.25,188.05,15.76,1.41,0.15,5.57
700522,1,12.30,144.07,16.93,1.45,0.17,11.54
354525,1,20.65,174.67,15.53,0.96,0.35,8.40
67920,1,16.50,116.47,14.14,1.45,0.42,5.39
970698,1,12.85,142.58,16.81,1.45,1.06,9.44
445687,1,12.35,73.39,11.58,1.04,0.46,11.37
893121,1,15.55,115.05,12.11,1.37,0.21,9.67
677919,1,29.40,125.33,10.57,1.20,0.56,7.05
778383,1,16.00,135.53,12.23,1.21,1.04,7.81
759899,1,16.55,171.49,15.25,1.41,0.59,6.24
194638,1,10.35,104.60,15.96,1.14,0.23,8.73
363906,1,19.40,159.15,13.24,1.39,0.56,7.93
466721,1,11.55,55.72,8.76,1.43,0.27,9.61
497791,1,15.55,108.96,11.89,1.48,0.42,6.81
43803,1,14.90,96.71,11.50,1.46,1.61,10.69
546569,1,16.55,104.49,12.20,1.25,0.09,9.77
154289,1,15.40,117.95,12.92,1.48,0.75,11.22
743375,1,15.05,90.99,11.25,1.41,0.43,8.84
683048,1,9.85,57.20,10.06,1.38,0.02,9.51
922527,1,11.95,95.16,12.46,1.46,2.48,6.72
744762,1,15.65,130.07,13.47,1.42,0.31,8.23
366642,1,20.70,79.91,10.04,1.50,0.37,11.34
967509,1,13.65,163.65,17.35,1.41,0.14,5.03
410850,1,12.00,93.41,13.00,1.41,0.62,10.95
325825,1,14.20,122.26,13.58,0.79,0.58,9.32
905535,1,13.15,105.52,12.44,1.36,1.08,8.86
370459,1,11.15,107.82,15.91,1.48,0.19,7.09
76343,1,17.65,86.81,11.18,1.16,0.26,11.98
469555,1,16.00,83.50,12.10,1.09,0.45,6.50
795679,1,13.40,55.70,10.16,1.46,0.10,9.83
189471,1,15.40,140.54,14.37,1.42,1.16,7.89
462940,1,15.00,88.43,11.04,1.23,0.03,5.70
129921,1,11.55,137.69,18.26,1.24,0.18,11.03
686478,1,20.40,83.24,7.75,1.44,0.76,8.27
475704,1,9.75,84.48,13.05,1.31,0.43,9.50
330196,1,14.00,107.91,12.65,1.48,0.52,5.22
226909,1,15.30,164.79,15.36,1.28,0.18,6.04
564499,1,14.65,95.56,9.50,1.30,1.33,5.83
669813,1,14.15,113.24,11.93,1.35,1.72,9.80
940306,1,9.45,61.68,12.80,1.34,2.97,5.50
437151,1,14.25,79.75,11.79,0.98,0.91,9.22
160688,1,12.10,129.59,14.96,0.65,2.48,6.77
832678,1,21.00,152.70,14.43,1.41,1.35,5.82
629764,1,9.40,77.34,13.89,1.18,0.14,8.85
700265,1,15.15,71.62,11.61,1.10,0.27,8.23
97226,1,15.80,118.21,11.04,1.11,0.64,9.44
312366,1,18.25,124.32,13.10,1.45,0.42,6.93
767843,1,13.10,171.06,18.23,0.93,2.05,8.08
832259,1,11.40,50.25,10.10,1.47,0.53,5.47
435216,1,13.05,69.40,11.15,1.27,0.08,8.96
804764,1,23.00,127.63,13.02,1.27,0.77,10.77
841691,1,12.10,111.43,13.98,0.97,1.70,6.53
387478,1,13.45,72.08,11.09,1.49,1.51,10.73
898087,1,17.90,136.24,14.51,1.34,1.21,8.07
288328,1,26.30,117.20,11.43,1.46,0.76,5.11
239557,1,22.55,139.20,13.01,1.44,0.43,5.34
682495,1,28.05,193.31,13.82,1.48,0.65,10.85
636761,1,21.30,130.75,12.95,1.16,0.31,7.46
139752,1,17.25,96.55,10.54,1.19,3.30,6.44
832736,1,13.30,170.76,16.77,1.37,0.57,6.66
199908,1,22.95,130.40,12.54,0.95,0.29,6.78
804899,1,11.75,90.76,15.16,1.37,0.63,10.76
7362,1,12.95,146.48,17.23,1.20,0.58,6.77
796842,1,14.45,79.63,10.92,1.38,0.54,5.81
786924,1,14.00,164.90,18.09,1.42,0.34,9.98
780364,1,18.80,85.21,9.96,1.34,1.27,11.55
664850,1,10.85,73.55,12.51,1.49,0.11,9.45
471567,1,16.90,129.49,14.03,1.38,0.10,11.62
705165,1,9.85,130.86,19.06,1.37,0.50,11.78
