seed,hit,time_to_intercept,initial_sep,closing_vel_avg,min_sep,final_zem,target_speed
89250,1,22.95,115.16,6.18,1.47,1.94,5.24
773956,1,19.65,183.24,9.95,1.41,2.25,11.01
654571,1,23.95,90.06,5.42,1.39,1.96,9.84
438878,1,29.15,98.94,5.57,1.41,1.59,7.91
433015,1,20.10,148.53,7.83,1.36,2.05,7.44
858597,1,19.20,154.81,8.58,1.45,2.84,10.13
85945,1,20.35,88.80,4.80,1.29,1.64,5.59
697368,1,26.00,154.51,8.29,1.25,3.96,10.82
201469,1,20.80,126.11,7.43,1.37,3.11,8.94
94177,1,19.60,162.39,8.89,1.46,2.88,11.13
526478,1,19.10,109.48,6.11,1.27,1.96,6.77
975622,1,21.00,160.65,8.11,1.37,1.16,6.71
735752,1,19.50,121.84,7.18,1.48,1.67,11.61
761139,1,27.40,107.36,5.85,1.39,1.99,10.77
717477,1,24.90,139.14,6.80,1.34,2.13,9.52
786064,1,18.50,83.23,5.32,1.47,1.61,8.30
513226,1,26.00,97.83,5.87,1.49,1.96,9.16
128113,1,24.85,164.95,8.37,1.48,2.12,7.51
839748,1,18.70,147.55,8.07,1.46,1.89,10.04
450385,1,24.30,178.39,8.77,1.49,2.63,7.70
500351,1,19.95,83.82,4.57,1.34,2.77,8.22
370798,1,23.55,126.38,7.45,1.23,2.26,11.90
182549,1,20.75,196.73,9.62,1.50,1.65,6.66
926764,1,16.90,82.14,4.96,1.37,2.12,11.26
781567,1,26.35,99.78,5.83,1.46,1.67,9.80
643865,1,21.45,51.75,3.55,1.47,1.99,7.14
402414,1,18.00,104.72,6.29,1.46,1.63,9.57
822761,1,19.40,74.89,4.55,1.45,1.81,9.39
545429,1,22.25,169.84,8.70,1.45,1.61,7.89
443414,1,16.80,50.37,3.29,1.43,2.13,6.25
450459,1,20.25,149.34,7.80,1.41,1.81,8.56
227238,1,19.65,81.86,4.64,1.30,3.05,5.95
92135,0,30.00,78.52,5.21,1.51,3.44,6.66
554584,1,18.65,75.44,4.32,1.42,2.52,6.10
887889,1,21.65,91.18,5.63,1.40,1.71,11.92
63817,0,30.00,134.75,7.37,1.50,5.46,9.19
858291,1,26.90,93.32,5.78,1.44,1.72,9.65
827631,1,15.80,69.73,4.43,1.42,1.86,8.42
276759,1,19.95,74.58,4.30,1.44,2.25,8.32
631664,1,25.95,148.85,7.33,1.49,1.71,6.99
165229,1,27.80,61.42,4.59,1.42,2.47,10.94
758087,1,21.80,188.05,9.08,1.31,3.05,5.57
700522,1,22.70,144.07,7.61,1.48,1.44,11.54
354525,1,24.05,174.67,8.67,1.29,2.38,8.40
67920,1,18.55,116.47,6.34,1.48,2.02,5.39
970698,1,18.95,142.58,8.06,1.44,1.54,9.44
445687,1,17.10,73.39,4.68,1.43,2.69,11.37
893121,1,22.15,115.05,6.83,1.45,2.13,9.67
677919,1,20.85,125.33,6.88,1.47,2.94,7.05
778383,1,20.55,135.53,6.61,1.49,1.73,7.81
759899,1,25.95,171.49,8.53,1.37,3.30,6.24
194638,1,18.05,104.60,6.24,1.49,2.37,8.73
363906,1,25.15,159.15,7.52,1.40,1.25,7.93
466721,1,18.65,55.72,4.07,1.49,2.93,9.61
497791,1,24.90,108.96,6.02,1.41,1.84,6.81
43803,1,19.60,96.71,5.81,1.46,1.96,10.69
546569,1,17.95,104.49,6.11,1.26,1.64,9.77
154289,1,19.05,117.95,6.67,1.36,2.27,11.22
743375,1,20.65,90.99,5.57,1.43,1.66,8.84
683048,1,15.65,57.20,3.85,1.49,4.16,9.51
922527,1,17.35,95.16,5.54,1.47,1.97,6.72
744762,1,24.15,130.07,7.03,1.42,1.61,8.23
366642,1,23.75,79.91,5.46,1.33,2.22,11.34
967509,1,21.35,163.65,8.06,1.47,1.86,5.03
410850,1,21.80,93.41,5.72,1.46,1.94,10.95
325825,1,19.95,122.26,6.58,1.36,1.73,9.32
905535,1,18.80,105.52,5.99,1.46,1.39,8.86
370459,1,22.40,107.82,6.01,1.39,1.63,7.09
76343,1,19.15,86.81,5.82,1.40,2.00,11.98
469555,0,30.00,83.50,4.75,1.50,2.75,6.50
795679,1,16.25,55.70,3.66,1.27,3.06,9.83
189471,1,22.15,140.54,7.50,1.49,3.11,7.89
462940,1,18.20,88.43,5.10,1.27,0.74,5.70
129921,1,18.75,137.69,7.78,1.39,2.31,11.03
686478,1,18.15,83.24,4.89,1.26,2.05,8.27
475704,1,19.95,84.48,5.41,1.49,3.22,9.50
330196,1,27.60,107.91,6.13,1.46,1.85,5.22
226909,1,22.80,164.79,8.10,1.50,2.31,6.04
