seed,hit,time_to_intercept,initial_sep,closing_vel_avg,min_sep,final_zem,target_speed
89250,1,11.45,115.16,17.61,1.24,1.94,5.24
773956,1,10.00,183.24,23.61,1.45,0.35,11.01
654571,1,8.85,90.06,19.36,1.43,0.40,9.84
438878,1,4.90,98.94,23.64,0.88,3.62,7.91
433015,1,28.50,148.53,16.17,1.26,0.45,7.44
858597,1,7.15,154.81,25.09,0.86,1.11,10.13
85945,1,3.80,88.80,23.51,1.43,1.15,5.59
697368,1,8.05,154.51,26.65,0.91,2.00,10.82
201469,1,7.35,126.11,21.01,0.90,2.86,8.94
94177,1,6.50,162.39,28.06,1.36,2.13,11.13
526478,1,3.45,109.48,30.78,1.04,0.41,6.77
975622,1,11.15,160.65,19.09,1.48,0.47,6.71
735752,1,7.70,121.84,18.76,1.16,0.50,11.61
761139,1,7.50,107.36,19.39,1.46,0.60,10.77
717477,1,8.35,139.14,19.46,1.39,3.11,9.52
786064,1,25.85,83.23,13.73,1.32,0.16,8.30
513226,1,10.50,97.83,16.89,1.49,2.97,9.16
128113,1,5.25,164.95,30.73,1.16,0.36,7.51
839748,1,13.65,147.55,17.49,1.25,0.49,10.04
450385,1,21.20,178.39,19.14,1.17,1.88,7.70
500351,1,22.90,83.82,11.23,1.37,3.61,8.22
370798,0,30.00,126.38,14.88,1.60,28.98,11.90
182549,1,19.75,196.73,18.40,1.24,0.38,6.66
926764,1,18.15,82.14,12.58,0.83,3.05,11.26
781567,1,10.95,99.78,15.17,1.36,1.91,9.80
643865,1,3.35,51.75,21.81,1.43,0.36,7.14
402414,1,9.80,104.72,17.73,1.44,0.22,9.57
822761,1,5.30,74.89,17.56,1.32,0.48,9.39
545429,1,17.40,169.84,18.57,1.24,2.57,7.89
443414,1,7.50,50.37,11.74,1.19,2.62,6.25
450459,1,21.30,149.34,15.63,1.34,0.22,8.56
227238,1,13.35,81.86,14.61,0.61,1.11,5.95
92135,1,8.90,78.52,17.03,1.30,1.87,6.66
554584,1,6.65,75.44,18.97,1.39,1.73,6.10
887889,1,7.75,91.18,15.58,0.82,0.86,11.92
63817,1,4.30,134.75,31.04,1.32,0.44,9.19
858291,1,5.50,93.32,22.73,1.45,4.92,9.65
827631,1,11.15,69.73,17.94,1.14,0.77,8.42
276759,1,25.60,74.58,12.28,0.99,2.76,8.32
631664,1,7.85,148.85,19.41,1.44,1.67,6.99
165229,1,4.20,61.42,22.61,0.95,0.12,10.94
758087,1,10.75,188.05,23.47,1.32,1.29,5.57
700522,1,6.75,144.07,24.55,1.49,0.86,11.54
354525,1,21.00,174.67,17.36,1.29,1.01,8.40
67920,1,3.90,116.47,28.81,0.82,0.13,5.39
970698,1,15.75,142.58,17.07,1.22,0.82,9.44
445687,1,15.05,73.39,16.49,1.38,7.04,11.37
893121,1,17.75,115.05,16.97,0.98,0.82,9.67
677919,1,14.40,125.33,17.99,1.12,2.22,7.05
778383,1,9.20,135.53,18.27,0.61,0.87,7.81
759899,1,7.50,171.49,23.07,1.32,0.22,6.24
194638,1,21.85,104.60,13.51,1.07,1.43,8.73
363906,1,12.45,159.15,19.86,1.47,3.13,7.93
466721,1,9.20,55.72,15.60,1.41,1.89,9.61
497791,1,13.40,108.96,15.19,1.39,0.12,6.81
