seed,hit,time_to_intercept,initial_sep,closing_vel_avg,min_sep,final_zem,target_speed
89250,1,3.95,115.16,28.71,1.31,0.57,5.24
773956,1,9.20,183.24,22.44,0.85,1.76,11.01
654571,1,6.95,90.06,17.29,1.38,2.29,9.84
438878,1,7.50,98.94,17.23,1.02,0.22,7.91
433015,1,6.85,148.53,24.19,0.92,2.11,7.44
858597,1,8.20,154.81,24.75,0.68,1.26,10.13
85945,1,8.10,88.80,14.26,1.32,0.25,5.59
697368,1,9.10,154.51,23.07,0.68,0.38,10.82
201469,1,6.35,126.11,23.75,0.70,1.63,8.94
94177,1,15.10,162.39,18.23,0.58,0.30,11.13
526478,1,5.25,109.48,23.75,1.36,0.72,6.77
975622,1,7.60,160.65,24.01,0.94,0.47,6.71
735752,1,8.25,121.84,17.29,1.26,0.97,11.61
761139,1,7.15,107.36,17.94,1.17,1.82,10.77
717477,1,7.30,139.14,18.95,1.29,0.12,9.52
786064,1,2.95,83.23,27.65,0.21,0.07,8.30
513226,1,13.05,97.83,16.86,1.32,0.13,9.16
128113,1,13.75,164.95,16.98,1.48,1.36,7.51
839748,1,8.75,147.55,20.93,1.49,1.32,10.04
450385,1,11.15,178.39,22.36,0.38,0.63,7.70
500351,1,12.45,83.82,16.84,1.49,1.86,8.22
370798,1,6.90,126.38,23.78,1.38,0.13,11.90
182549,1,10.50,196.73,18.53,1.36,0.50,6.66
926764,1,8.55,82.14,16.92,1.38,1.00,11.26
781567,1,6.30,99.78,21.81,1.07,0.99,9.80
643865,1,1.95,51.75,25.70,1.26,1.05,7.14
402414,1,5.10,104.72,22.48,1.27,0.85,9.57
822761,1,6.05,74.89,14.44,0.55,0.43,9.39
545429,1,11.55,169.84,16.42,1.46,0.99,7.89
443414,1,3.85,50.37,14.11,1.32,1.27,6.25
450459,1,6.85,149.34,22.34,1.47,1.31,8.56
227238,1,10.85,81.86,14.63,1.50,1.78,5.95
92135,1,5.75,78.52,13.49,0.99,0.24,6.66
554584,1,8.05,75.44,14.12,1.24,0.88,6.10
887889,1,19.75,91.18,11.41,1.28,0.17,11.92
63817,1,9.70,134.75,17.52,1.44,1.45,9.19
858291,1,10.15,93.32,13.00,1.00,0.93,9.65
827631,1,21.20,69.73,12.61,1.46,0.72,8.42
276759,1,3.95,74.58,18.24,1.34,1.38,8.32
631664,1,9.00,148.85,17.22,1.39,1.76,6.99
165229,1,9.90,61.42,12.46,1.43,0.14,10.94
758087,1,22.00,188.05,16.68,1.37,1.63,5.57
700522,1,8.05,144.07,18.77,1.13,1.04,11.54
354525,1,15.25,174.67,17.75,1.39,0.71,8.40
67920,1,5.45,116.47,21.57,1.22,0.41,5.39
970698,1,7.90,142.58,25.16,1.16,1.45,9.44
445687,1,12.75,73.39,13.88,0.74,0.51,11.37
893121,1,9.60,115.05,18.01,1.41,0.27,9.67
677919,1,4.75,125.33,25.92,1.18,0.36,7.05
778383,1,16.65,135.53,13.20,0.94,0.91,7.81
759899,1,7.65,171.49,23.29,0.68,0.29,6.24
194638,1,25.15,104.60,11.60,1.49,1.28,8.73
363906,1,10.20,159.15,18.98,1.39,0.81,7.93
466721,1,10.95,55.72,8.93,0.27,0.77,9.61
497791,1,5.95,108.96,23.33,1.48,2.13,6.81
43803,1,5.25,96.71,19.18,0.88,0.34,10.69
546569,1,11.80,104.49,15.33,1.37,0.54,9.77
154289,1,7.75,117.95,18.04,1.36,0.54,11.22
743375,1,2.80,90.99,31.95,1.16,0.32,8.84
683048,1,3.25,57.20,17.30,1.03,0.42,9.51
922527,1,15.55,95.16,12.57,1.35,2.04,6.72
744762,1,8.75,130.07,17.87,1.35,0.07,8.23
366642,1,3.05,79.91,25.36,1.05,0.20,11.34
967509,1,7.65,163.65,25.78,1.06,0.39,5.03
410850,1,5.30,93.41,19.64,1.32,1.10,10.95
325825,1,5.75,122.26,20.99,1.46,1.44,9.32
905535,1,10.10,105.52,12.49,0.68,0.91,8.86
370459,1,7.55,107.82,20.99,1.32,0.96,7.09
76343,1,4.00,86.81,21.30,0.88,0.05,11.98
469555,1,18.30,83.50,12.64,1.37,0.54,6.50
795679,1,4.50,55.70,18.64,1.17,0.68,9.83
189471,1,8.60,140.54,20.11,0.77,1.26,7.89
462940,1,8.80,88.43,13.10,1.16,0.72,5.70
129921,1,14.75,137.69,17.52,1.28,0.02,11.03
686478,1,7.75,83.24,18.76,0.99,0.74,8.27
475704,1,9.90,84.48,11.66,1.34,0.37,9.50
