seed,hit,time_to_intercept,initial_sep,closing_vel_avg,min_sep,final_zem,target_speed
89250,1,4.45,115.16,25.30,0.94,0.36,5.24
773956,1,5.60,183.24,32.00,1.38,0.42,11.01
654571,1,2.95,90.06,29.12,0.58,0.10,9.84
438878,1,3.85,98.94,25.13,1.10,0.38,7.91
433015,1,5.10,148.53,28.29,0.96,0.19,7.44
858597,1,4.85,154.81,30.88,1.50,0.49,10.13
85945,1,4.00,88.80,21.81,1.18,0.42,5.59
697368,1,4.70,154.51,32.16,1.18,0.43,10.82
201469,1,4.45,126.11,27.88,0.64,0.05,8.94
94177,1,5.10,162.39,30.95,1.04,0.24,11.13
526478,1,4.70,109.48,22.72,0.34,0.14,6.77
975622,1,6.10,160.65,26.72,1.23,0.64,6.71
735752,1,3.95,121.84,29.96,0.78,0.16,11.61
761139,1,3.90,107.36,27.02,0.96,0.31,10.77
717477,1,7.10,139.14,19.58,1.18,0.46,9.52
786064,1,2.75,83.23,29.42,0.81,0.16,8.30
513226,1,3.15,97.83,29.62,1.45,0.41,9.16
128113,1,5.80,164.95,28.11,0.55,0.62,7.51
839748,1,5.60,147.55,26.36,1.48,0.18,10.04
450385,1,6.35,178.39,27.59,0.85,0.58,7.70
500351,1,4.45,83.82,18.46,1.04,0.40,8.22
370798,1,3.80,126.38,32.23,0.69,0.09,11.90
182549,1,6.95,196.73,28.07,0.52,0.16,6.66
926764,1,6.35,82.14,14.74,0.93,2.25,11.26
781567,1,4.20,99.78,23.52,1.49,0.34,9.80
643865,1,2.55,51.75,20.69,1.20,1.22,7.14
402414,1,3.35,104.72,30.27,0.48,0.26,9.57
822761,1,3.75,74.89,20.67,0.96,0.12,9.39
545429,1,6.80,169.84,24.81,1.03,0.68,7.89
443414,1,2.10,50.37,23.18,1.10,0.73,6.25
450459,1,6.85,149.34,21.53,1.10,0.43,8.56
227238,1,2.95,81.86,26.84,0.98,0.14,5.95
92135,1,3.05,78.52,25.79,0.79,0.42,6.66
554584,1,2.95,75.44,24.44,1.48,0.36,6.10
887889,1,5.55,91.18,15.54,0.92,0.55,11.92
63817,1,4.85,134.75,27.61,1.20,0.29,9.19
858291,1,2.95,93.32,30.66,0.64,0.22,9.65
827631,1,2.35,69.73,28.86,0.84,0.63,8.42
276759,1,5.05,74.58,14.51,1.33,0.60,8.32
631664,1,7.55,148.85,19.40,1.10,0.40,6.99
165229,1,4.65,61.42,14.91,1.46,0.24,10.94
758087,1,6.85,188.05,26.68,1.38,0.18,5.57
700522,1,5.75,144.07,26.42,1.41,0.07,11.54
354525,1,6.25,174.67,27.98,1.33,2.08,8.40
67920,1,4.55,116.47,24.84,0.92,0.18,5.39
970698,1,4.55,142.58,30.62,1.32,0.37,9.44
445687,1,2.40,73.39,29.53,0.54,0.28,11.37
893121,1,4.45,115.05,25.10,1.43,0.22,9.67
677919,1,4.35,125.33,28.16,0.33,0.48,7.05
778383,1,6.75,135.53,20.24,1.19,0.49,7.81
759899,1,6.75,171.49,25.21,0.69,0.20,6.24
194638,1,3.60,104.60,28.21,0.97,0.82,8.73
363906,1,6.85,159.15,23.01,1.10,0.76,7.93
466721,1,2.95,55.72,18.40,1.33,0.33,9.61
497791,1,3.90,108.96,27.04,0.92,0.27,6.81
43803,1,4.25,96.71,22.18,1.32,0.45,10.69
546569,1,4.90,104.49,20.95,1.43,0.50,9.77
154289,1,8.00,117.95,19.89,1.01,0.43,11.22
743375,1,2.95,90.99,29.99,0.56,0.19,8.84
683048,1,3.50,57.20,17.88,1.27,0.36,9.51
922527,1,3.30,95.16,27.68,1.10,0.34,6.72
744762,1,4.90,130.07,26.38,0.64,0.09,8.23
366642,1,2.60,79.91,29.80,0.71,0.34,11.34
967509,1,6.10,163.65,26.06,1.18,0.17,5.03
410850,1,5.25,93.41,18.38,1.26,1.27,10.95
325825,1,5.15,122.26,23.24,1.29,0.87,9.32
905535,1,5.80,105.52,17.97,1.35,0.22,8.86
370459,1,4.55,107.82,23.24,0.99,0.55,7.09
76343,1,3.35,86.81,25.25,0.91,0.13,11.98
469555,1,3.45,83.50,23.63,1.28,0.18,6.50
795679,1,1.75,55.70,29.64,0.60,0.55,9.83
189471,1,5.60,140.54,24.61,1.31,0.33,7.89
462940,1,3.20,88.43,26.88,0.62,0.61,5.70
129921,1,4.20,137.69,32.13,0.46,0.22,11.03
686478,1,2.85,83.24,27.86,1.31,0.81,8.27
475704,1,4.00,84.48,20.90,1.46,0.60,9.50
330196,1,4.75,107.91,22.14,1.33,0.27,5.22
226909,1,6.15,164.79,26.38,0.80,0.96,6.04
564499,1,3.45,95.56,26.64,1.11,1.05,5.83
669813,1,3.55,113.24,30.77,0.84,0.16,9.80
940306,1,2.25,61.68,25.83,1.12,0.60,5.50
437151,1,2.55,79.75,30.45,0.68,0.31,9.22
160688,1,4.50,129.59,27.97,1.13,0.12,6.77
832678,1,5.80,152.70,25.81,1.16,0.69,5.82
629764,1,3.25,77.34,26.58,1.44,1.56,8.85
700265,1,2.55,71.62,27.11,0.97,0.45,8.23
97226,1,5.60,118.21,20.63,1.22,0.86,9.44
312366,1,4.40,124.32,27.45,1.38,0.14,6.93
767843,1,6.20,171.06,27.11,0.88,0.49,8.08
832259,1,1.80,50.25,26.49,1.17,0.59,5.47
435216,1,2.70,69.40,24.93,1.18,0.69,8.96
804764,1,4.00,127.63,31.50,0.56,0.41,10.77
841691,1,4.15,111.43,26.12,1.40,0.41,6.53
387478,1,2.75,72.08,25.41,0.97,0.54,10.73
898087,1,4.70,136.24,28.12,0.53,0.61,8.07
288328,1,4.35,117.20,26.30,1.34,0.93,5.11
239557,1,5.30,139.20,25.79,0.65,0.04,5.34
682495,1,6.10,193.31,31.41,0.46,0.15,10.85
636761,1,5.25,130.75,24.57,0.80,0.20,7.46
139752,1,6.25,96.55,15.52,0.76,0.02,6.44
832736,1,6.45,170.76,25.87,1.36,0.56,6.66
199908,1,4.55,130.40,28.00,0.85,0.26,6.78
804899,1,3.25,90.76,27.36,0.77,0.16,10.76
7362,1,6.30,146.48,24.86,1.02,0.55,6.77
796842,1,4.55,79.63,17.17,1.37,0.40,5.81
786924,1,5.20,164.90,30.76,1.28,1.03,9.98
780364,1,4.85,85.21,17.80,1.25,0.42,11.55
664850,1,2.85,73.55,24.80,1.10,0.34,9.45
471567,1,4.25,129.49,30.24,0.99,0.63,11.62
705165,1,3.95,130.86,32.31,1.19,0.59,11.78
277121,1,4.30,130.23,29.53,0.88,0.19,10.00
780729,1,2.25,66.88,28.58,0.61,0.13,7.53
555646,1,2.05,57.62,26.59,1.07,0.41,6.53
458915,1,4.90,150.56,30.13,0.60,0.31,9.35
505606,1,2.55,71.38,26.79,1.35,0.10,9.29
568741,1,5.90,176.16,29.24,0.62,0.12,9.13
37262,1,5.80,95.54,16.33,1.18,0.33,11.46
139796,1,5.45,106.11,19.68,1.22,1.56,8.85
245481,1,2.30,65.76,26.98,1.43,0.43,6.76
114530,1,3.90,117.58,29.15,1.49,0.27,11.16
439613,1,3.00,87.83,28.05,1.00,0.48,9.23
668402,1,4.60,86.82,18.77,1.03,1.49,5.52
654428,1,5.85,141.96,23.99,1.19,0.04,10.79
471096,1,5.95,77.24,13.69,1.05,0.09,8.75
855080,1,4.00,99.02,24.30,1.46,0.34,5.75
565236,1,6.05,167.30,27.23,1.25,0.69,6.05
79197,1,4.05,109.45,26.48,0.54,0.45,5.22
764998,1,6.30,104.00,16.60,1.27,0.27,10.65
574600,1,6.65,174.47,25.72,1.48,0.47,5.02
634718,1,4.80,118.04,24.42,1.16,0.24,7.54
565373,1,3.50,98.01,27.13,0.69,0.30,7.24
553579,1,5.55,150.42,26.27,1.41,0.28,5.17
90566,1,5.15,104.26,19.99,1.15,0.49,8.53
559207,1,3.55,106.70,29.36,0.88,0.57,10.03
794912,1,2.15,62.68,27.93,0.39,0.11,7.07
303950,1,1.85,53.48,25.99,1.12,0.75,8.08
602838,1,2.45,54.19,21.64,0.78,0.07,7.52
30817,1,5.20,113.46,21.58,1.23,0.43,11.99
347499,1,3.40,67.36,19.34,1.04,0.42,8.29
436717,1,4.70,111.65,23.32,1.05,0.33,6.13
982738,1,5.05,137.33,28.54,1.09,0.75,10.97
214584,1,6.10,92.47,16.22,1.47,0.20,11.79
276548,1,3.50,94.91,26.43,0.46,0.11,7.22
408528,1,4.45,78.54,17.29,1.02,0.21,5.31
992665,1,4.20,70.64,16.52,1.31,0.48,8.92
853403,1,5.95,169.46,27.97,1.14,0.45,9.07
34692,1,5.00,131.65,26.06,0.94,0.60,8.86
233939,1,5.15,171.57,32.23,1.45,0.41,11.64
821674,1,5.40,146.22,26.98,1.01,1.26,9.66
58302,1,3.65,71.81,21.17,1.22,3.41,10.98
