seed,hit,time_to_intercept,initial_sep,closing_vel_avg,min_sep,final_zem,target_speed
89250,1,4.45,115.16,25.39,0.86,0.06,5.24
773956,1,5.65,183.24,32.15,0.16,0.03,11.01
654571,1,2.95,90.06,29.94,0.27,0.05,9.84
438878,1,3.90,98.94,24.91,0.55,0.10,7.91
433015,1,5.10,148.53,28.77,0.37,0.03,7.44
858597,1,4.85,154.81,31.55,0.22,0.03,10.13
85945,1,4.10,88.80,21.10,1.17,0.12,5.59
697368,1,4.70,154.51,32.36,0.76,0.01,10.82
201469,1,4.50,126.11,27.59,0.59,0.10,8.94
94177,1,5.15,162.39,31.05,0.93,0.11,11.13
526478,1,4.70,109.48,22.80,0.30,0.03,6.77
975622,1,5.85,160.65,27.20,0.21,0.04,6.71
735752,1,4.00,121.84,29.85,0.94,0.15,11.61
761139,1,4.05,107.36,26.08,0.52,0.14,10.77
717477,1,7.05,139.14,19.49,0.90,0.15,9.52
786064,1,2.75,83.23,29.62,0.29,0.02,8.30
513226,1,3.15,97.83,30.11,1.47,0.08,9.16
128113,1,5.80,164.95,28.07,0.75,0.07,7.51
839748,1,5.55,147.55,26.19,0.89,0.13,10.04
450385,1,6.40,178.39,27.49,1.06,0.10,7.70
500351,1,4.55,83.82,17.88,1.49,0.18,8.22
370798,1,3.75,126.38,33.01,0.91,0.06,11.90
182549,1,6.90,196.73,28.26,0.28,0.01,6.66
926764,1,6.05,82.14,13.25,1.33,0.82,11.26
781567,1,4.25,99.78,22.96,1.00,0.19,9.80
643865,1,2.30,51.75,21.36,1.49,0.17,7.14
402414,1,3.30,104.72,30.82,1.44,0.04,9.57
822761,1,3.65,74.89,19.88,1.25,0.21,9.39
545429,1,6.95,169.84,24.18,0.59,0.12,7.89
443414,1,2.10,50.37,22.90,1.10,0.12,6.25
450459,1,6.95,149.34,21.23,0.70,0.14,8.56
227238,1,2.95,81.86,27.19,0.28,0.02,5.95
92135,1,3.10,78.52,24.74,0.57,0.08,6.66
554584,1,3.00,75.44,24.45,0.85,0.09,6.10
887889,1,5.50,91.18,16.07,1.30,0.35,11.92
63817,1,4.95,134.75,26.65,1.44,0.18,9.19
858291,1,2.95,93.32,31.12,0.10,0.02,9.65
827631,1,2.35,69.73,28.92,0.31,0.04,8.42
276759,1,5.20,74.58,14.03,0.83,0.07,8.32
631664,1,7.70,148.85,19.10,0.76,0.11,6.99
165229,1,4.10,61.42,14.46,1.24,0.20,10.94
758087,1,6.85,188.05,27.14,0.78,0.02,5.57
700522,1,5.35,144.07,26.47,1.14,0.24,11.54
354525,1,6.00,174.67,28.83,0.30,0.06,8.40
67920,1,4.60,116.47,24.88,0.76,0.07,5.39
970698,1,4.55,142.58,30.80,0.88,0.04,9.44
445687,1,2.40,73.39,29.68,0.71,0.13,11.37
893121,1,4.60,115.05,24.52,0.99,0.18,9.67
