seed,hit,time_to_intercept,initial_sep,closing_vel_avg,min_sep,final_zem,target_speed
89250,0,30.00,115.16,6.42,1.73,34.97,5.24
773956,0,30.00,183.24,9.87,1.63,33.39,11.01
654571,0,30.00,90.06,5.96,1.98,36.45,9.84
438878,0,30.00,98.94,6.87,1.95,8.46,7.91
433015,0,30.00,148.53,9.02,1.80,32.75,7.44
858597,0,30.00,154.81,9.35,1.61,51.72,10.13
85945,0,30.00,88.80,5.65,2.01,28.92,5.59
697368,0,30.00,154.51,8.38,1.75,30.37,10.82
201469,0,30.00,126.11,7.12,1.66,31.78,8.94
94177,0,30.00,162.39,9.20,1.84,34.47,11.13
526478,0,30.00,109.48,6.52,1.71,32.58,6.77
975622,0,30.00,160.65,9.03,1.80,43.90,6.71
735752,0,30.00,121.84,7.20,1.57,33.39,11.61
761139,0,30.00,107.36,6.39,1.85,34.35,10.77
717477,0,30.00,139.14,7.15,1.93,30.31,9.52
786064,0,30.00,83.23,5.78,1.63,37.09,8.30
513226,0,30.00,97.83,6.37,1.78,34.90,9.16
128113,0,30.00,164.95,8.79,1.81,30.71,7.51
839748,0,30.00,147.55,8.06,1.63,32.87,10.04
450385,0,30.00,178.39,9.53,1.74,30.40,7.70
500351,0,30.00,83.82,5.39,2.12,32.61,8.22
370798,0,30.00,126.38,7.28,1.93,29.16,11.90
182549,0,30.00,196.73,9.97,1.60,31.10,6.66
926764,0,30.00,82.14,5.07,1.56,31.40,11.26
781567,0,30.00,99.78,7.01,1.76,48.70,9.80
643865,0,30.00,51.75,4.48,1.63,28.32,7.14
402414,0,30.00,104.72,6.00,1.92,30.71,9.57
822761,0,30.00,74.89,5.20,1.84,32.86,9.39
545429,0,30.00,169.84,8.41,1.63,32.85,7.89
443414,0,30.00,50.37,4.01,1.71,33.27,6.25
450459,0,30.00,149.34,8.01,1.62,33.59,8.56
227238,0,30.00,81.86,6.46,1.75,50.29,5.95
92135,0,30.00,78.52,5.02,2.15,36.81,6.66
554584,0,30.00,75.44,5.82,1.61,28.34,6.10
887889,0,30.00,91.18,6.43,1.62,28.92,11.92
63817,0,30.00,134.75,7.87,1.57,29.30,9.19
858291,0,30.00,93.32,6.72,1.80,33.34,9.65
