seed,hit,time_to_intercept,initial_sep,closing_vel_avg,min_sep,final_zem,target_speed
89250,1,5.70,115.16,20.98,0.85,1.12,5.24
773956,1,7.15,183.24,25.76,1.36,1.05,11.01
654571,1,4.45,90.06,21.13,0.06,0.60,9.84
438878,1,5.15,98.94,20.07,1.29,1.70,7.91
433015,1,6.50,148.53,25.58,1.44,0.64,7.44
858597,1,6.30,154.81,25.39,0.58,0.43,10.13
85945,1,5.45,88.80,16.82,1.50,0.25,5.59
697368,1,6.40,154.51,24.98,0.56,0.55,10.82
201469,1,5.80,126.11,23.90,1.24,1.18,8.94
94177,1,6.55,162.39,26.92,0.54,0.38,11.13
526478,1,5.30,109.48,22.54,0.96,0.81,6.77
975622,1,7.20,160.65,23.44,0.67,0.11,6.71
735752,1,5.70,121.84,22.26,1.11,0.39,11.61
761139,1,6.00,107.36,20.74,1.24,0.48,10.77
717477,1,8.30,139.14,17.59,1.21,1.14,9.52
786064,1,4.30,83.23,21.32,0.38,0.54,8.30
513226,1,4.60,97.83,21.82,0.39,0.24,9.16
128113,1,7.20,164.95,24.39,0.54,0.10,7.51
839748,1,6.85,147.55,22.03,1.39,0.27,10.04
450385,1,7.80,178.39,23.05,1.09,0.33,7.70
500351,1,5.25,83.82,16.11,1.08,0.18,8.22
370798,1,5.40,126.38,25.60,0.83,0.30,11.90
182549,1,8.40,196.73,25.14,1.19,0.78,6.66
926764,1,6.80,82.14,14.69,1.44,0.40,11.26
781567,1,5.20,99.78,19.39,1.28,0.46,9.80
643865,1,3.30,51.75,18.53,0.26,0.32,7.14
402414,1,4.80,104.72,22.17,0.79,0.20,9.57
822761,1,4.45,74.89,17.54,0.42,0.38,9.39
545429,1,8.10,169.84,22.12,1.14,0.22,7.89
443414,1,3.20,50.37,15.78,1.29,0.38,6.25
450459,1,8.00,149.34,21.30,1.36,1.80,8.56
227238,1,4.35,81.86,20.49,0.67,0.68,5.95
92135,1,4.35,78.52,18.78,0.31,0.14,6.66
554584,1,4.25,75.44,18.03,0.21,0.43,6.10
887889,1,7.85,91.18,12.97,1.18,0.48,11.92
63817,1,6.15,134.75,22.37,1.22,0.83,9.19
858291,1,4.45,93.32,22.30,0.59,0.15,9.65
827631,1,3.75,69.73,19.09,1.13,0.45,8.42
276759,1,5.65,74.58,13.21,1.15,0.55,8.32
631664,1,8.80,148.85,17.88,1.04,0.54,6.99
165229,1,5.55,61.42,13.39,1.34,0.17,10.94
758087,1,8.25,188.05,23.87,0.42,0.13,5.57
700522,1,6.35,144.07,25.59,0.87,0.27,11.54
354525,1,7.35,174.67,25.20,0.80,0.59,8.40
67920,1,6.10,116.47,19.15,0.59,0.31,5.39
970698,1,6.05,142.58,23.85,1.36,0.71,9.44
445687,1,3.90,73.39,20.34,1.45,1.09,11.37
893121,1,5.70,115.05,20.49,0.67,1.17,9.67
677919,1,5.80,125.33,21.98,1.33,0.97,7.05
778383,1,7.30,135.53,19.78,1.44,0.40,7.81
759899,1,8.00,171.49,22.87,0.93,0.48,6.24
194638,1,5.00,104.60,21.79,0.77,0.23,8.73
363906,1,7.95,159.15,20.94,1.40,0.85,7.93
466721,1,3.95,55.72,15.30,1.50,0.36,9.61
497791,1,5.20,108.96,21.53,0.80,0.11,6.81
43803,1,5.25,96.71,18.43,1.19,0.71,10.69
546569,1,6.25,104.49,17.93,1.17,0.39,9.77
154289,1,6.00,117.95,19.77,0.58,0.37,11.22
743375,1,4.40,90.99,23.41,1.26,0.53,8.84
683048,1,4.30,57.20,15.81,1.07,0.19,9.51
922527,1,4.80,95.16,20.78,0.84,0.26,6.72
