seed,hit,time_to_intercept,initial_sep,closing_vel_avg,min_sep,final_zem,target_speed
89250,0,30.00,115.16,15.47,1.91,5.15,5.24
773956,0,30.00,183.24,16.89,2.17,2.79,11.01
654571,1,10.45,90.06,14.12,1.49,0.27,9.84
438878,0,30.00,98.94,13.61,1.59,2.45,7.91
433015,0,30.00,148.53,15.60,1.51,16.42,7.44
858597,0,30.00,154.81,15.73,2.09,16.68,10.13
85945,0,30.00,88.80,13.66,1.58,0.98,5.59
697368,0,30.00,154.51,16.53,2.09,8.82,10.82
201469,1,10.90,126.11,16.92,1.04,0.48,8.94
94177,0,30.00,162.39,15.71,1.86,34.85,11.13
526478,0,30.00,109.48,15.66,2.13,22.21,6.77
975622,1,14.85,160.65,16.85,1.20,0.04,6.71
735752,0,30.00,121.84,16.45,1.53,58.39,11.61
761139,0,30.00,107.36,13.34,1.63,5.36,10.77
717477,0,30.00,139.14,13.49,1.87,15.41,9.52
786064,0,30.00,83.23,14.94,2.04,16.92,8.30
513226,0,30.00,97.83,16.40,2.15,52.74,9.16
128113,0,30.00,164.95,17.12,2.02,25.83,7.51
839748,0,30.00,147.55,16.58,2.20,37.16,10.04
450385,0,30.00,178.39,16.99,1.82,18.98,7.70
500351,1,20.35,83.82,11.98,1.35,0.25,8.22
370798,0,30.00,126.38,15.85,1.79,0.07,11.90
182549,0,30.00,196.73,17.30,2.21,49.26,6.66
926764,0,30.00,82.14,14.12,2.29,52.04,11.26
781567,1,20.80,99.78,14.79,1.12,0.98,9.80
643865,0,30.00,51.75,12.79,2.35,3.59,7.14
402414,1,8.45,104.72,17.08,1.25,0.50,9.57
822761,0,30.00,74.89,12.79,2.38,28.90,9.39
545429,0,30.00,169.84,17.11,2.01,18.72,7.89
443414,1,7.50,50.37,13.33,1.38,0.90,6.25
450459,0,30.00,149.34,14.93,1.97,0.84,8.56
227238,1,18.30,81.86,15.77,1.33,0.44,5.95
92135,0,30.00,78.52,14.76,1.86,1.21,6.66
554584,0,30.00,75.44,13.18,1.62,22.91,6.10
887889,0,30.00,91.18,14.34,1.90,2.91,11.92
63817,1,26.70,134.75,16.40,1.22,0.29,9.19
858291,0,30.00,93.32,12.22,2.26,1.83,9.65
827631,0,30.00,69.73,14.13,2.13,3.79,8.42
276759,0,30.00,74.58,14.13,2.18,2.29,8.32
631664,0,30.00,148.85,14.41,1.84,13.89,6.99
165229,0,30.00,61.42,13.24,1.72,42.09,10.94
758087,0,30.00,188.05,18.12,1.87,95.75,5.57
700522,0,30.00,144.07,16.20,2.24,13.30,11.54
354525,0,30.00,174.67,17.34,1.94,0.25,8.40
67920,0,30.00,116.47,15.59,2.34,1.41,5.39
970698,0,30.00,142.58,15.92,2.30,12.17,9.44
445687,0,30.00,73.39,14.29,1.84,1.68,11.37
893121,0,30.00,115.05,14.53,1.58,5.11,9.67
677919,0,30.00,125.33,13.58,1.98,23.77,7.05
778383,0,30.00,135.53,13.96,1.56,64.97,7.81
759899,0,30.00,171.49,15.50,1.98,2.45,6.24
194638,0,30.00,104.60,15.77,2.25,2.36,8.73
363906,0,30.00,159.15,15.78,2.31,17.29,7.93
466721,0,30.00,55.72,13.25,1.85,1.67,9.61
497791,1,10.25,108.96,15.63,1.48,2.24,6.81
43803,0,30.00,96.71,13.52,2.32,10.38,10.69
546569,0,30.00,104.49,15.23,1.66,24.87,9.77
154289,0,30.00,117.95,15.28,2.29,1.76,11.22
743375,0,30.00,90.99,13.84,2.09,31.49,8.84
683048,0,30.00,57.20,13.59,1.60,33.78,9.51
922527,0,30.00,95.16,14.40,2.14,1.18,6.72
744762,0,30.00,130.07,16.14,1.99,6.78,8.23
366642,0,30.00,79.91,13.48,1.84,15.43,11.34
967509,0,30.00,163.65,16.21,2.19,4.79,5.03
410850,0,30.00,93.41,14.57,2.03,53.91,10.95
325825,0,30.00,122.26,15.94,2.00,3.20,9.32
905535,0,30.00,105.52,14.89,1.82,0.35,8.86
370459,0,30.00,107.82,17.09,1.76,16.72,7.09
76343,0,30.00,86.81,14.48,1.81,51.75,11.98
469555,0,30.00,83.50,13.84,2.22,3.55,6.50
795679,0,30.00,55.70,12.37,1.67,0.10,9.83
189471,0,30.00,140.54,15.65,1.72,4.14,7.89
462940,0,30.00,88.43,13.62,1.54,16.01,5.70
129921,0,30.00,137.69,16.93,1.54,1.54,11.03
686478,0,30.00,83.24,14.14,1.77,0.12,8.27
475704,0,30.00,84.48,14.19,1.80,5.58,9.50
330196,0,30.00,107.91,15.00,1.68,51.14,5.22
226909,0,30.00,164.79,15.44,2.15,1.10,6.04
564499,0,30.00,95.56,11.81,1.54,8.37,5.83
669813,0,30.00,113.24,15.57,1.90,7.11,9.80
940306,0,30.00,61.68,14.08,1.70,44.99,5.50
437151,0,30.00,79.75,14.92,1.84,0.57,9.22
160688,0,30.00,129.59,16.74,1.74,12.00,6.77
832678,0,30.00,152.70,16.31,1.83,20.34,5.82
629764,0,30.00,77.34,14.01,1.58,7.68,8.85
700265,0,30.00,71.62,13.29,1.81,29.78,8.23
97226,0,30.00,118.21,13.41,1.93,38.64,9.44
312366,0,30.00,124.32,15.06,1.74,37.96,6.93
767843,0,30.00,171.06,16.26,2.26,15.02,8.08
832259,0,30.00,50.25,13.86,1.64,42.82,5.47
435216,0,30.00,69.40,14.09,2.02,26.47,8.96
804764,0,30.00,127.63,17.32,2.04,4.44,10.77
841691,0,30.00,111.43,14.98,1.57,1.71,6.53
387478,0,30.00,72.08,14.84,2.13,26.40,10.73
898087,0,30.00,136.24,15.17,2.14,29.84,8.07
288328,1,8.80,117.20,18.58,1.44,0.39,5.11
239557,0,30.00,139.20,16.51,2.06,2.56,5.34
682495,0,30.00,193.31,17.85,1.57,1.86,10.85
636761,1,12.15,130.75,16.27,1.45,0.43,7.46
139752,0,30.00,96.55,13.46,1.51,6.85,6.44
832736,0,30.00,170.76,16.93,1.85,37.46,6.66
199908,0,30.00,130.40,15.70,1.81,0.07,6.78
804899,0,30.00,90.76,16.09,1.62,36.15,10.76
7362,0,30.00,146.48,16.69,1.86,4.92,6.77
796842,0,30.00,79.63,13.89,1.67,20.18,5.81
786924,0,30.00,164.90,18.02,1.93,2.74,9.98
780364,0,30.00,85.21,12.82,2.03,2.66,11.55
664850,0,30.00,73.55,14.20,2.31,43.81,9.45
471567,0,30.00,129.49,15.65,2.02,1.05,11.62
705165,0,30.00,130.86,16.72,2.05,4.94,11.78
277121,0,30.00,130.23,14.97,1.88,1.82,10.00
780729,0,30.00,66.88,14.13,2.19,29.35,7.53
555646,0,30.00,57.62,15.09,1.92,2.80,6.53
458915,0,30.00,150.56,16.93,2.03,5.70,9.35
505606,0,30.00,71.38,13.94,1.89,15.09,9.29
568741,0,30.00,176.16,15.94,1.67,2.71,9.13
37262,0,30.00,95.54,14.52,2.08,19.01,11.46
139796,0,30.00,106.11,13.81,2.26,19.04,8.85
245481,0,30.00,65.76,14.40,1.80,2.82,6.76
114530,0,30.00,117.58,15.21,1.68,0.23,11.16
439613,0,30.00,87.83,15.73,1.78,2.31,9.23
668402,0,30.00,86.82,13.61,1.70,6.83,5.52
654428,1,10.30,141.96,18.80,1.50,0.65,10.79
471096,0,30.00,77.24,13.53,2.14,25.79,8.75
855080,1,14.20,99.02,13.97,1.45,0.46,5.75
565236,0,30.00,167.30,16.50,1.76,0.28,6.05
79197,0,30.00,109.45,14.92,1.80,34.14,5.22
764998,0,30.00,104.00,13.68,1.88,0.20,10.65
574600,0,30.00,174.47,16.16,2.15,0.79,5.02
634718,0,30.00,118.04,15.89,2.06,45.60,7.54
565373,0,30.00,98.01,14.92,2.15,40.31,7.24
553579,0,30.00,150.42,14.55,1.94,13.44,5.17
90566,0,30.00,104.26,13.89,2.17,2.12,8.53
559207,0,30.00,106.70,14.71,2.02,0.97,10.03
794912,0,30.00,62.68,14.24,2.02,1.82,7.07
303950,0,30.00,53.48,15.26,1.99,3.09,8.08
602838,0,30.00,54.19,13.54,2.23,16.53,7.52
30817,0,30.00,113.46,14.68,2.30,27.55,11.99
