seed,hit,time_to_intercept,initial_sep,closing_vel_avg,min_sep,final_zem,target_speed
89250,0,30.00,115.16,5.23,1.62,10.90,5.24
773956,1,17.85,183.24,10.37,1.33,0.87,11.01
654571,0,30.00,90.06,4.15,1.51,10.46,9.84
438878,0,30.00,98.94,4.59,1.62,11.16,7.91
433015,1,18.35,148.53,8.15,1.32,1.41,7.44
858597,0,30.00,154.81,6.89,1.78,12.27,10.13
85945,1,17.60,88.80,5.02,1.32,0.67,5.59
697368,0,30.00,154.51,6.88,1.57,10.93,10.82
201469,0,30.00,126.11,5.78,1.65,10.36,8.94
94177,1,17.95,162.39,9.14,1.20,0.62,11.13
526478,1,18.15,109.48,6.26,1.44,1.64,6.77
975622,0,30.00,160.65,6.84,1.71,11.13,6.71
735752,1,16.15,121.84,7.58,1.41,1.70,11.61
761139,0,30.00,107.36,4.91,2.04,9.90,10.77
717477,1,19.45,139.14,7.18,1.26,1.24,9.52
786064,1,15.40,83.23,5.43,1.38,1.46,8.30
513226,0,30.00,97.83,4.48,1.95,9.24,9.16
128113,0,30.00,164.95,7.30,1.56,11.20,7.51
839748,0,30.00,147.55,6.44,1.51,10.29,10.04
450385,0,30.00,178.39,7.67,1.79,11.19,7.70
500351,1,17.20,83.82,4.79,1.46,1.61,8.22
370798,1,16.05,126.38,7.96,1.43,1.08,11.90
182549,0,30.00,196.73,8.19,1.87,11.86,6.66
926764,0,30.00,82.14,3.79,1.68,9.75,11.26
781567,1,16.55,99.78,6.04,1.50,1.43,9.80
643865,1,15.20,51.75,3.30,1.32,1.65,7.14
402414,1,16.20,104.72,6.48,1.43,1.76,9.57
822761,0,30.00,74.89,3.58,1.56,10.20,9.39
545429,0,30.00,169.84,7.19,1.61,10.33,7.89
443414,0,30.00,50.37,2.73,1.71,11.69,6.25
450459,1,18.80,149.34,7.96,1.29,0.98,8.56
227238,0,30.00,81.86,3.86,1.65,10.67,5.95
92135,1,15.60,78.52,4.98,1.31,0.40,6.66
554584,1,17.15,75.44,4.44,1.16,1.10,6.10
887889,0,30.00,91.18,4.27,1.60,11.82,11.92
63817,0,30.00,134.75,6.07,1.80,10.88,9.19
858291,0,30.00,93.32,4.45,1.58,12.15,9.65
827631,1,14.80,69.73,4.70,1.25,0.54,8.42
276759,0,30.00,74.58,3.46,1.71,11.22,8.32
631664,1,19.40,148.85,7.66,1.24,0.75,6.99
165229,1,14.10,61.42,4.24,1.43,0.63,10.94
758087,0,30.00,188.05,7.75,2.30,11.12,5.57
700522,1,18.20,144.07,8.11,1.42,1.14,11.54
354525,0,30.00,174.67,7.44,1.90,11.22,8.40
67920,1,17.70,116.47,6.58,1.45,0.91,5.39
970698,0,30.00,142.58,6.42,1.74,12.11,9.44
445687,1,15.25,73.39,4.81,1.33,1.26,11.37
893121,0,30.00,115.05,5.24,1.53,10.18,9.67
677919,0,30.00,125.33,5.50,1.88,10.96,7.05
778383,0,30.00,135.53,5.87,1.78,12.72,7.81
759899,1,19.35,171.49,8.91,1.49,1.78,6.24
194638,1,16.45,104.60,6.35,1.38,0.53,8.73
363906,0,30.00,159.15,6.80,2.25,11.26,7.93
466721,1,14.00,55.72,3.89,1.35,0.78,9.61
497791,1,17.10,108.96,6.43,1.33,1.11,6.81
43803,0,30.00,96.71,4.50,2.10,9.20,10.69
546569,0,30.00,104.49,4.87,1.99,11.81,9.77
154289,1,17.10,117.95,6.97,1.37,1.94,11.22
743375,1,15.60,90.99,5.82,1.42,1.10,8.84
683048,0,30.00,57.20,2.95,1.75,13.42,9.51
922527,1,16.70,95.16,5.72,1.39,1.18,6.72
744762,1,17.65,130.07,7.39,1.40,0.77,8.23
366642,0,30.00,79.91,4.08,1.69,11.45,11.34
967509,0,30.00,163.65,6.90,1.88,12.81,5.03
410850,0,30.00,93.41,4.33,1.59,12.56,10.95
325825,0,30.00,122.26,5.33,2.27,10.42,9.32
905535,0,30.00,105.52,4.89,1.53,13.00,8.86
370459,1,17.15,107.82,6.36,1.48,2.03,7.09
76343,0,30.00,86.81,4.28,1.72,10.35,11.98
469555,0,30.00,83.50,3.93,2.05,10.66,6.50
795679,0,30.00,55.70,2.87,1.78,9.78,9.83
189471,1,18.45,140.54,7.76,1.50,1.71,7.89
462940,0,30.00,88.43,4.28,1.89,11.69,5.70
129921,0,30.00,137.69,6.15,1.62,12.66,11.03
686478,0,30.00,83.24,4.00,1.99,12.35,8.27
475704,0,30.00,84.48,3.91,2.04,10.60,9.50
330196,1,17.70,107.91,6.08,1.47,1.23,5.22
226909,1,19.30,164.79,8.59,1.39,0.97,6.04
564499,1,16.45,95.56,5.81,1.36,1.41,5.83
669813,0,30.00,113.24,5.27,2.11,11.00,9.80
940306,0,30.00,61.68,3.09,1.83,11.13,5.50
437151,0,30.00,79.75,3.72,1.72,10.33,9.22
160688,0,30.00,129.59,5.80,1.66,10.41,6.77
832678,0,30.00,152.70,6.65,1.55,12.62,5.82
629764,1,15.40,77.34,5.06,1.37,1.81,8.85
700265,0,30.00,71.62,3.56,2.60,13.30,8.23
97226,1,18.35,118.21,6.54,1.48,1.43,9.44
312366,0,30.00,124.32,5.54,2.43,10.11,6.93
767843,1,18.80,171.06,9.12,1.21,0.11,8.08
832259,0,30.00,50.25,2.59,1.60,10.90,5.47
435216,0,30.00,69.40,3.37,1.55,9.18,8.96
804764,1,16.15,127.63,7.96,1.50,1.92,10.77
841691,1,18.40,111.43,6.26,1.20,1.33,6.53
387478,1,14.15,72.08,5.07,1.45,1.16,10.73
898087,0,30.00,136.24,5.96,2.02,10.90,8.07
288328,1,18.10,117.20,6.44,1.45,1.01,5.11
