seed,hit,time_to_intercept,initial_sep,closing_vel_avg,min_sep,final_zem,target_speed
89250,1,7.60,115.16,17.92,0.96,0.57,5.24
773956,1,7.60,183.24,23.86,1.28,0.63,11.01
654571,1,4.45,90.06,19.76,1.27,0.40,9.84
438878,1,7.60,98.94,16.35,0.97,0.33,7.91
433015,1,6.55,148.53,22.78,0.94,0.68,7.44
858597,1,8.40,154.81,24.07,1.18,1.11,10.13
85945,1,8.30,88.80,12.31,1.25,1.07,5.59
697368,1,8.50,154.51,21.30,0.91,0.61,10.82
201469,1,5.75,126.11,23.61,1.04,0.54,8.94
94177,1,9.05,162.39,20.48,0.75,0.63,11.13
526478,1,10.15,109.48,13.98,0.50,0.19,6.77
975622,1,7.65,160.65,22.82,0.44,0.09,6.71
735752,1,7.80,121.84,17.08,1.03,0.79,11.61
761139,1,7.05,107.36,17.82,0.73,0.18,10.77
717477,1,7.25,139.14,18.93,0.84,0.18,9.52
786064,1,2.90,83.23,28.15,0.38,0.03,8.30
513226,1,6.00,97.83,17.55,1.17,0.66,9.16
128113,1,10.10,164.95,18.37,1.36,1.65,7.51
839748,1,8.45,147.55,20.53,0.60,0.31,10.04
450385,1,7.45,178.39,24.59,1.42,1.38,7.70
500351,1,3.65,83.82,22.68,0.82,0.29,8.22
370798,1,5.55,126.38,23.94,0.94,0.83,11.90
182549,1,10.50,196.73,18.41,1.24,0.51,6.66
926764,1,3.40,82.14,23.92,1.39,0.43,11.26
781567,1,6.45,99.78,20.15,0.63,0.13,9.80
643865,1,2.05,51.75,24.79,0.71,0.11,7.14
402414,1,5.10,104.72,20.97,1.38,0.33,9.57
822761,1,6.15,74.89,13.07,0.38,0.07,9.39
545429,1,9.50,169.84,18.28,0.82,0.44,7.89
443414,1,2.80,50.37,17.17,1.17,0.32,6.25
450459,1,6.55,149.34,22.45,1.13,0.40,8.56
227238,1,5.75,81.86,17.64,0.60,1.07,5.95
92135,1,5.65,78.52,13.53,0.88,0.32,6.66
554584,1,7.60,75.44,11.70,1.21,0.39,6.10
887889,1,6.55,91.18,13.67,0.90,0.54,11.92
63817,1,8.25,134.75,17.83,1.10,1.10,9.19
858291,1,9.95,93.32,11.67,1.29,0.08,9.65
827631,1,3.05,69.73,23.32,0.95,0.17,8.42
276759,1,4.10,74.58,17.57,1.45,0.29,8.32
631664,1,8.75,148.85,17.59,0.56,0.27,6.99
165229,1,3.75,61.42,19.17,1.48,0.36,10.94
758087,1,8.65,188.05,21.44,0.97,0.40,5.57
700522,1,7.80,144.07,18.66,0.78,0.17,11.54
354525,1,7.35,174.67,23.48,1.00,0.37,8.40
67920,1,5.70,116.47,21.46,0.60,0.46,5.39
970698,1,5.95,142.58,24.69,1.06,0.34,9.44
445687,1,3.20,73.39,25.12,1.25,0.88,11.37
893121,1,8.50,115.05,18.59,1.02,0.83,9.67
677919,1,4.95,125.33,25.04,1.22,1.21,7.05
778383,1,12.50,135.53,15.47,1.09,0.84,7.81
759899,1,7.60,171.49,23.41,0.45,0.10,6.24
194638,1,8.90,104.60,15.61,0.64,0.95,8.73
363906,1,9.75,159.15,17.31,0.84,0.52,7.93
466721,1,5.55,55.72,11.15,1.24,1.86,9.61
497791,1,5.80,108.96,21.97,0.82,0.39,6.81
43803,1,5.20,96.71,18.14,0.98,0.21,10.69
546569,1,9.55,104.49,18.05,1.48,0.12,9.77
154289,1,7.75,117.95,17.44,0.84,0.09,11.22
743375,1,7.70,90.99,15.49,1.19,0.68,8.84
683048,1,3.30,57.20,16.62,0.95,0.19,9.51
922527,1,5.70,95.16,18.86,1.24,0.87,6.72
744762,1,7.75,130.07,18.35,1.39,0.43,8.23
366642,1,3.05,79.91,25.50,0.44,0.10,11.34
967509,1,7.60,163.65,25.03,1.44,0.30,5.03
410850,1,4.35,93.41,21.09,1.26,0.30,10.95
325825,1,5.75,122.26,20.77,1.32,0.38,9.32
905535,1,9.60,105.52,12.15,1.30,0.15,8.86
370459,1,7.20,107.82,19.66,1.33,0.46,7.09
76343,1,6.65,86.81,15.27,1.14,1.38,11.98
469555,1,4.30,83.50,18.87,1.17,0.31,6.50
795679,1,4.75,55.70,15.64,0.49,0.18,9.83
189471,1,7.85,140.54,18.95,1.06,0.62,7.89
462940,1,9.35,88.43,12.66,1.27,0.02,5.70
129921,1,6.90,137.69,22.45,0.37,0.29,11.03
686478,1,7.15,83.24,14.14,1.49,1.10,8.27
475704,1,5.55,84.48,14.78,1.39,0.66,9.50
330196,1,6.10,107.91,19.24,1.37,0.36,5.22
226909,1,6.90,164.79,23.43,1.07,0.38,6.04
564499,1,3.20,95.56,28.98,1.12,0.13,5.83
669813,1,6.10,113.24,23.27,0.79,0.30,9.80
940306,1,4.35,61.68,16.03,0.71,0.79,5.50
437151,1,3.40,79.75,28.65,1.44,1.24,9.22
160688,1,10.45,129.59,14.86,1.40,0.33,6.77
832678,1,7.95,152.70,19.58,0.60,0.14,5.82
629764,1,4.70,77.34,17.60,0.96,0.30,8.85
700265,1,5.65,71.62,18.51,1.45,0.31,8.23
97226,1,8.35,118.21,15.84,1.09,0.35,9.44
312366,1,4.85,124.32,27.88,1.22,0.42,6.93
767843,1,7.40,171.06,25.08,0.73,0.18,8.08
832259,1,4.75,50.25,16.47,1.38,0.84,5.47
435216,1,6.90,69.40,13.09,1.10,0.61,8.96
804764,1,8.30,127.63,16.69,0.49,0.14,10.77
841691,1,7.15,111.43,18.76,0.72,0.34,6.53
387478,1,3.20,72.08,21.96,0.53,0.22,10.73
898087,1,4.75,136.24,28.42,0.70,0.06,8.07
288328,1,6.00,117.20,22.72,1.42,0.43,5.11
239557,1,4.90,139.20,27.98,1.39,0.14,5.34
682495,1,7.35,193.31,27.53,1.44,0.18,10.85
636761,1,5.30,130.75,24.17,1.14,0.21,7.46
139752,1,5.20,96.55,18.19,0.94,0.15,6.44
832736,1,11.05,170.76,17.50,1.00,0.03,6.66
199908,1,4.95,130.40,28.90,1.39,0.54,6.78
804899,1,6.35,90.76,19.75,1.04,1.15,10.76
7362,1,6.40,146.48,22.59,0.82,0.32,6.77
796842,1,3.70,79.63,20.92,0.96,0.10,5.81
786924,1,7.60,164.90,24.24,0.65,0.63,9.98
780364,1,9.25,85.21,12.91,0.79,0.94,11.55
664850,1,2.90,73.55,24.87,0.63,0.20,9.45
471567,1,4.35,129.49,29.46,0.81,0.07,11.62
705165,1,5.70,130.86,25.81,1.40,0.48,11.78
277121,1,4.60,130.23,27.82,1.24,0.58,10.00
780729,1,5.10,66.88,14.10,1.50,0.45,7.53
555646,1,5.35,57.62,13.01,0.70,0.54,6.53
458915,1,6.00,150.56,24.78,1.13,0.04,9.35
505606,1,5.05,71.38,20.25,0.95,0.81,9.29
568741,1,8.70,176.16,25.02,1.22,0.51,9.13
37262,1,12.40,95.54,9.66,1.08,0.31,11.46
139796,1,5.60,106.11,23.02,0.58,0.16,8.85
245481,1,2.20,65.76,29.24,0.53,0.05,6.76
114530,1,5.10,117.58,27.08,1.49,0.40,11.16
439613,1,7.45,87.83,13.82,1.31,0.48,9.23
668402,1,4.80,86.82,17.72,0.77,0.17,5.52
654428,1,4.75,141.96,31.35,1.48,0.22,10.79
471096,1,8.00,77.24,13.02,0.82,0.37,8.75
855080,1,4.80,99.02,20.97,1.30,0.79,5.75
565236,1,9.50,167.30,17.62,0.46,0.44,6.05
79197,1,4.70,109.45,22.72,1.23,0.35,5.22
764998,1,7.85,104.00,14.70,1.46,0.37,10.65
574600,1,9.45,174.47,19.12,1.05,0.24,5.02
634718,1,4.45,118.04,25.89,1.32,0.27,7.54
565373,1,3.70,98.01,25.81,1.11,0.31,7.24
553579,1,12.10,150.42,14.97,1.43,0.78,5.17
90566,1,8.80,104.26,14.95,0.89,0.66,8.53
559207,1,4.70,106.70,22.07,1.47,1.13,10.03
794912,1,2.25,62.68,27.02,0.65,0.20,7.07
303950,1,3.55,53.48,14.58,1.21,0.12,8.08
602838,1,6.90,54.19,9.26,1.28,0.71,7.52
30817,1,6.70,113.46,16.99,1.21,0.32,11.99
347499,1,3.85,67.36,20.14,0.94,0.82,8.29
436717,1,4.60,111.65,23.76,1.19,0.35,6.13
982738,1,4.35,137.33,31.05,0.80,0.26,10.97
214584,1,7.40,92.47,12.20,0.80,0.29,11.79
276548,1,2.95,94.91,31.63,1.28,0.22,7.22
408528,1,3.15,78.54,24.47,0.67,0.15,5.31
992665,1,6.65,70.64,11.06,1.48,1.50,8.92
853403,1,8.90,169.46,19.77,0.72,0.21,9.07
34692,1,8.95,131.65,16.68,1.25,0.09,8.86
233939,1,6.90,171.57,26.16,1.48,0.44,11.64
821674,1,7.60,146.22,18.92,0.60,0.20,9.66
58302,1,5.80,71.81,13.88,1.24,0.33,10.98
855670,1,4.35,100.64,24.19,1.15,0.11,11.06
281383,1,5.85,90.04,17.42,1.49,0.30,5.94
917652,1,7.65,87.09,15.40,0.61,0.50,5.35
293593,1,10.05,132.94,15.36,1.44,0.90,8.01
434316,1,9.70,65.05,7.67,1.18,0.40,6.86
661916,1,6.85,117.46,17.54,0.91,0.46,6.27
126280,1,13.90,164.84,17.08,0.29,0.34,9.93
557032,1,3.85,92.92,23.83,0.90,0.19,7.11
505015,1,5.15,95.81,18.03,1.25,0.76,9.22
783898,1,4.25,85.90,19.90,1.16,0.33,5.44
996106,1,5.15,130.66,25.16,1.38,0.37,8.36
664313,1,5.50,83.15,15.77,0.80,0.15,6.07
409186,1,11.45,128.28,18.04,0.76,0.12,9.84
406386,1,4.60,66.14,13.90,1.42,0.39,9.72
