seed,hit,time_to_intercept,initial_sep,closing_vel_avg,min_sep,final_zem,target_speed
89250,1,4.35,115.16,25.84,1.04,0.05,5.24
773956,1,5.55,183.24,32.44,1.18,0.06,11.01
654571,1,2.85,90.06,30.63,0.84,0.07,9.84
438878,1,3.80,98.94,25.56,0.29,0.07,7.91
433015,1,5.00,148.53,29.16,0.86,0.03,7.44
858597,1,4.75,154.81,31.88,1.37,0.04,10.13
85945,1,3.95,88.80,21.72,1.49,0.11,5.59
697368,1,4.65,154.51,32.79,0.03,0.01,10.82
201469,1,4.40,126.11,28.07,0.81,0.10,8.94
94177,1,5.10,162.39,31.45,0.26,0.06,11.13
526478,1,4.60,109.48,23.19,0.65,0.03,6.77
975622,1,5.75,160.65,27.54,0.51,0.04,6.71
735752,1,3.95,121.84,30.38,0.34,0.07,11.61
761139,1,3.90,107.36,26.70,1.48,0.20,10.77
717477,1,6.95,139.14,19.69,1.04,0.13,9.52
786064,1,2.65,83.23,30.35,0.91,0.02,8.30
513226,1,3.10,97.83,30.75,0.59,0.04,9.16
128113,1,5.70,164.95,28.42,1.14,0.07,7.51
839748,1,5.55,147.55,26.31,0.32,0.05,10.04
450385,1,6.30,178.39,27.82,1.35,0.09,7.70
500351,1,4.40,83.82,18.54,0.84,0.12,8.22
370798,1,3.70,126.38,33.55,0.21,0.04,11.90
182549,1,6.80,196.73,28.56,0.72,0.02,6.66
926764,1,5.90,82.14,13.52,0.67,0.52,11.26
781567,1,4.10,99.78,23.61,1.35,0.19,9.80
643865,1,2.25,51.75,21.96,0.82,0.11,7.14
402414,1,3.25,104.72,31.43,0.61,0.03,9.57
822761,1,3.50,74.89,20.76,0.78,0.14,9.39
545429,1,6.85,169.84,24.56,0.31,0.07,7.89
443414,1,2.05,50.37,23.57,0.50,0.08,6.25
450459,1,6.80,149.34,21.69,0.42,0.10,8.56
227238,1,2.85,81.86,27.87,0.65,0.02,5.95
92135,1,3.00,78.52,25.54,0.30,0.06,6.66
554584,1,2.90,75.44,25.26,0.54,0.07,6.10
887889,1,5.45,91.18,16.34,0.55,0.10,11.92
63817,1,4.90,134.75,27.16,0.34,0.07,9.19
858291,1,2.85,93.32,31.67,1.08,0.03,9.65
827631,1,2.30,69.73,29.50,0.16,0.04,8.42
276759,1,4.95,74.58,14.66,0.81,0.07,8.32
631664,1,7.55,148.85,19.49,0.36,0.08,6.99
165229,1,3.85,61.42,15.37,0.98,0.15,10.94
758087,1,6.75,188.05,27.43,1.13,0.02,5.57
700522,1,5.25,144.07,27.00,0.65,0.15,11.54
354525,1,5.90,174.67,29.17,0.71,0.06,8.40
67920,1,4.50,116.47,25.41,0.48,0.05,5.39
970698,1,4.50,142.58,31.24,0.10,0.02,9.44
445687,1,2.35,73.39,30.23,0.48,0.09,11.37
893121,1,4.50,115.05,25.10,0.51,0.12,9.67
677919,1,4.25,125.33,28.98,0.31,0.01,7.05
778383,1,6.55,135.53,20.36,0.73,0.11,7.81
759899,1,6.65,171.49,25.32,1.39,0.10,6.24
194638,1,3.55,104.60,28.81,0.49,0.07,8.73
363906,1,6.95,159.15,22.66,0.31,0.08,7.93
466721,1,2.80,55.72,19.02,1.07,0.16,9.61
497791,1,3.80,108.96,27.88,1.22,0.06,6.81
43803,1,4.40,96.71,21.58,0.43,0.12,10.69
546569,1,5.10,104.49,20.11,0.53,0.12,9.77
154289,1,5.40,117.95,21.39,1.05,0.17,11.22
743375,1,2.85,90.99,30.77,1.37,0.04,8.84
683048,1,3.00,57.20,18.31,0.90,0.14,9.51
922527,1,3.20,95.16,28.87,0.93,0.01,6.72
744762,1,4.95,130.07,25.88,0.38,0.09,8.23
366642,1,2.55,79.91,30.46,0.39,0.08,11.34
967509,1,6.00,163.65,26.86,0.77,0.02,5.03
410850,1,4.75,93.41,19.19,0.89,0.18,10.95
325825,1,5.20,122.26,23.01,1.02,0.16,9.32
905535,1,5.80,105.52,17.77,1.09,0.14,8.86
370459,1,4.50,107.82,23.54,0.36,0.06,7.09
76343,1,3.35,86.81,25.16,0.87,0.18,11.98
469555,1,3.45,83.50,23.69,0.28,0.07,6.50
795679,1,1.65,55.70,31.69,1.43,0.05,9.83
189471,1,5.70,140.54,24.37,0.30,0.07,7.89
462940,1,3.10,88.43,27.80,0.48,0.02,5.70
129921,1,4.10,137.69,32.87,0.87,0.02,11.03
686478,1,2.80,83.24,28.89,0.53,0.06,8.27
475704,1,3.90,84.48,20.91,1.41,0.19,9.50
330196,1,4.70,107.91,22.51,0.59,0.07,5.22
226909,1,6.05,164.79,26.84,0.64,0.05,6.04
564499,1,3.35,95.56,27.76,0.76,0.02,5.83
669813,1,3.50,113.24,31.89,0.37,0.01,9.80
940306,1,2.15,61.68,27.19,1.46,0.04,5.50
437151,1,2.45,79.75,31.53,0.54,0.01,9.22
160688,1,4.40,129.59,28.76,1.22,0.02,6.77
832678,1,5.75,152.70,26.02,1.35,0.07,5.82
629764,1,2.50,77.34,29.85,0.82,0.07,8.85
700265,1,2.40,71.62,28.52,1.34,0.09,8.23
97226,1,5.60,118.21,20.91,0.22,0.04,9.44
312366,1,4.35,124.32,28.07,0.42,0.04,6.93
767843,1,6.20,171.06,27.10,1.25,0.12,8.08
832259,1,1.75,50.25,27.85,0.25,0.02,5.47
435216,1,2.65,69.40,25.37,0.56,0.11,8.96
804764,1,3.95,127.63,31.86,0.29,0.03,10.77
841691,1,4.10,111.43,26.39,1.49,0.10,6.53
387478,1,2.55,72.08,27.14,1.09,0.15,10.73
898087,1,4.65,136.24,28.86,0.25,0.04,8.07
288328,1,4.25,117.20,26.89,1.18,0.02,5.11
239557,1,5.20,139.20,26.25,0.99,0.05,5.34
682495,1,6.00,193.31,31.67,1.32,0.08,10.85
636761,1,5.30,130.75,24.28,0.46,0.09,7.46
139752,1,6.00,96.55,15.75,0.89,0.02,6.44
832736,1,6.45,170.76,26.02,1.22,0.09,6.66
199908,1,4.45,130.40,28.78,0.50,0.00,6.78
804899,1,3.15,90.76,28.03,0.71,0.12,10.76
7362,1,5.40,146.48,26.72,0.46,0.08,6.77
796842,1,4.45,79.63,17.52,0.38,0.05,5.81
786924,1,5.15,164.90,31.59,0.22,0.02,9.98
780364,1,4.80,85.21,17.30,0.84,0.17,11.55
664850,1,2.85,73.55,25.09,0.47,0.11,9.45
471567,1,4.25,129.49,29.75,1.16,0.15,11.62
705165,1,3.90,130.86,33.00,0.22,0.05,11.78
277121,1,4.25,130.23,29.99,0.86,0.09,10.00
780729,1,2.15,66.88,29.92,0.68,0.00,7.53
555646,1,2.00,57.62,28.05,0.29,0.02,6.53
458915,1,4.80,150.56,30.65,1.50,0.05,9.35
505606,1,2.55,71.38,26.85,1.17,0.13,9.29
568741,1,5.90,176.16,29.55,0.25,0.05,9.13
37262,1,5.85,95.54,15.93,1.02,0.17,11.46
139796,1,5.15,106.11,20.09,0.78,0.04,8.85
245481,1,2.25,65.76,27.99,0.98,0.04,6.76
114530,1,3.90,117.58,29.41,1.00,0.14,11.16
439613,1,2.95,87.83,28.96,0.56,0.08,9.23
668402,1,4.50,86.82,18.81,0.83,0.07,5.52
654428,1,5.40,141.96,25.71,1.21,0.17,10.79
471096,1,5.35,77.24,14.14,0.44,0.06,8.75
855080,1,3.95,99.02,24.56,0.40,0.06,5.75
565236,1,5.95,167.30,27.66,0.96,0.03,6.05
79197,1,3.90,109.45,27.24,1.45,0.02,5.22
764998,1,6.15,104.00,16.50,1.17,0.17,10.65
574600,1,6.50,174.47,26.35,1.49,0.05,5.02
634718,1,4.45,118.04,25.84,1.31,0.12,7.54
565373,1,3.40,98.01,28.10,0.68,0.06,7.24
553579,1,5.45,150.42,27.13,0.82,0.00,5.17
90566,1,5.20,104.26,19.59,0.97,0.14,8.53
559207,1,3.50,106.70,29.94,0.26,0.06,10.03
794912,1,2.05,62.68,29.14,1.09,0.02,7.07
303950,1,1.80,53.48,27.94,1.36,0.09,8.08
602838,1,2.30,54.19,22.41,1.29,0.31,7.52
30817,1,5.45,113.46,20.30,1.32,0.23,11.99
347499,1,3.40,67.36,19.19,0.72,0.12,8.29
436717,1,4.70,111.65,23.29,0.61,0.08,6.13
982738,1,4.40,137.33,30.55,0.97,0.11,10.97
214584,1,5.80,92.47,15.43,0.92,0.38,11.79
276548,1,3.40,94.91,26.96,1.49,0.10,7.22
408528,1,4.30,78.54,17.80,0.68,0.05,5.31
992665,1,4.15,70.64,16.58,0.57,0.10,8.92
853403,1,6.00,169.46,27.98,0.40,0.05,9.07
34692,1,4.85,131.65,26.74,0.34,0.09,8.86
233939,1,5.10,171.57,33.23,0.14,0.03,11.64
821674,1,5.25,146.22,27.29,1.15,0.14,9.66
58302,1,2.95,71.81,23.46,1.00,0.19,10.98
855670,1,3.00,100.64,33.00,0.41,0.02,11.06
281383,1,3.70,90.04,23.64,0.96,0.09,5.94
917652,1,5.05,87.09,16.92,0.39,0.01,5.35
293593,1,4.55,132.94,28.62,0.90,0.06,8.01
434316,1,2.60,65.05,24.34,0.28,0.07,6.86
661916,1,4.30,117.46,26.94,0.21,0.03,6.27
126280,1,5.80,164.84,27.98,0.71,0.14,9.93
557032,1,3.85,92.92,23.67,0.31,0.08,7.11
505015,1,3.00,95.81,31.24,0.16,0.02,9.22
783898,1,3.90,85.90,21.62,0.22,0.06,5.44
996106,1,5.15,130.66,24.90,0.76,0.12,8.36
664313,1,2.85,83.15,28.22,0.93,0.01,6.07
409186,1,3.95,128.28,31.88,0.34,0.00,9.84
406386,1,4.65,66.14,13.65,1.48,0.11,9.72
417958,1,6.75,196.78,28.69,1.29,0.10,8.71
814020,1,4.35,126.63,28.55,0.60,0.00,6.52
321215,1,5.05,114.67,22.10,1.46,0.24,11.82
166972,1,2.85,79.57,26.80,1.42,0.20,11.34
334291,1,3.35,65.21,18.88,0.61,0.11,8.55
22712,1,6.45,180.30,27.50,1.13,0.03,5.92
106142,1,7.00,148.25,20.96,0.54,0.15,5.37
90047,1,3.70,115.89,30.67,0.50,0.04,9.22
771552,1,4.25,99.24,22.97,0.39,0.10,9.90
722359,1,6.30,188.68,29.60,0.33,0.05,9.19
696770,1,4.75,141.93,29.26,1.09,0.03,7.50
461877,1,5.50,172.38,30.83,0.88,0.07,9.94
717058,1,3.45,62.55,17.39,1.28,0.03,5.11
161271,1,6.15,81.78,13.11,0.30,0.08,11.58
900621,1,5.90,71.43,11.71,1.27,0.09,10.90
501044,1,8.05,184.54,22.50,0.54,0.23,11.21
