seed,hit,time_to_intercept,initial_sep,closing_vel_avg,min_sep,final_zem,target_speed
89250,1,10.05,115.16,16.37,0.99,1.07,5.24
773956,1,12.30,183.24,20.69,1.47,0.40,11.01
654571,1,5.90,90.06,24.05,1.47,5.20,9.84
438878,1,21.30,98.94,15.12,1.46,7.37,7.91
433015,1,10.45,148.53,21.97,1.27,0.11,7.44
858597,0,30.00,154.81,15.49,27.81,125.84,10.13
85945,1,8.50,88.80,16.20,1.48,0.19,5.59
697368,1,8.70,154.51,22.81,0.96,0.15,10.82
201469,1,10.25,126.11,20.78,0.63,0.46,8.94
94177,1,14.95,162.39,17.80,0.64,0.34,11.13
526478,1,10.55,109.48,17.70,1.29,0.86,6.77
975622,1,10.55,160.65,19.43,1.32,0.25,6.71
735752,0,30.00,121.84,11.21,17.62,46.06,11.61
761139,1,11.85,107.36,18.01,1.31,0.85,10.77
717477,0,30.00,139.14,10.65,57.76,259.83,9.52
786064,0,30.00,83.23,13.47,31.56,16.56,8.30
513226,1,14.55,97.83,15.94,1.44,0.58,9.16
128113,1,16.90,164.95,20.40,1.29,2.28,7.51
839748,1,27.70,147.55,15.48,1.47,2.41,10.04
450385,1,10.10,178.39,23.12,0.90,0.37,7.70
500351,1,15.45,83.82,13.53,1.37,4.66,8.22
370798,1,6.65,126.38,25.77,1.50,0.84,11.90
182549,0,30.00,196.73,16.85,32.34,37.44,6.66
926764,1,12.50,82.14,17.03,1.21,0.85,11.26
781567,1,20.05,99.78,14.05,0.95,0.23,9.80
643865,1,11.35,51.75,15.72,1.24,1.15,7.14
402414,1,10.30,104.72,18.66,1.24,0.57,9.57
822761,1,28.80,74.89,13.53,1.42,1.34,9.39
545429,0,30.00,169.84,13.48,30.77,113.01,7.89
443414,1,7.30,50.37,16.28,1.17,0.57,6.25
450459,0,30.00,149.34,13.62,16.40,19.44,8.56
227238,1,25.10,81.86,14.17,1.29,0.08,5.95
92135,1,9.15,78.52,17.27,1.32,0.63,6.66
554584,1,19.90,75.44,15.26,1.22,1.55,6.10
887889,0,30.00,91.18,13.42,18.35,42.61,11.92
63817,1,8.20,134.75,20.04,1.27,2.68,9.19
858291,1,5.90,93.32,20.66,1.39,1.93,9.65
827631,1,6.95,69.73,15.84,0.41,0.98,8.42
276759,1,17.60,74.58,14.64,1.38,1.75,8.32
631664,0,30.00,148.85,11.39,91.69,112.64,6.99
165229,1,23.15,61.42,16.68,1.31,0.54,10.94
758087,0,30.00,188.05,16.30,26.02,15.94,5.57
700522,1,21.20,144.07,14.86,1.27,0.40,11.54
354525,1,18.15,174.67,16.53,1.48,3.09,8.40
67920,1,22.70,116.47,16.67,0.75,0.50,5.39
970698,1,10.80,142.58,22.04,1.30,4.18,9.44
445687,1,12.90,73.39,17.25,0.59,0.32,11.37
893121,1,14.45,115.05,13.93,1.40,4.18,9.67
677919,1,17.50,125.33,15.80,1.34,0.78,7.05
778383,0,30.00,135.53,13.11,36.02,51.08,7.81
759899,1,13.85,171.49,17.46,1.22,0.29,6.24
194638,1,21.90,104.60,15.31,1.11,1.53,8.73
363906,0,30.00,159.15,13.43,25.63,9.52,7.93
466721,1,6.90,55.72,19.77,1.12,1.88,9.61
497791,1,17.00,108.96,17.28,1.19,0.41,6.81
43803,1,11.80,96.71,14.95,1.38,1.13,10.69
546569,0,30.00,104.49,13.61,19.96,277.13,9.77
154289,0,30.00,117.95,12.55,33.96,20.34,11.22
743375,1,3.80,90.99,28.24,1.36,0.22,8.84
683048,0,30.00,57.20,15.22,16.19,1.70,9.51
922527,1,6.95,95.16,21.70,1.30,0.91,6.72
744762,1,26.65,130.07,15.09,1.38,0.94,8.23
366642,1,12.85,79.91,15.70,1.27,4.10,11.34
967509,1,16.30,163.65,17.98,1.25,0.20,5.03
410850,1,20.70,93.41,13.23,1.27,1.70,10.95
325825,1,24.70,122.26,12.93,1.26,1.64,9.32
905535,0,30.00,105.52,11.95,75.03,33.55,8.86
370459,1,19.20,107.82,16.38,1.14,0.67,7.09
76343,1,21.00,86.81,13.18,1.17,1.12,11.98
469555,0,30.00,83.50,13.77,22.57,230.58,6.50
795679,1,12.10,55.70,14.84,1.40,0.41,9.83
189471,0,30.00,140.54,14.42,3.15,274.27,7.89
462940,1,25.75,88.43,14.04,1.11,0.05,5.70
129921,0,30.00,137.69,16.22,11.11,64.60,11.03
686478,1,25.95,83.24,14.20,1.46,0.56,8.27
475704,1,18.00,84.48,14.59,1.22,0.39,9.50
330196,1,14.35,107.91,14.93,1.09,0.99,5.22
226909,1,14.35,164.79,20.08,1.14,0.90,6.04
564499,1,5.85,95.56,20.86,1.09,0.95,5.83
669813,1,19.25,113.24,17.81,1.05,0.53,9.80
940306,1,11.15,61.68,15.01,1.26,17.95,5.50
437151,1,25.90,79.75,13.95,0.80,0.99,9.22
160688,1,9.55,129.59,19.33,1.49,0.50,6.77
832678,1,21.15,152.70,16.46,1.43,1.56,5.82
629764,0,30.00,77.34,15.06,12.42,89.47,8.85
700265,1,11.10,71.62,14.44,1.17,0.71,8.23
97226,1,10.50,118.21,20.37,1.32,0.43,9.44
312366,1,11.40,124.32,19.20,1.15,1.22,6.93
767843,1,20.05,171.06,14.74,1.20,0.22,8.08
832259,1,3.05,50.25,19.55,1.39,1.34,5.47
435216,1,19.65,69.40,14.14,0.74,0.77,8.96
804764,1,8.75,127.63,19.32,1.22,0.61,10.77
841691,1,9.20,111.43,16.78,1.24,2.17,6.53
387478,1,8.60,72.08,15.21,1.43,2.37,10.73
898087,1,9.05,136.24,22.98,0.77,0.45,8.07
288328,0,30.00,117.20,14.42,15.05,6.44,5.11
239557,1,13.35,139.20,18.08,1.37,2.96,5.34
682495,0,30.00,193.31,16.66,2.11,12.22,10.85
636761,1,16.15,130.75,15.35,1.12,4.89,7.46
139752,1,17.60,96.55,17.14,0.95,0.44,6.44
832736,1,24.80,170.76,14.94,1.20,0.65,6.66
199908,1,13.15,130.40,18.27,0.31,0.23,6.78
804899,1,16.60,90.76,17.02,1.38,0.26,10.76
7362,1,12.00,146.48,19.03,1.46,0.81,6.77
796842,1,8.95,79.63,16.65,0.97,0.86,5.81
786924,1,16.00,164.90,19.40,1.33,2.89,9.98
780364,1,11.50,85.21,15.14,1.35,1.09,11.55
664850,1,21.10,73.55,13.20,1.50,0.41,9.45
471567,1,18.85,129.49,17.75,1.18,1.18,11.62
705165,1,7.80,130.86,20.61,1.24,1.28,11.78
277121,1,16.45,130.23,16.50,1.49,0.78,10.00
780729,1,7.75,66.88,17.66,0.78,0.48,7.53
555646,1,5.65,57.62,22.72,1.31,0.42,6.53
458915,1,11.60,150.56,20.91,1.38,4.36,9.35
505606,1,7.20,71.38,15.31,1.48,0.35,9.29
568741,1,21.00,176.16,17.56,1.36,1.74,9.13
37262,0,30.00,95.54,16.12,27.15,282.29,11.46
