seed,hit,time_to_intercept,initial_sep,closing_vel_avg,min_sep,final_zem,target_speed
89250,1,6.95,115.16,21.02,1.11,0.70,5.24
773956,1,8.40,183.24,26.40,0.42,0.44,11.01
654571,1,4.35,90.06,25.43,1.37,0.39,9.84
438878,1,6.10,98.94,18.63,1.13,1.56,7.91
433015,1,7.75,148.53,24.58,0.15,0.31,7.44
858597,1,6.45,154.81,27.85,0.94,0.40,10.13
85945,1,6.85,88.80,16.23,0.91,0.08,5.59
697368,1,7.20,154.51,25.37,0.80,0.89,10.82
201469,1,6.50,126.11,23.02,0.97,0.53,8.94
94177,1,8.75,162.39,22.62,0.79,0.27,11.13
526478,1,8.55,109.48,20.09,0.12,0.55,6.77
975622,1,10.25,160.65,19.79,1.27,0.25,6.71
735752,1,5.15,121.84,25.80,1.11,0.17,11.61
761139,1,6.45,107.36,19.90,1.35,0.55,10.77
717477,0,30.00,139.14,10.65,57.76,259.83,9.52
786064,1,4.35,83.23,22.73,0.51,0.35,8.30
513226,1,4.15,97.83,26.99,0.97,0.21,9.16
128113,1,9.70,164.95,22.31,0.96,3.04,7.51
839748,1,8.90,147.55,20.55,0.88,0.49,10.04
450385,1,11.60,178.39,20.69,0.85,0.30,7.70
500351,1,10.45,83.82,14.00,1.34,0.20,8.22
370798,1,5.20,126.38,28.52,0.72,0.96,11.90
182549,1,11.95,196.73,22.27,0.69,0.48,6.66
926764,1,17.10,82.14,17.35,1.35,2.02,11.26
781567,1,9.60,99.78,14.48,1.43,3.19,9.80
643865,1,4.05,51.75,17.10,1.00,1.79,7.14
402414,1,4.50,104.72,25.03,1.02,0.44,9.57
822761,1,14.20,74.89,15.59,0.97,0.36,9.39
545429,1,18.80,169.84,15.32,1.27,1.61,7.89
443414,1,2.55,50.37,22.16,1.38,0.57,6.25
450459,1,15.90,149.34,16.45,0.62,0.55,8.56
227238,1,4.70,81.86,21.33,0.71,0.15,5.95
92135,1,4.30,78.52,22.04,0.49,0.32,6.66
554584,1,3.95,75.44,21.10,0.54,0.28,6.10
887889,1,9.15,91.18,21.18,0.97,0.15,11.92
63817,1,7.40,134.75,21.69,1.42,0.68,9.19
858291,1,3.80,93.32,28.81,0.46,0.31,9.65
827631,1,3.80,69.73,22.27,0.54,0.16,8.42
276759,1,15.95,74.58,14.62,0.94,0.74,8.32
631664,0,30.00,148.85,11.39,91.69,112.64,6.99
165229,0,30.00,61.42,13.44,28.96,147.77,10.94
758087,1,11.60,188.05,22.28,0.72,0.24,5.57
700522,1,11.85,144.07,17.31,0.38,0.61,11.54
354525,1,10.70,174.67,20.85,1.13,0.90,8.40
67920,1,6.95,116.47,19.87,0.84,0.31,5.39
970698,1,6.80,142.58,25.23,1.26,0.70,9.44
445687,1,4.25,73.39,23.94,1.08,0.69,11.37
893121,1,14.85,115.05,12.38,0.91,0.73,9.67
677919,1,5.85,125.33,25.09,0.71,0.38,7.05
778383,1,15.85,135.53,16.36,0.80,2.69,7.81
759899,1,13.95,171.49,16.10,1.44,0.18,6.24
194638,1,4.55,104.60,26.17,0.57,0.36,8.73
363906,1,23.10,159.15,14.58,1.05,0.21,7.93
466721,1,4.70,55.72,14.50,1.33,0.18,9.61
497791,1,4.95,108.96,25.69,0.56,0.34,6.81
43803,1,6.80,96.71,16.63,1.31,1.14,10.69
546569,1,11.70,104.49,17.07,1.18,0.17,9.77
154289,1,24.90,117.95,13.78,0.69,0.29,11.22
743375,1,3.70,90.99,27.63,1.16,0.21,8.84
683048,1,20.90,57.20,14.62,1.41,0.32,9.51
922527,1,4.95,95.16,24.39,0.67,0.34,6.72
744762,1,8.55,130.07,19.44,1.26,0.43,8.23
366642,1,3.60,79.91,27.28,1.40,0.73,11.34
967509,1,10.95,163.65,18.44,0.38,0.50,5.03
410850,1,13.70,93.41,14.90,1.16,1.61,10.95
325825,1,15.90,122.26,14.70,1.22,0.44,9.32
905535,0,30.00,105.52,11.95,75.03,33.55,8.86
